,0
0,206
1,84
2,183
3,20
4,122
5,207
6,65
7,76
8,68
9,178
10,146
11,186
12,50
13,13
14,161
15,26
16,199
17,200
18,194
19,88
20,205
21,12
22,180
23,150
24,62
25,99
26,27
27,36
28,201
29,199
30,178
31,12
32,6
33,183
34,4
35,129
36,16
37,58
38,150
39,150
40,62
41,209
42,68
43,118
44,7
45,154
46,99
47,132
48,37
49,31
50,130
51,142
52,63
53,179
54,114
55,84
56,78
57,212
58,11
59,8
60,126
61,136
62,190
63,120
64,65
65,198
66,136
67,85
68,75
69,191
70,23
71,161
72,113
73,59
74,163
75,43
76,169
77,104
78,197
79,46
80,112
81,34
82,66
83,183
84,31
85,150
86,41
87,98
88,138
89,177
90,54
91,50
92,124
93,154
94,150
95,69
96,115
97,52
98,1
99,5
