,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.02,0.48,0.0,0.03,0.0,0.01,0.0,0.0
1,0.0,1.0,0.72,0.03,0.01,0.0,0.0,0.01,0.48,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.98,0.16,0.0,0.65,0.0,0.0,0.02,0.01,0.0,0.75,0.01,0.83
2,0.0,0.72,1.0,0.31,0.01,0.0,0.01,0.0,0.66,0.0,0.72,0.01,0.0,0.0,0.0,0.0,0.0,0.74,0.79,0.0,0.01,0.61,0.01,0.01,0.0,0.01,0.01,0.51,0.02,0.82
3,0.01,0.03,0.31,1.0,0.02,0.0,0.03,0.0,0.39,0.0,0.05,0.0,0.3,0.01,0.0,0.0,0.02,0.5,0.07,0.0,0.0,0.11,0.02,0.0,0.0,0.0,0.01,0.0,0.02,0.11
4,0.0,0.01,0.01,0.02,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0
6,0.0,0.0,0.01,0.03,0.0,0.0,1.0,0.03,0.02,0.0,0.01,0.01,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
7,0.02,0.01,0.0,0.0,0.01,0.0,0.03,1.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.22,0.0,0.0,0.0,0.0
8,0.0,0.48,0.66,0.39,0.0,0.0,0.02,0.0,1.0,0.01,0.49,0.0,0.09,0.02,0.0,0.0,0.0,0.96,0.63,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.17,0.02,0.81
9,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,1.0,0.01,0.0,0.0,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01
