,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.009,0.0036,0.003,0.0046,0.0028,0.0082,0.0002,0.0022,0.001,0.0012,0.5034,0.007,0.0018,0.0018,0.0022,0.0002,0.0016,0.001,0.2442,0.0018,0.0024,0.0058,0.003,0.0014,0.0012,0.0034,0.013,0.0038,0.1056,0.0002,0.0042,0.0082,0.0004,0.0004,0.0006,0.0004,0.0044,0.022,0.0026,0.0022,0.0012,0.0104,0.0036,0.0008,0.0016,0.0018,0.0012,0.0,0.007,0.0416,0.0012,0.002,0.9802,0.0034,0.003,0.0002,0.0294,0.001,0.0086,0.0014,0.0008,0.005,0.0006,0.616,0.0,0.0026,0.0032,0.001,0.0008,0.0002,0.4714,0.0046,0.0014,0.0016,0.0044,0.001,0.0006,0.0042,0.001
1,0.009,1.0,0.0024,0.006,0.0098,0.0012,0.0004,0.0076,0.001,0.0052,0.0028,0.0122,0.0008,0.0,0.009,0.0028,0.0096,0.0026,0.0062,0.0056,0.0014,0.0072,0.1808,0.0016,0.0094,0.008,0.0,0.003,0.0036,0.0124,0.0062,0.001,0.0064,0.0026,0.002,0.0006,0.0044,0.0054,0.0086,0.013,0.002,0.0202,0.0088,0.0052,0.002,0.0012,0.0014,0.0018,0.0014,0.0114,0.0048,0.0008,0.0058,0.0082,0.0172,0.002,0.0036,0.0072,0.0006,0.0004,0.0094,0.0046,0.0034,0.0056,0.01,0.0022,0.0058,0.001,0.004,0.0008,0.016,0.0058,0.0068,0.0034,0.0074,0.002,0.0,0.0136,0.0004,0.0038
2,0.0036,0.0024,1.0,0.0,0.003,0.0094,0.013,0.0076,0.833,0.0,0.0008,0.0018,0.003,0.001,0.0042,0.0024,0.006,0.011,0.0028,0.0004,0.0162,0.046,0.0074,0.9664,0.1068,0.0042,0.0716,0.0032,0.0012,0.001,0.0028,0.5144,0.0086,0.0274,0.0546,0.0118,0.014,0.0026,0.0016,0.0064,0.0062,0.0036,0.0002,0.0,0.1376,0.0492,0.292,0.0038,0.0538,0.0026,0.0048,0.0024,0.0822,0.0024,0.0008,0.0036,0.0178,0.0024,0.0078,0.0054,0.018,0.0122,0.0048,0.0,0.0068,0.0164,0.0082,0.0188,0.014,0.0012,0.0004,0.0004,0.0032,0.6886,0.0144,0.0016,0.0016,0.0092,0.9396,0.0024
3,0.003,0.006,0.0,1.0,0.0038,0.0054,0.005,0.009,0.0022,0.0012,0.9306,0.0014,0.0006,0.0034,0.0026,0.004,0.0136,0.6364,0.0014,0.0034,0.551,0.0002,0.0012,0.0008,0.0008,0.0118,0.0218,0.0268,0.7266,0.0018,0.0042,0.0264,0.0162,0.005,0.506,0.0016,0.0066,0.0054,0.0,0.0058,0.0066,0.0306,0.0004,0.8442,0.3034,0.001,0.1356,0.0034,0.0614,0.0018,0.0006,0.0052,0.0046,0.0022,0.0012,0.0104,0.0044,0.0002,0.0046,0.0,0.0026,0.0056,0.0008,0.0012,0.0032,0.679,0.0026,0.0002,0.6462,0.0142,0.0092,0.0036,0.0066,0.0132,0.0004,0.0008,0.0012,0.004,0.0004,0.0012
4,0.0046,0.0098,0.003,0.0038,1.0,0.0016,0.0004,0.0202,0.0182,0.002,0.0078,0.0112,0.0012,0.0004,0.0032,0.0018,0.0152,0.0162,0.0012,0.0126,0.0114,0.0036,0.002,0.0078,0.0006,0.0114,0.031,0.0056,0.007,0.0006,0.0068,0.034,0.005,0.0006,0.0282,0.0006,0.0002,0.001,0.0018,0.0136,0.0004,0.0094,0.0014,0.0048,0.0318,0.0044,0.0388,0.0202,0.0264,0.0074,0.004,0.002,0.0016,0.0066,0.016,0.0008,0.0008,0.0032,0.0216,0.0006,0.0006,0.0,0.0032,0.0004,0.0,0.0208,0.0056,0.0002,0.0204,0.0086,0.0002,0.0072,0.0018,0.018,0.0014,0.0008,0.0002,0.0044,0.0064,0.2432
5,0.0028,0.0012,0.0094,0.0054,0.0016,1.0,0.0018,0.0002,0.0014,0.0074,0.0116,0.0076,0.0012,0.0034,0.0158,0.009,0.001,0.0048,0.0076,0.0044,0.003,0.0138,0.0072,0.0024,0.005,0.0008,0.0146,0.0026,0.0012,0.0042,0.0158,0.0084,0.0052,0.0082,0.0214,0.0026,0.0012,0.0096,0.015,0.0004,0.0048,0.0762,0.013,0.0058,0.0162,0.018,0.014,0.0044,0.0204,0.0074,0.0016,0.011,0.039,0.0038,0.0042,0.0066,0.1264,0.0104,0.0042,0.0014,0.0016,0.003,0.006,0.0056,0.0014,0.0134,0.0022,0.0022,0.018,0.0074,0.0098,0.0066,0.0084,0.0034,0.0018,0.003,0.002,0.005,0.0022,0.0
6,0.0082,0.0004,0.013,0.005,0.0004,0.0018,1.0,0.0,0.0206,0.0038,0.0132,0.006,0.0008,0.0,0.0002,0.0014,0.0002,0.0058,0.0004,0.0062,0.0096,0.0044,0.004,0.0158,0.0012,0.0026,0.0276,0.0026,0.0096,0.0026,0.0002,0.036,0.0016,0.0012,0.0338,0.0332,0.001,0.0018,0.0084,0.0108,0.0016,0.0008,0.013,0.011,0.0352,0.0024,0.0492,0.006,0.0372,0.0042,0.0012,0.0022,0.0068,0.0088,0.0006,0.0008,0.0014,0.0074,0.0006,0.0002,0.0024,0.0006,0.0054,0.004,0.0072,0.0232,0.0006,0.0112,0.0322,0.0236,0.0098,0.01,0.0016,0.0344,0.002,0.0008,0.0,0.0086,0.0168,0.0024
7,0.0002,0.0076,0.0076,0.009,0.0202,0.0002,0.0,1.0,0.012,0.0014,0.0052,0.0,0.0006,0.002,0.0056,0.0042,0.762,0.0114,0.0028,0.0008,0.0052,0.0028,0.0104,0.01,0.0002,0.0008,0.0026,0.0002,0.0128,0.003,0.0004,0.0042,0.002,0.0012,0.0012,0.0002,0.0052,0.0064,0.002,0.0006,0.0048,0.0026,0.0068,0.0068,0.0056,0.0068,0.0018,0.1554,0.0008,0.001,0.007,0.004,0.0008,0.0,0.001,0.0038,0.0062,0.0016,0.0054,0.0004,0.0118,0.0092,0.0018,0.0018,0.001,0.003,0.0014,0.0022,0.003,0.009,0.0094,0.0002,0.0094,0.0078,0.001,0.0006,0.0018,0.0684,0.0102,0.0072
8,0.0022,0.001,0.833,0.0022,0.0182,0.0014,0.0206,0.012,1.0,0.0004,0.0056,0.0012,0.0048,0.0024,0.0034,0.0038,0.0098,0.0578,0.0012,0.0002,0.0742,0.0294,0.0026,0.9386,0.0568,0.0054,0.1668,0.0048,0.0018,0.0002,0.0012,0.836,0.006,0.0186,0.1466,0.0072,0.0066,0.0014,0.0016,0.0084,0.0058,0.0064,0.0012,0.0006,0.3274,0.0206,0.5546,0.005,0.1418,0.003,0.0034,0.0008,0.0574,0.0022,0.0,0.0032,0.0336,0.0026,0.0044,0.006,0.0098,0.0072,0.0088,0.0002,0.0024,0.0824,0.0104,0.0082,0.0546,0.004,0.0002,0.0,0.0008,0.8442,0.013,0.0022,0.0012,0.0184,0.9244,0.0062
9,0.001,0.0052,0.0,0.0012,0.002,0.0074,0.0038,0.0014,0.0004,1.0,0.0002,0.003,0.0012,0.0,0.0002,0.0092,0.0024,0.0002,0.009,0.0012,0.0012,0.0014,0.002,0.0,0.0018,0.0,0.004,0.0028,0.0,0.0028,0.014,0.0002,0.0044,0.0006,0.001,0.021,0.005,0.0004,0.0032,0.0016,0.0014,0.0008,0.0012,0.0002,0.0004,0.005,0.0,0.0024,0.002,0.0046,0.004,0.011,0.0086,0.0002,0.0012,0.0002,0.0018,0.003,0.0022,0.0014,0.009,0.0072,0.0064,0.9788,0.0,0.001,0.002,0.001,0.0008,0.0044,0.0016,0.0002,0.0006,0.0,0.0074,0.0004,0.0,0.0036,0.0002,0.0008
