,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.0,0.0044,0.0006,0.0014,0.0082,0.0062,0.0142,0.0012,0.0958,0.0084,0.0036,0.006,0.0,0.3582,0.0046,0.0002,0.009,0.0006,0.0044,0.0,0.004,0.0012,0.003,0.0008,0.1726,0.0034,0.0006,0.0018,0.002,0.016,0.0084,0.0004,0.006,0.003,0.0056,0.0322,0.0032,0.0026,0.0004,0.0042,0.3416,0.0,0.0092,0.0044,0.0026,0.0052,0.0074,0.0034,0.0068,0.0044,0.0052,0.001,0.0026,0.0098,0.0008,0.0156,0.0066,0.006,0.0152,0.0052,0.0026,0.073,0.4798,0.4854,0.004,0.0064,0.006,0.004,0.0034,0.0006,0.0068,0.007,0.0008,0.302,0.0024,0.0018,0.0064,0.0036,0.0012,0.0052,0.0046,0.014,0.0112,0.2292,0.0034,0.001,0.0014,0.0102,0.0016,0.0098,0.0106,0.0,0.0006,0.0016,0.0016,0.0002,0.0192,0.0056,0.0052,0.323
1,0.0044,1.0,0.0634,0.0094,0.0076,0.0016,0.016,0.0,0.0002,0.0,0.0028,0.0012,0.0004,0.0004,0.0054,0.0036,0.0096,0.002,0.0002,0.0018,0.0008,0.0008,0.0058,0.0004,0.0006,0.0018,0.0014,0.0022,0.0006,0.0056,0.0064,0.0024,0.0718,0.0004,0.0024,0.001,0.0014,0.0152,0.0924,0.0028,0.0016,0.0032,0.003,0.0018,0.0002,0.0048,0.0086,0.8298,0.0022,0.0014,0.0006,0.0006,0.0048,0.0048,0.0118,0.062,0.0036,0.0008,0.0156,0.0046,0.002,0.0028,0.001,0.0016,0.004,0.0062,0.0036,0.009,0.0012,0.004,0.0004,0.5546,0.003,0.0022,0.1142,0.0132,0.0,0.0158,0.2068,0.0012,0.4368,0.0072,0.001,0.0062,0.0002,0.0062,0.4094,0.0334,0.0092,0.004,0.3166,0.0,0.2,0.278,0.0078,0.001,0.0084,0.0052,0.009,0.0028
2,0.0006,0.0634,1.0,0.0004,0.0004,0.004,0.0776,0.002,0.0038,0.006,0.006,0.0,0.0022,0.0028,0.0046,0.0094,0.0102,0.0024,0.0002,0.0092,0.0064,0.0026,0.0048,0.0018,0.0002,0.0014,0.0024,0.0864,0.0032,0.0042,0.006,0.0034,0.0706,0.003,0.0042,0.0022,0.0108,0.0008,0.4118,0.004,0.0022,0.0094,0.0006,0.009,0.0044,0.0008,0.0004,0.0858,0.0012,0.0026,0.0102,0.0014,0.0022,0.0012,0.0014,0.1128,0.0056,0.0132,0.0672,0.0056,0.0134,0.0008,0.0022,0.0018,0.0046,0.0034,0.001,0.0032,0.0136,0.0002,0.0014,0.2812,0.0058,0.0038,0.1476,0.0106,0.0116,0.0026,0.0978,0.0038,0.307,0.0026,0.0002,0.0046,0.0114,0.005,0.1204,0.126,0.006,0.0204,0.0716,0.0104,0.0908,0.0096,0.007,0.006,0.0044,0.0008,0.0006,0.0022
3,0.0014,0.0094,0.0004,1.0,0.0106,0.009,0.0042,0.0048,0.0046,0.0006,0.0042,0.0014,0.01,0.0006,0.0018,0.0082,0.0,0.0006,0.0054,0.0092,0.001,0.0168,0.0052,0.0,0.0014,0.0008,0.0154,0.004,0.0008,0.001,0.001,0.007,0.003,0.0014,0.001,0.002,0.0022,1.0,0.0022,0.002,0.0012,0.003,0.004,0.0292,0.0044,0.0112,0.0102,0.0064,0.0022,0.0008,0.005,0.0038,0.7058,0.0044,0.0022,0.0018,0.0008,0.0046,0.0048,0.0052,0.0012,0.0066,0.0004,0.0012,0.005,0.0008,0.003,0.0008,0.0008,0.0112,0.0016,0.0066,0.001,0.0008,0.0006,0.2862,0.0012,0.0006,0.0002,0.0016,0.0048,0.0084,0.0006,0.0078,0.0012,0.0044,0.0004,0.004,0.006,0.0002,0.0134,0.008,0.0008,0.0002,0.0114,0.0096,0.0096,0.0028,0.0022,0.0002
4,0.0082,0.0076,0.0004,0.0106,1.0,0.0084,0.001,0.0076,0.004,0.0106,0.0012,0.003,0.0066,0.0062,0.0046,0.0026,0.0008,0.0,0.0196,0.001,0.0062,0.0128,0.004,0.0068,0.0074,0.0088,0.0132,0.0094,0.0018,0.006,0.0154,0.0046,0.0004,0.0102,0.0102,0.0122,0.0006,0.0128,0.0002,0.0008,0.0058,0.0024,0.0004,0.0006,0.0076,0.0038,0.0006,0.0016,0.0044,0.0014,0.002,0.0134,0.002,0.0008,0.0004,0.052,0.0,0.0008,0.0014,0.007,0.0012,0.0052,0.0092,0.0066,0.002,0.0006,0.0046,0.012,0.0012,0.0032,0.0066,0.0002,0.002,0.004,0.0002,0.0016,0.0006,0.0118,0.0008,0.0072,0.0002,0.0042,0.0178,0.0014,0.0016,0.0052,0.0,0.0018,0.0006,0.0032,0.0254,0.0006,0.0002,0.002,0.0028,0.0014,0.0042,0.0,0.0002,0.0058
5,0.0062,0.0016,0.004,0.009,0.0084,1.0,0.0024,0.0002,0.0062,0.0006,0.0096,0.003,0.0,0.0002,0.0,0.0046,0.0,0.0038,0.0026,0.0096,0.0006,0.0,0.009,0.0034,0.0026,0.0024,0.0006,0.0,0.009,0.0036,0.0036,0.015,0.005,0.0,0.0036,0.0084,0.0316,0.0104,0.0054,0.0006,0.0008,0.0014,0.0014,0.0094,0.0002,0.0004,0.004,0.0024,0.0002,0.0004,0.0044,0.0062,0.0138,0.0014,0.0024,0.0008,0.0012,0.0046,0.0056,0.0054,0.007,0.0046,0.0016,0.001,0.0118,0.001,0.0136,0.0024,0.0054,0.001,0.0018,0.0012,0.0108,0.0004,0.007,0.0054,0.0038,0.0042,0.0068,0.0076,0.005,0.0008,0.0052,0.0046,0.0044,0.0022,0.0042,0.0028,0.0208,0.0028,0.0056,0.007,0.0042,0.0012,0.015,0.0038,0.0012,0.004,0.0046,0.0006
6,0.0142,0.016,0.0776,0.0042,0.001,0.0024,1.0,0.003,0.0002,0.0566,0.0114,0.0072,0.003,0.0042,0.0144,0.0092,0.0008,0.0016,0.0034,0.0158,0.001,0.004,0.0002,0.004,0.0002,0.0068,0.0064,0.0068,0.0028,0.0046,0.003,0.0076,0.4832,0.034,0.0032,0.0022,0.0018,0.0046,0.4052,0.0094,0.002,0.0026,0.0036,0.0018,0.005,0.0006,0.0036,0.039,0.0062,0.0126,0.0172,0.005,0.0056,0.0008,0.003,0.0062,0.012,0.0132,0.9834,0.013,0.0012,0.001,0.007,0.0046,0.0026,0.0122,0.001,0.0058,0.0106,0.008,0.017,0.0532,0.0016,0.0016,0.4756,0.0032,0.0108,0.0102,0.243,0.0126,0.0922,0.0042,0.0068,0.0008,0.013,0.0014,0.124,0.8928,0.0028,0.007,0.0076,0.0044,0.251,0.0372,0.0008,0.0042,0.0068,0.0024,0.0002,0.0022
7,0.0012,0.0,0.002,0.0048,0.0076,0.0002,0.003,1.0,0.0006,0.0006,0.068,0.0014,0.8464,0.001,0.0004,0.0474,0.0042,0.001,0.0,0.0318,0.001,0.7722,0.0002,0.0,0.0028,0.0026,0.7098,0.0016,0.0008,0.0006,0.0012,0.0112,0.0016,0.001,0.0068,0.0026,0.0026,0.004,0.0018,0.364,0.0004,0.001,0.0052,0.0026,0.9624,0.0056,0.0112,0.001,0.002,0.3568,0.0358,0.1508,0.004,0.004,0.0012,0.0016,0.2456,0.0324,0.0032,0.003,0.001,0.0032,0.0008,0.0012,0.0024,0.2828,0.0028,0.0016,0.0168,0.002,0.172,0.001,0.0026,0.002,0.003,0.0018,0.0196,0.0158,0.0024,0.151,0.0016,0.0386,0.0022,0.0014,0.0234,0.0046,0.0052,0.0024,0.0046,0.0018,0.0012,0.007,0.0062,0.0028,0.0016,0.0,0.0248,0.0086,0.0078,0.0002
8,0.0958,0.0002,0.0038,0.0046,0.004,0.0062,0.0002,0.0006,1.0,0.0156,0.0044,0.0,0.0006,0.009,0.0064,0.0056,0.0008,0.0048,0.0124,0.002,0.0046,0.0,0.0192,0.002,0.0066,0.0002,0.0002,0.0098,0.0008,0.0134,0.0032,0.0014,0.0008,0.0162,0.001,0.8144,0.002,0.0028,0.0016,0.0014,0.008,0.0012,0.0008,0.0058,0.0006,0.0004,0.0006,0.0042,0.0114,0.0012,0.011,0.0066,0.0038,0.0006,0.0032,0.0002,0.0018,0.006,0.0002,0.006,0.0064,0.62,0.0146,0.019,0.0004,0.002,0.0002,0.0008,0.0072,0.0058,0.0012,0.0082,0.0052,0.0092,0.0022,0.002,0.005,0.0464,0.0042,0.0012,0.0086,0.0022,0.018,0.5964,0.0064,0.001,0.0074,0.0002,0.002,0.0034,0.0,0.0058,0.005,0.0014,0.006,0.0,0.0046,0.0004,0.0002,0.006
9,0.0084,0.0,0.006,0.0006,0.0106,0.0006,0.0566,0.0006,0.0156,1.0,0.0014,0.0036,0.001,0.0002,0.1902,0.0012,0.0022,0.0042,0.0034,0.0032,0.0082,0.0,0.0012,0.0258,0.0,0.0104,0.0002,0.0062,0.0148,0.3716,0.0114,0.007,0.0114,0.926,0.0076,0.0104,0.0008,0.0002,0.012,0.0028,0.0014,0.0032,0.0164,0.005,0.0,0.0022,0.0048,0.0,0.4882,0.0026,0.0144,0.0004,0.0022,0.0008,0.0004,0.0058,0.0034,0.011,0.052,0.001,0.0008,0.0062,0.0018,0.0036,0.0018,0.0034,0.0016,0.0112,0.0138,0.002,0.0032,0.0036,0.0042,0.0034,0.011,0.0016,0.0144,0.0014,0.0056,0.0002,0.006,0.0022,0.001,0.0222,0.0116,0.0022,0.0034,0.0262,0.0056,0.0024,0.0006,0.0016,0.0028,0.0024,0.015,0.0026,0.0064,0.0012,0.0,0.0028
