,0
0,2496
1,18
2,1100
3,2001
4,2107
5,218
6,1164
7,284
8,1974
9,264
10,2686
11,473
12,2048
13,1423
14,1890
15,585
16,2844
17,3203
18,1857
19,2054
20,1607
21,144
22,356
23,371
24,2918
25,3446
26,3454
27,529
28,1915
29,372
30,2884
31,1458
32,3043
33,2081
34,2902
35,385
36,1991
37,2001
38,3216
39,1298
40,1133
41,2103
42,2136
43,2195
44,3008
45,736
46,1073
47,1177
48,1199
49,2575
50,1348
51,3013
52,304
53,2655
54,2367
55,333
56,2866
57,2688
58,1294
59,2566
60,1821
61,1768
62,3468
63,964
64,83
65,1753
66,1563
67,2915
68,2717
69,967
70,3290
71,1209
72,968
73,2406
74,2262
75,107
76,1322
77,2096
78,2968
79,1159
80,2980
81,876
82,3352
83,1145
84,817
85,697
86,1312
87,3087
88,930
89,1560
90,2073
91,1766
92,1759
93,669
94,1432
95,634
96,2864
97,401
98,3167
99,3334
