,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.0,0.0088,0.0042,0.0014,0.826,0.0048,0.003,0.0012,0.0054,0.0038,0.0008,0.0016,0.006,0.0548,0.0008,0.0038,0.0008,0.0082,0.0076,0.011,0.477,0.0146,0.0048,0.175,0.0042,0.001,0.0114,0.0024,0.0048,0.4432,0.0018,0.0,0.0086,0.0164,0.0084,0.0008,0.0034,0.0016,0.0012,0.0058,0.0112,0.0018,0.0692,0.0014,0.0024,0.0082,0.0066,0.002,0.0078,0.0012,0.0012,0.0024,0.3236,0.0036,0.0046,0.001,0.0004,0.755,0.0028,0.3874,0.0098,0.0036,0.5926,0.0046,0.001,0.0022,0.0002,0.0048,0.0034,0.004,0.0492,0.3414,0.5772,0.0004,0.0074,0.004,0.006,0.0022,0.0968,0.0084,0.1208,0.4854,0.46,0.0062,0.006,0.0014,0.0022,0.0108,0.007,0.0036,0.012,0.008,0.0038,0.0062,0.0038,0.0006,0.6672,0.0062,0.006,0.0022
1,0.0088,1.0,0.1342,0.0002,0.0066,0.0006,0.0,0.0026,0.0072,0.0018,0.0052,0.006,0.0062,0.0122,0.017,0.001,0.0022,0.0,0.0034,0.0008,0.0092,0.0032,0.0002,0.0006,0.0048,0.0014,0.0064,0.0014,0.0108,0.0042,0.0028,0.003,0.0048,0.0008,0.0126,0.0014,0.009,0.0022,0.0006,0.0054,0.014,0.0042,0.0006,0.0018,0.0042,0.0106,0.0036,0.0012,0.0026,0.0008,0.0002,0.0004,0.0016,0.0016,0.0004,0.0004,0.016,0.0028,0.004,0.003,0.0026,0.0036,0.0044,0.0006,0.0102,0.0012,0.0022,0.0,0.0058,0.0016,0.002,0.0008,0.001,0.0,0.0122,0.0032,0.01,0.0022,0.0008,0.0032,0.0016,0.0014,0.0014,0.0002,0.0084,0.0018,0.0,0.0078,0.006,0.0018,0.0056,0.0,0.0004,0.0044,0.0,0.0026,0.0064,0.0008,0.009,0.0
2,0.0042,0.1342,1.0,0.0022,0.004,0.003,0.0056,0.0042,0.0052,0.0064,0.0018,0.0146,0.001,0.0058,0.0,0.0048,0.0106,0.0096,0.0072,0.0,0.005,0.0016,0.0006,0.0034,0.0226,0.003,0.4106,0.0074,0.0112,0.001,0.005,0.0088,0.0164,0.0022,0.0108,0.0026,0.0066,0.0136,0.0198,0.0132,0.0096,0.0112,0.0012,0.0082,0.002,0.008,0.0002,0.006,0.001,0.0022,0.0088,0.0062,0.0022,0.002,0.0098,0.0002,0.0014,0.006,0.0022,0.0028,0.0004,0.0062,0.0022,0.005,0.0028,0.0142,0.0174,0.003,0.0052,0.002,0.0014,0.0034,0.0076,0.0036,0.0084,0.002,0.0122,0.0026,0.0008,0.0016,0.0008,0.0052,0.0048,0.0082,0.0056,0.004,0.013,0.0042,0.0116,0.0052,0.0008,0.0012,0.005,0.0012,0.003,0.0132,0.0074,0.0062,0.0072,0.0026
3,0.0014,0.0002,0.0022,1.0,0.0,0.0152,0.0034,0.0102,0.001,0.0046,0.0412,0.0048,0.0022,0.0024,0.0044,0.0076,0.0048,0.0016,0.002,0.0,0.0058,0.0,0.008,0.0004,0.0018,0.3,0.0084,0.0012,0.0,0.0032,0.0106,0.0082,0.0006,0.0072,0.0,0.0088,0.0012,0.0034,0.0104,0.0004,0.0004,0.017,0.001,0.01,0.0,0.0002,0.0096,0.002,0.005,0.0148,0.002,0.0322,0.002,0.0004,0.0076,0.005,0.012,0.001,0.0116,0.004,0.007,0.0038,0.0016,0.007,0.018,0.0044,0.0062,0.0016,0.009,0.0098,0.0002,0.0006,0.0002,0.4484,0.0002,0.0566,0.0,0.002,0.0018,0.001,0.0016,0.0006,0.0012,0.0072,0.0036,0.0058,0.0208,0.005,0.0004,0.0008,0.0012,0.006,0.0016,0.0046,0.0032,0.0086,0.0016,0.022,0.143,0.0124
4,0.826,0.0066,0.004,0.0,1.0,0.0068,0.0018,0.0002,0.0082,0.0058,0.0012,0.0018,0.0046,0.0458,0.0054,0.0034,0.0006,0.0062,0.007,0.0098,0.4586,0.0132,0.0034,0.265,0.0068,0.0044,0.0156,0.001,0.0046,0.3228,0.0004,0.0006,0.01,0.0276,0.0054,0.0006,0.0064,0.0024,0.0002,0.0092,0.0086,0.0006,0.063,0.003,0.0042,0.0056,0.0092,0.0008,0.0078,0.0028,0.0002,0.0,0.388,0.0008,0.0054,0.0006,0.0008,0.9524,0.002,0.5128,0.0098,0.0044,0.668,0.0064,0.0032,0.0014,0.0024,0.0034,0.0016,0.0052,0.0578,0.4916,0.796,0.0034,0.003,0.0028,0.0036,0.0024,0.1634,0.003,0.1222,0.6766,0.627,0.0076,0.0124,0.0008,0.0,0.0048,0.0062,0.004,0.0034,0.0128,0.0092,0.0026,0.0022,0.0004,0.7622,0.0048,0.0032,0.0024
5,0.0048,0.0006,0.003,0.0152,0.0068,1.0,0.001,0.004,0.0016,0.0024,0.0592,0.0004,0.002,0.004,0.0018,0.0024,0.0006,0.0082,0.0024,0.0012,0.0004,0.0002,0.0054,0.0002,0.0022,0.0114,0.0024,0.0068,0.0,0.002,0.0024,0.001,0.0002,0.0,0.0002,0.0018,0.0012,0.0004,0.0004,0.0004,0.0002,0.0012,0.0004,0.0218,0.0032,0.0,0.001,0.0022,0.0008,0.0038,0.0126,0.0016,0.0002,0.0034,0.002,0.001,0.0038,0.0044,0.001,0.0014,0.0008,0.0094,0.0018,0.0008,0.0246,0.017,0.0064,0.0002,0.001,0.0034,0.0,0.0014,0.0038,0.0168,0.0,0.6752,0.0002,0.002,0.0002,0.0018,0.0,0.0032,0.0018,0.0014,0.0002,0.0066,0.0012,0.0014,0.0006,0.0006,0.003,0.0006,0.0062,0.0082,0.0238,0.0004,0.0026,0.0084,0.0096,0.002
6,0.003,0.0,0.0056,0.0034,0.0018,0.001,1.0,0.0006,0.0006,0.0032,0.0056,0.0054,0.009,0.0,0.0002,0.0064,0.0086,0.0014,0.0008,0.0016,0.0048,0.0022,0.0052,0.0002,0.0008,0.0042,0.0088,0.0026,0.0004,0.0012,0.009,0.0018,0.0046,0.006,0.0,0.0034,0.0038,0.0066,0.0054,0.0038,0.0016,0.001,0.0028,0.001,0.0002,0.0008,0.001,0.006,0.011,0.0002,0.001,0.0144,0.001,0.0002,0.0006,0.0012,0.0008,0.0014,0.0016,0.0038,0.004,0.0016,0.002,0.0,0.002,0.001,0.2742,0.0002,0.0038,0.0044,0.0014,0.0018,0.0002,0.0048,0.0012,0.0004,0.001,0.0014,0.0028,0.005,0.0026,0.0006,0.001,0.0004,0.0006,0.0056,0.01,0.0144,0.0002,0.0016,0.0014,0.0012,0.0004,0.0042,0.0018,0.0068,0.0012,0.0074,0.0046,0.0
7,0.0012,0.0026,0.0042,0.0102,0.0002,0.004,0.0006,1.0,0.004,0.0018,0.0032,0.3524,0.0,0.002,0.2334,0.0054,0.0002,0.0012,0.0004,0.0044,0.0038,0.0072,0.0038,0.0034,0.004,0.0116,0.003,0.002,0.0004,0.0038,0.005,0.0026,0.001,0.0656,0.0012,0.001,0.0028,0.0,0.0008,0.0004,0.001,0.4594,0.0062,0.003,0.0014,0.0002,0.0,0.0008,0.0004,0.0032,0.0046,0.0008,0.005,0.0058,0.0004,0.0004,0.0016,0.0,0.002,0.0016,0.0028,0.0052,0.0024,0.0004,0.0018,0.0044,0.0,0.0004,0.0022,0.0008,0.0058,0.0036,0.0002,0.0078,0.0006,0.0076,0.0002,0.001,0.0136,0.0002,0.0044,0.0004,0.0012,0.0004,0.0,0.0084,0.0008,0.001,0.0002,0.0006,0.0008,0.0006,0.0016,0.011,0.0028,0.002,0.0022,0.0022,0.0012,0.003
8,0.0054,0.0072,0.0052,0.001,0.0082,0.0016,0.0006,0.004,1.0,0.0044,0.0134,0.0022,0.0002,0.003,0.0006,0.0016,0.0066,0.0076,0.0732,0.0038,0.0024,0.0014,0.0712,0.0004,0.005,0.0052,0.0002,0.0078,0.5332,0.0008,0.0022,0.0008,0.0022,0.0076,0.3516,0.004,0.0,0.008,0.0032,0.0032,0.4356,0.0016,0.0004,0.008,0.001,0.3162,0.0026,0.0066,0.002,0.0048,0.0014,0.0004,0.002,0.002,0.011,0.0,0.0048,0.0054,0.0002,0.0054,0.008,0.0036,0.0032,0.006,0.0146,0.0038,0.0006,0.0048,0.0008,0.1282,0.0008,0.0022,0.0036,0.006,0.5448,0.001,0.2778,0.0474,0.0022,0.004,0.0,0.0036,0.0056,0.0104,0.0048,0.0046,0.0006,0.0224,0.1092,0.2432,0.0266,0.0054,0.0016,0.002,0.0032,0.0,0.0054,0.0068,0.0066,0.0028
9,0.0038,0.0018,0.0064,0.0046,0.0058,0.0024,0.0032,0.0018,0.0044,1.0,0.0048,0.002,0.0024,0.0006,0.0042,0.0018,0.2106,0.008,0.0012,0.0052,0.0012,0.0,0.007,0.0014,0.0028,0.0118,0.0054,0.002,0.0018,0.001,0.0018,0.0014,0.0024,0.0044,0.0016,0.0024,0.0006,0.3542,0.002,0.0026,0.0084,0.0038,0.0022,0.0022,0.0026,0.0038,0.0066,0.6044,0.0066,0.0018,0.0042,0.0062,0.0036,0.0016,0.003,0.0036,0.0026,0.0048,0.0052,0.0026,0.211,0.0026,0.004,0.0026,0.0018,0.0038,0.006,0.001,0.0038,0.0084,0.0006,0.0034,0.0032,0.0112,0.0042,0.0008,0.0004,0.0052,0.0012,0.012,0.002,0.004,0.0036,0.0022,0.5056,0.0032,0.006,0.0134,0.0,0.0006,0.014,0.006,0.005,0.0004,0.004,0.0024,0.0054,0.0016,0.013,0.0034
