,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.928551733901177e-169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4249998997547148e-284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7660349873566345e-84,0.0,0.0,0.0,0.0,0.0,7.360750794642886e-113,0.0,1.3386755248490754e-200,1.3240047490649774e-107,1.3281926540903089e-98,0.0,0.0,3.754095961623152e-66,0.0,0.0,0.0,0.0,0.0,7.065428745656869e-64,0.0,0.0,1.1642116045899235e-73,0.0,0.0,0.0,0.0,0.0,2.120842961185813e-111,0.0,0.0,0.0,2.7839087099182765e-145,0.0,0.0,0.0,1.551931131680287e-83,0.0,0.0,1.8142505244432055e-201,0.0,0.0,0.0,0.0,0.0,4.67058617784275e-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.456071591619228e-165,0.0,0.0,0.0,0.0,0.0
3102,0.0,1.0,0.0,7.107994562210514e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44792534849892e-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.441788655477357e-53,0.0,0.0,0.0,1.473174440024749e-138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.064265171656047e-191,0.0,0.0,0.0,0.0,0.0,4.4019659155526285e-286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2747,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92412e-318,1.734075137152926e-15,0.0,0.0,3.5481933210392764e-78,1.9748141516595166e-149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.456363658217717e-180,0.0,2.732e-320,0.0,0.0,0.0,0.0,1.1752822455433428e-241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.951701483900515e-309,0.0,0.0,0.0,0.0,3.0394649139282857e-231,0.0,7.407077757185968e-93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.537851192730649e-198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.542642440239683e-12
2739,0.0,3.797275407951616e-19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3893019672494211e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21478440856095e-12,0.0,0.0,0.0,1.4425876564843619e-208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.048463031873582e-113,0.0,0.0,0.0,0.0,0.0,1.6304267404374302e-304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.911698733391786e-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8320335052965982e-131,0.0,6.159247788168095e-263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37065574296456305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.760757151788946e-215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.026775909557981e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.404119473970632e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.234546708760022e-20,0.0,0.0,0.0,0.0,0.0,4.2260401912607806e-44,2.794867014090406e-61,0.0,0.0,0.0,0.0,0.0,4.170903196966415e-75,0.0,0.0,0.0,0.0,6.057514469349381e-129,0.0,5.200056202280943e-258,0.0,0.0,0.0,7.503057525380918e-221,0.0,1.4941830609815329e-49,1.9139903624778355e-210,3.6928366236770835e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.42795787255788e-11,0.0,8.646551585564673e-303,0.0,0.0,0.0,0.0,0.0,1.2922320807412936e-123,0.0,0.0,0.0,2.0079331130883252e-76,0.0,0.0,0.0,8.896759406866975e-149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1248784033774764e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7474499068279928e-89,0.0,0.0,0.0,0.0,0.0
2920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57151181095301e-225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9563327e-317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4961077374304567e-261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.924185386716707e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.05370831e-315,1.341346710763e-311,0.0,0.0,8.653995850190046e-201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2282341226119078e-177,0.0,8.538550661937189e-162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.021728808637298e-56,0.0,8.893963503391266e-127,0.0,0.0,8.313986491541818e-202,0.0,0.0,0.0,0.0,0.0,0.0,9.666441610976375e-308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.620551631568582e-231,0.0
