,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.11,0.206,0.0,0.001,0.462,0.0,0.258,0.387,0.029,0.0,0.0,0.997,0.0,0.005,0.0,0.849,0.029,0.001,0.592,0.337,0.264,0.979,0.722,0.003,0.521,0.0,0.916,0.0,0.011
1,0.11,1.0,0.0,0.0,0.294,0.003,0.036,0.0,0.0,0.0,0.005,0.381,0.15,0.057,0.608,0.02,0.355,0.923,0.478,0.002,0.821,0.926,0.175,0.007,0.0,0.004,0.123,0.038,0.0,0.0
2,0.206,0.0,1.0,0.019,0.0,0.872,0.0,0.997,0.964,0.71,0.005,0.0,0.172,0.0,0.0,0.0,0.062,0.0,0.0,0.755,0.003,0.001,0.116,0.662,0.366,0.819,0.0,0.418,0.058,0.588
3,0.0,0.0,0.019,1.0,0.057,0.005,0.481,0.025,0.009,0.219,0.788,0.067,0.0,0.386,0.013,0.629,0.0,0.001,0.031,0.001,0.0,0.0,0.0,0.0,0.56,0.003,0.222,0.0,0.986,0.308
4,0.001,0.294,0.0,0.057,1.0,0.0,0.585,0.0,0.0,0.0,0.281,0.998,0.0,0.722,0.894,0.485,0.003,0.524,0.959,0.0,0.081,0.144,0.001,0.0,0.001,0.0,0.881,0.0,0.029,0.0
5,0.462,0.003,0.872,0.005,0.0,1.0,0.0,0.937,0.978,0.406,0.0,0.0,0.401,0.0,0.0,0.0,0.164,0.0,0.0,0.98,0.019,0.004,0.376,0.93,0.138,0.992,0.0,0.725,0.01,0.284
6,0.0,0.036,0.0,0.481,0.585,0.0,1.0,0.0,0.0,0.005,0.893,0.558,0.0,0.981,0.314,0.978,0.0,0.103,0.407,0.0,0.0,0.004,0.0,0.0,0.046,0.0,0.88,0.0,0.383,0.018
7,0.258,0.0,0.997,0.025,0.0,0.937,0.0,1.0,0.988,0.666,0.001,0.0,0.188,0.0,0.0,0.0,0.074,0.0,0.0,0.827,0.008,0.001,0.174,0.737,0.307,0.896,0.0,0.476,0.04,0.537
8,0.387,0.0,0.964,0.009,0.0,0.978,0.0,0.988,1.0,0.535,0.0,0.0,0.326,0.0,0.0,0.0,0.126,0.0,0.0,0.914,0.007,0.003,0.273,0.836,0.221,0.954,0.0,0.576,0.019,0.404
9,0.029,0.0,0.71,0.219,0.0,0.406,0.005,0.666,0.535,1.0,0.046,0.0,0.023,0.004,0.0,0.01,0.006,0.0,0.0,0.306,0.0,0.0,0.013,0.201,0.835,0.356,0.0,0.091,0.341,0.979
10,0.0,0.005,0.005,0.788,0.281,0.0,0.893,0.001,0.0,0.046,1.0,0.249,0.0,0.782,0.098,0.956,0.0,0.029,0.169,0.0,0.0,0.001,0.0,0.0,0.188,0.0,0.609,0.0,0.65,0.07
11,0.0,0.381,0.0,0.067,0.998,0.0,0.558,0.0,0.0,0.0,0.249,1.0,0.002,0.669,0.916,0.4,0.005,0.585,0.974,0.0,0.103,0.179,0.003,0.0,0.0,0.0,0.836,0.0,0.042,0.0
12,0.997,0.15,0.172,0.0,0.0,0.401,0.0,0.188,0.326,0.023,0.0,0.002,1.0,0.0,0.005,0.0,0.884,0.052,0.003,0.528,0.408,0.318,0.995,0.674,0.0,0.483,0.0,0.89,0.0,0.013
13,0.0,0.057,0.0,0.386,0.722,0.0,0.981,0.0,0.0,0.004,0.782,0.669,0.0,1.0,0.435,0.922,0.0,0.16,0.509,0.0,0.004,0.015,0.0,0.0,0.033,0.0,0.957,0.0,0.271,0.01
14,0.005,0.608,0.0,0.013,0.894,0.0,0.314,0.0,0.0,0.0,0.098,0.916,0.005,0.435,1.0,0.197,0.03,0.849,0.98,0.0,0.267,0.361,0.016,0.0,0.0,0.0,0.605,0.001,0.008,0.0
