,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.63,0.294,0.689,0.255,0.1,0.153,0.476,0.319,0.026,0.051,0.007,0.661,0.043,0.999,0.772,0.263,0.168,0.151,0.474,0.093,0.59,0.737,0.712,0.038,0.999,0.064,0.541,0.225,0.319
1,0.63,1.0,0.031,0.99,0.029,0.003,0.01,0.069,0.888,0.298,0.462,0.157,0.15,0.0,0.624,0.96,0.846,0.01,0.662,0.076,0.545,0.097,0.969,0.194,0.352,0.556,0.422,0.998,0.799,0.866
2,0.294,0.031,1.0,0.054,0.99,0.843,0.956,0.96,0.005,0.0,0.0,0.0,0.801,0.697,0.252,0.06,0.002,0.926,0.001,0.921,0.002,0.882,0.044,0.735,0.0,0.317,0.0,0.032,0.001,0.002
3,0.689,0.99,0.054,1.0,0.038,0.004,0.011,0.077,0.826,0.209,0.324,0.105,0.233,0.001,0.765,0.996,0.722,0.011,0.585,0.126,0.445,0.164,1.0,0.25,0.27,0.673,0.276,0.97,0.688,0.774
4,0.255,0.029,0.99,0.038,1.0,0.907,0.98,0.91,0.004,0.0,0.0,0.0,0.752,0.799,0.207,0.049,0.004,0.975,0.001,0.882,0.0,0.824,0.053,0.692,0.0,0.25,0.0,0.014,0.002,0.003
5,0.1,0.003,0.843,0.004,0.907,1.0,0.97,0.678,0.0,0.0,0.0,0.0,0.469,0.969,0.078,0.01,0.0,0.97,0.0,0.621,0.0,0.501,0.006,0.374,0.0,0.103,0.0,0.0,0.0,0.001
6,0.153,0.01,0.956,0.011,0.98,0.97,1.0,0.833,0.001,0.0,0.0,0.0,0.622,0.875,0.16,0.025,0.0,0.999,0.001,0.794,0.0,0.686,0.02,0.566,0.0,0.168,0.0,0.014,0.0,0.004
7,0.476,0.069,0.96,0.077,0.91,0.678,0.833,1.0,0.018,0.0,0.0,0.0,0.934,0.54,0.412,0.135,0.007,0.831,0.002,0.999,0.002,0.971,0.121,0.909,0.0,0.505,0.0,0.043,0.01,0.013
8,0.319,0.888,0.005,0.826,0.004,0.0,0.001,0.018,1.0,0.564,0.732,0.424,0.035,0.0,0.334,0.741,0.991,0.003,0.908,0.015,0.827,0.039,0.759,0.065,0.636,0.311,0.65,0.911,0.985,0.997
9,0.026,0.298,0.0,0.209,0.0,0.0,0.0,0.0,0.564,1.0,0.97,0.956,0.0,0.0,0.034,0.14,0.625,0.0,0.808,0.0,0.887,0.0,0.182,0.0,0.994,0.02,0.991,0.302,0.683,0.611
10,0.051,0.462,0.0,0.324,0.0,0.0,0.0,0.0,0.732,0.97,1.0,0.855,0.003,0.0,0.082,0.282,0.799,0.0,0.934,0.001,0.984,0.003,0.313,0.007,0.984,0.07,0.996,0.485,0.834,0.782
11,0.007,0.157,0.0,0.105,0.0,0.0,0.0,0.0,0.424,0.956,0.855,1.0,0.002,0.0,0.017,0.102,0.446,0.0,0.649,0.0,0.755,0.0,0.098,0.0,0.916,0.009,0.897,0.194,0.483,0.404
12,0.661,0.15,0.801,0.233,0.752,0.469,0.622,0.934,0.035,0.0,0.003,0.002,1.0,0.324,0.648,0.282,0.035,0.624,0.006,0.953,0.006,0.992,0.234,0.992,0.0,0.695,0.001,0.138,0.031,0.034
13,0.043,0.0,0.697,0.001,0.799,0.969,0.875,0.54,0.0,0.0,0.0,0.0,0.324,1.0,0.037,0.007,0.0,0.874,0.0,0.5,0.0,0.403,0.004,0.259,0.0,0.05,0.0,0.001,0.0,0.0
14,0.999,0.624,0.252,0.765,0.207,0.078,0.16,0.412,0.334,0.034,0.082,0.017,0.648,0.037,1.0,0.822,0.273,0.146,0.158,0.452,0.111,0.567,0.772,0.719,0.051,0.999,0.055,0.58,0.279,0.305
15,0.772,0.96,0.06,0.996,0.049,0.01,0.025,0.135,0.741,0.14,0.282,0.102,0.282,0.007,0.822,1.0,0.659,0.03,0.488,0.151,0.369,0.221,0.999,0.326,0.215,0.767,0.239,0.925,0.629,0.72
16,0.263,0.846,0.002,0.722,0.004,0.0,0.0,0.007,0.991,0.625,0.799,0.446,0.035,0.0,0.273,0.659,1.0,0.003,0.95,0.012,0.902,0.03,0.705,0.038,0.688,0.261,0.732,0.895,0.999,0.999
17,0.168,0.01,0.926,0.011,0.975,0.97,0.999,0.831,0.003,0.0,0.0,0.0,0.624,0.874,0.146,0.03,0.003,1.0,0.0,0.77,0.0,0.67,0.021,0.542,0.0,0.179,0.0,0.008,0.001,0.002
18,0.151,0.662,0.001,0.585,0.001,0.0,0.001,0.002,0.908,0.808,0.934,0.649,0.006,0.0,0.158,0.488,0.95,0.0,1.0,0.004,0.985,0.008,0.51,0.019,0.863,0.142,0.892,0.69,0.961,0.941
19,0.474,0.076,0.921,0.126,0.882,0.621,0.794,0.999,0.015,0.0,0.001,0.0,0.953,0.5,0.452,0.151,0.012,0.77,0.004,1.0,0.006,0.985,0.141,0.91,0.0,0.518,0.001,0.058,0.009,0.019
20,0.093,0.545,0.002,0.445,0.0,0.0,0.0,0.002,0.827,0.887,0.984,0.755,0.006,0.0,0.111,0.369,0.902,0.0,0.985,0.006,1.0,0.004,0.426,0.015,0.944,0.098,0.967,0.563,0.93,0.868
21,0.59,0.097,0.882,0.164,0.824,0.501,0.686,0.971,0.039,0.0,0.003,0.0,0.992,0.403,0.567,0.221,0.03,0.67,0.008,0.985,0.004,1.0,0.194,0.974,0.001,0.648,0.0,0.118,0.021,0.027
22,0.737,0.969,0.044,1.0,0.053,0.006,0.02,0.121,0.759,0.182,0.313,0.098,0.234,0.004,0.772,0.999,0.705,0.021,0.51,0.141,0.426,0.194,1.0,0.297,0.256,0.687,0.26,0.955,0.661,0.752
23,0.712,0.194,0.735,0.25,0.692,0.374,0.566,0.909,0.065,0.0,0.007,0.0,0.992,0.259,0.719,0.326,0.038,0.542,0.019,0.91,0.015,0.974,0.297,1.0,0.003,0.773,0.007,0.177,0.031,0.056
24,0.038,0.352,0.0,0.27,0.0,0.0,0.0,0.0,0.636,0.994,0.984,0.916,0.0,0.0,0.051,0.215,0.688,0.0,0.863,0.0,0.944,0.001,0.256,0.003,1.0,0.036,0.997,0.398,0.756,0.66
25,0.999,0.556,0.317,0.673,0.25,0.103,0.168,0.505,0.311,0.02,0.07,0.009,0.695,0.05,0.999,0.767,0.261,0.179,0.142,0.518,0.098,0.648,0.687,0.773,0.036,1.0,0.046,0.541,0.2,0.278
26,0.064,0.422,0.0,0.276,0.0,0.0,0.0,0.0,0.65,0.991,0.996,0.897,0.001,0.0,0.055,0.239,0.732,0.0,0.892,0.001,0.967,0.0,0.26,0.007,0.997,0.046,1.0,0.414,0.756,0.697
27,0.541,0.998,0.032,0.97,0.014,0.0,0.014,0.043,0.911,0.302,0.485,0.194,0.138,0.001,0.58,0.925,0.895,0.008,0.69,0.058,0.563,0.118,0.955,0.177,0.398,0.541,0.414,1.0,0.842,0.906
