,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.664,0.349,0.739,0.309,0.136,0.224,0.504,0.378,0.048,0.113,0.016,0.698,0.068,0.998,0.784,0.328,0.197,0.2,0.554,0.143,0.642,0.781,0.763,0.066,0.997,0.081,0.611,0.292,0.366
1,0.664,1.0,0.042,0.99,0.042,0.011,0.018,0.091,0.919,0.352,0.52,0.198,0.18,0.005,0.681,0.961,0.866,0.028,0.711,0.112,0.618,0.156,0.982,0.251,0.396,0.564,0.435,1.0,0.845,0.885
2,0.349,0.042,1.0,0.073,0.994,0.864,0.968,0.963,0.011,0.001,0.0,0.0,0.85,0.745,0.318,0.112,0.009,0.968,0.003,0.953,0.0,0.87,0.093,0.748,0.0,0.382,0.0,0.054,0.008,0.008
3,0.739,0.99,0.073,1.0,0.044,0.015,0.037,0.147,0.831,0.286,0.413,0.166,0.266,0.007,0.769,0.995,0.763,0.029,0.626,0.181,0.521,0.234,0.999,0.313,0.329,0.703,0.332,0.976,0.736,0.819
4,0.309,0.042,0.994,0.044,1.0,0.915,0.986,0.934,0.008,0.0,0.001,0.0,0.786,0.818,0.271,0.076,0.003,0.973,0.001,0.917,0.001,0.841,0.061,0.684,0.0,0.32,0.001,0.022,0.003,0.007
5,0.136,0.011,0.864,0.015,0.915,1.0,0.967,0.72,0.0,0.0,0.0,0.0,0.511,0.98,0.119,0.023,0.0,0.976,0.0,0.677,0.0,0.577,0.016,0.45,0.0,0.132,0.0,0.003,0.001,0.001
6,0.224,0.018,0.968,0.037,0.986,0.967,1.0,0.854,0.004,0.0,0.0,0.0,0.672,0.893,0.174,0.052,0.002,1.0,0.003,0.841,0.0,0.721,0.044,0.611,0.0,0.235,0.0,0.013,0.001,0.004
7,0.504,0.091,0.963,0.147,0.934,0.72,0.854,1.0,0.03,0.001,0.001,0.0,0.949,0.589,0.474,0.197,0.021,0.822,0.004,0.999,0.003,0.971,0.14,0.918,0.0,0.529,0.003,0.084,0.011,0.018
8,0.378,0.919,0.011,0.831,0.008,0.0,0.004,0.03,1.0,0.609,0.764,0.421,0.082,0.001,0.444,0.787,0.994,0.002,0.933,0.021,0.859,0.057,0.809,0.111,0.653,0.354,0.732,0.94,0.982,0.999
9,0.048,0.352,0.001,0.286,0.0,0.0,0.0,0.001,0.609,1.0,0.958,0.964,0.003,0.0,0.054,0.21,0.668,0.0,0.834,0.0,0.901,0.002,0.257,0.004,0.991,0.033,0.984,0.379,0.707,0.646
10,0.113,0.52,0.0,0.413,0.001,0.0,0.0,0.001,0.764,0.958,1.0,0.836,0.007,0.0,0.131,0.335,0.825,0.0,0.935,0.006,0.986,0.004,0.391,0.015,0.993,0.095,0.997,0.544,0.86,0.814
11,0.016,0.198,0.0,0.166,0.0,0.0,0.0,0.0,0.421,0.964,0.836,1.0,0.001,0.0,0.021,0.117,0.506,0.0,0.683,0.0,0.771,0.0,0.138,0.0,0.918,0.017,0.889,0.235,0.54,0.507
12,0.698,0.18,0.85,0.266,0.786,0.511,0.672,0.949,0.082,0.003,0.007,0.001,1.0,0.379,0.67,0.329,0.052,0.626,0.019,0.955,0.017,0.994,0.299,0.989,0.006,0.743,0.003,0.184,0.056,0.063
13,0.068,0.005,0.745,0.007,0.818,0.98,0.893,0.589,0.001,0.0,0.0,0.0,0.379,1.0,0.068,0.006,0.0,0.919,0.0,0.522,0.0,0.453,0.015,0.329,0.0,0.085,0.0,0.004,0.001,0.0
