,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0,0.002,0.0,0.0,0.017,0.237,0.0,0.004,0.032,0.0,0.004,0.018,0.258,0.0,0.0,0.012,0.0,0.0,0.018,0.011
1,0.002,1.0,0.0,0.013,0.0,0.021,0.009,0.0,0.048,0.125,0.0,0.011,0.01,0.0,0.071,0.002,0.022,0.0,0.0,0.008
2,0.0,0.0,1.0,0.055,0.005,0.0,0.016,0.023,0.003,0.0,0.005,0.001,0.096,0.007,0.075,0.0,0.009,0.131,0.023,0.0
3,0.0,0.013,0.055,1.0,0.029,0.0,0.012,0.043,0.0,0.011,0.01,0.016,0.0,0.211,0.09,0.009,0.01,0.043,0.0,0.025
4,0.017,0.0,0.005,0.029,1.0,0.014,0.013,0.001,0.025,0.0,0.117,0.216,0.052,0.067,0.009,0.0,0.038,0.004,0.053,0.061
5,0.237,0.021,0.0,0.0,0.014,1.0,0.0,0.039,0.26,0.007,0.01,0.072,0.084,0.0,0.0,0.014,0.0,0.001,0.005,0.016
6,0.0,0.009,0.016,0.012,0.013,0.0,1.0,0.0,0.07,0.0,0.061,0.003,0.028,0.011,0.005,0.0,0.004,0.016,0.018,0.11
7,0.004,0.0,0.023,0.043,0.001,0.039,0.0,1.0,0.009,0.011,0.122,0.0,0.001,0.027,0.0,0.023,0.0,0.043,0.037,0.0
8,0.032,0.048,0.003,0.0,0.025,0.26,0.07,0.009,1.0,0.0,0.039,0.152,0.223,0.0,0.0,0.0,0.004,0.128,0.096,0.012
9,0.0,0.125,0.0,0.011,0.0,0.007,0.0,0.011,0.0,1.0,0.0,0.0,0.0,0.0,0.015,0.22,0.002,0.0,0.005,0.009
10,0.004,0.0,0.005,0.01,0.117,0.01,0.061,0.122,0.039,0.0,1.0,0.048,0.022,0.009,0.0,0.0,0.008,0.032,0.0,0.0
11,0.018,0.011,0.001,0.016,0.216,0.072,0.003,0.0,0.152,0.0,0.048,1.0,0.084,0.015,0.007,0.0,0.08,0.086,0.108,0.01
12,0.258,0.01,0.096,0.0,0.052,0.084,0.028,0.001,0.223,0.0,0.022,0.084,1.0,0.0,0.006,0.0,0.042,0.003,0.151,0.02
13,0.0,0.0,0.007,0.211,0.067,0.0,0.011,0.027,0.0,0.0,0.009,0.015,0.0,1.0,0.028,0.007,0.024,0.002,0.0,0.055
14,0.0,0.071,0.075,0.09,0.009,0.0,0.005,0.0,0.0,0.015,0.0,0.007,0.006,0.028,1.0,0.03,0.118,0.004,0.073,0.003
15,0.012,0.002,0.0,0.009,0.0,0.014,0.0,0.023,0.0,0.22,0.0,0.0,0.0,0.007,0.03,1.0,0.027,0.0,0.06,0.046
16,0.0,0.022,0.009,0.01,0.038,0.0,0.004,0.0,0.004,0.002,0.008,0.08,0.042,0.024,0.118,0.027,1.0,0.0,0.001,0.006
17,0.0,0.0,0.131,0.043,0.004,0.001,0.016,0.043,0.128,0.0,0.032,0.086,0.003,0.002,0.004,0.0,0.0,1.0,0.017,0.0
18,0.018,0.0,0.023,0.0,0.053,0.005,0.018,0.037,0.096,0.005,0.0,0.108,0.151,0.0,0.073,0.06,0.001,0.017,1.0,0.002
19,0.011,0.008,0.0,0.025,0.061,0.016,0.11,0.0,0.012,0.009,0.0,0.01,0.02,0.055,0.003,0.046,0.006,0.0,0.002,1.0
