,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.665,0.409,0.785,0.373,0.192,0.25,0.596,0.398,0.082,0.166,0.045,0.729,0.124,0.999,0.838,0.394,0.277,0.253,0.598,0.194,0.665,0.819,0.813,0.104,1.0,0.114,0.658,0.373,0.409
1,0.665,1.0,0.069,0.991,0.065,0.011,0.021,0.161,0.912,0.434,0.563,0.268,0.273,0.007,0.722,0.974,0.885,0.046,0.76,0.176,0.668,0.232,0.979,0.317,0.488,0.662,0.51,1.0,0.851,0.9
2,0.409,0.069,1.0,0.123,0.996,0.902,0.966,0.962,0.031,0.001,0.002,0.0,0.868,0.798,0.388,0.161,0.02,0.963,0.008,0.955,0.002,0.896,0.122,0.784,0.0,0.461,0.0,0.073,0.013,0.02
3,0.785,0.991,0.123,1.0,0.084,0.031,0.064,0.187,0.839,0.3,0.484,0.219,0.324,0.01,0.81,0.997,0.815,0.047,0.646,0.225,0.563,0.272,0.998,0.417,0.373,0.76,0.416,0.974,0.773,0.861
4,0.373,0.065,0.996,0.084,1.0,0.908,0.989,0.943,0.021,0.001,0.0,0.0,0.817,0.838,0.366,0.1,0.007,0.986,0.002,0.914,0.004,0.865,0.102,0.755,0.0,0.383,0.0,0.057,0.011,0.018
5,0.192,0.011,0.902,0.031,0.908,1.0,0.965,0.749,0.002,0.0,0.0,0.0,0.569,0.973,0.149,0.04,0.002,0.969,0.0,0.708,0.001,0.655,0.037,0.512,0.0,0.182,0.0,0.006,0.0,0.006
6,0.25,0.021,0.966,0.064,0.989,0.965,1.0,0.877,0.008,0.0,0.001,0.0,0.73,0.909,0.253,0.076,0.007,0.999,0.003,0.856,0.0,0.767,0.076,0.653,0.0,0.315,0.0,0.021,0.006,0.01
7,0.596,0.161,0.962,0.187,0.943,0.749,0.877,1.0,0.052,0.003,0.005,0.001,0.945,0.645,0.518,0.237,0.035,0.865,0.02,0.999,0.015,0.983,0.211,0.925,0.004,0.624,0.002,0.13,0.038,0.039
8,0.398,0.912,0.031,0.839,0.021,0.002,0.008,0.052,1.0,0.674,0.808,0.509,0.116,0.0,0.452,0.804,0.996,0.006,0.946,0.057,0.897,0.1,0.853,0.15,0.734,0.403,0.748,0.939,0.989,0.999
9,0.082,0.434,0.001,0.3,0.001,0.0,0.0,0.003,0.674,1.0,0.974,0.965,0.011,0.0,0.101,0.274,0.737,0.0,0.853,0.006,0.915,0.004,0.289,0.006,0.994,0.068,0.996,0.453,0.739,0.689
