,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.12,0.234,0.0,0.0,0.463,0.0,0.263,0.352,0.028,0.0,0.001,0.994,0.0,0.004,0.0,0.841,0.04,0.0,0.596,0.366,0.251,0.975,0.711,0.0,0.52,0.0,0.93,0.0,0.007
1,0.12,1.0,0.0,0.0,0.298,0.003,0.032,0.0,0.0,0.0,0.007,0.354,0.149,0.044,0.587,0.018,0.368,0.917,0.476,0.002,0.84,0.931,0.214,0.012,0.0,0.0,0.104,0.04,0.0,0.0
2,0.234,0.0,1.0,0.029,0.0,0.889,0.0,0.989,0.945,0.75,0.003,0.0,0.162,0.0,0.0,0.0,0.06,0.0,0.0,0.785,0.003,0.002,0.13,0.672,0.341,0.856,0.0,0.427,0.046,0.621
3,0.0,0.0,0.029,1.0,0.066,0.005,0.472,0.013,0.013,0.204,0.763,0.047,0.0,0.348,0.014,0.583,0.0,0.0,0.022,0.001,0.0,0.0,0.0,0.0,0.542,0.001,0.236,0.0,0.978,0.308
4,0.0,0.298,0.0,0.066,1.0,0.0,0.589,0.0,0.0,0.0,0.304,0.999,0.002,0.72,0.906,0.452,0.004,0.518,0.961,0.0,0.085,0.152,0.002,0.0,0.002,0.0,0.874,0.0,0.037,0.001
5,0.463,0.003,0.889,0.005,0.0,1.0,0.0,0.913,0.984,0.431,0.0,0.0,0.399,0.0,0.0,0.0,0.174,0.001,0.0,0.973,0.023,0.006,0.396,0.924,0.147,0.993,0.0,0.701,0.006,0.302
6,0.0,0.032,0.0,0.472,0.589,0.0,1.0,0.0,0.0,0.005,0.898,0.541,0.0,0.979,0.312,0.977,0.0,0.073,0.413,0.0,0.002,0.005,0.0,0.0,0.05,0.0,0.882,0.0,0.361,0.019
7,0.263,0.0,0.989,0.013,0.0,0.913,0.0,1.0,0.988,0.667,0.001,0.0,0.207,0.0,0.0,0.001,0.074,0.0,0.0,0.803,0.002,0.001,0.186,0.75,0.311,0.892,0.0,0.496,0.035,0.526
8,0.352,0.0,0.945,0.013,0.0,0.984,0.0,0.988,1.0,0.525,0.0,0.0,0.308,0.0,0.0,0.0,0.131,0.0,0.0,0.908,0.009,0.003,0.288,0.837,0.216,0.957,0.0,0.613,0.024,0.43
9,0.028,0.0,0.75,0.204,0.0,0.431,0.005,0.667,0.525,1.0,0.031,0.0,0.018,0.004,0.0,0.012,0.004,0.0,0.0,0.304,0.0,0.0,0.018,0.223,0.818,0.357,0.001,0.09,0.295,0.976
10,0.0,0.007,0.003,0.763,0.304,0.0,0.898,0.001,0.0,0.031,1.0,0.252,0.0,0.772,0.108,0.956,0.0,0.016,0.169,0.0,0.0,0.001,0.0,0.0,0.16,0.0,0.594,0.0,0.655,0.073
11,0.001,0.354,0.0,0.047,0.999,0.0,0.541,0.0,0.0,0.0,0.252,1.0,0.0,0.647,0.924,0.402,0.01,0.592,0.983,0.0,0.117,0.185,0.001,0.0,0.003,0.0,0.819,0.0,0.032,0.0
12,0.994,0.149,0.162,0.0,0.002,0.399,0.0,0.207,0.308,0.018,0.0,0.0,1.0,0.0,0.008,0.0,0.873,0.054,0.004,0.547,0.431,0.278,0.996,0.647,0.001,0.437,0.0,0.845,0.0,0.012
13,0.0,0.044,0.0,0.348,0.72,0.0,0.979,0.0,0.0,0.004,0.772,0.647,0.0,1.0,0.408,0.924,0.001,0.147,0.53,0.0,0.007,0.018,0.0,0.0,0.033,0.0,0.962,0.0,0.265,0.005
14,0.004,0.587,0.0,0.014,0.906,0.0,0.312,0.0,0.0,0.0,0.108,0.924,0.008,0.408,1.0,0.227,0.043,0.855,0.983,0.0,0.253,0.352,0.008,0.0,0.0,0.0,0.576,0.0,0.004,0.0
15,0.0,0.018,0.0,0.583,0.452,0.0,0.977,0.001,0.0,0.012,0.956,0.402,0.0,0.924,0.227,1.0,0.0,0.053,0.298,0.0,0.001,0.002,0.0,0.0,0.08,0.0,0.775,0.0,0.487,0.027
16,0.841,0.368,0.06,0.0,0.004,0.174,0.0,0.074,0.131,0.004,0.0,0.01,0.873,0.001,0.043,0.0,1.0,0.171,0.015,0.275,0.721,0.618,0.921,0.392,0.0,0.217,0.001,0.609,0.0,0.003
17,0.04,0.917,0.0,0.0,0.518,0.001,0.073,0.0,0.0,0.0,0.016,0.592,0.054,0.147,0.855,0.053,0.171,1.0,0.721,0.0,0.631,0.728,0.063,0.003,0.0,0.0,0.285,0.012,0.001,0.0
18,0.0,0.476,0.0,0.022,0.961,0.0,0.413,0.0,0.0,0.0,0.169,0.983,0.004,0.53,0.983,0.298,0.015,0.721,1.0,0.0,0.184,0.268,0.003,0.0,0.0,0.0,0.713,0.0,0.014,0.0
19,0.596,0.002,0.785,0.001,0.0,0.973,0.0,0.803,0.908,0.304,0.0,0.0,0.547,0.0,0.0,0.0,0.275,0.0,0.0,1.0,0.026,0.031,0.49,0.984,0.084,0.994,0.0,0.835,0.003,0.204
20,0.366,0.84,0.003,0.0,0.085,0.023,0.002,0.002,0.009,0.0,0.0,0.117,0.431,0.007,0.253,0.001,0.721,0.631,0.184,0.026,1.0,0.982,0.488,0.067,0.0,0.026,0.021,0.171,0.0,0.0
21,0.251,0.931,0.002,0.0,0.152,0.006,0.005,0.001,0.003,0.0,0.001,0.185,0.278,0.018,0.352,0.002,0.618,0.728,0.268,0.031,0.982,1.0,0.374,0.033,0.0,0.018,0.037,0.14,0.0,0.0
22,0.975,0.214,0.13,0.0,0.002,0.396,0.0,0.186,0.288,0.018,0.0,0.001,0.996,0.0,0.008,0.0,0.921,0.063,0.003,0.49,0.488,0.374,1.0,0.606,0.001,0.401,0.0,0.843,0.0,0.008
23,0.711,0.012,0.672,0.0,0.0,0.924,0.0,0.75,0.837,0.223,0.0,0.0,0.647,0.0,0.0,0.0,0.392,0.003,0.0,0.984,0.067,0.033,0.606,1.0,0.055,0.96,0.0,0.927,0.003,0.147
24,0.0,0.0,0.341,0.542,0.002,0.147,0.05,0.311,0.216,0.818,0.16,0.003,0.001,0.033,0.0,0.08,0.0,0.0,0.0,0.084,0.0,0.0,0.001,0.055,1.0,0.123,0.008,0.015,0.669,0.918
25,0.52,0.0,0.856,0.001,0.0,0.993,0.0,0.892,0.957,0.357,0.0,0.0,0.437,0.0,0.0,0.0,0.217,0.0,0.0,0.994,0.026,0.018,0.401,0.96,0.123,1.0,0.0,0.797,0.004,0.245
26,0.0,0.104,0.0,0.236,0.874,0.0,0.882,0.0,0.0,0.001,0.594,0.819,0.0,0.962,0.576,0.775,0.001,0.285,0.713,0.0,0.021,0.037,0.0,0.0,0.008,0.0,1.0,0.0,0.15,0.0
27,0.93,0.04,0.427,0.0,0.0,0.701,0.0,0.496,0.613,0.09,0.0,0.0,0.845,0.0,0.0,0.0,0.609,0.012,0.0,0.835,0.171,0.14,0.843,0.927,0.015,0.797,0.0,1.0,0.0,0.052
28,0.0,0.0,0.046,0.978,0.037,0.006,0.361,0.035,0.024,0.295,0.655,0.032,0.0,0.265,0.004,0.487,0.0,0.001,0.014,0.003,0.0,0.0,0.0,0.003,0.669,0.004,0.15,0.0,1.0,0.421
29,0.007,0.0,0.621,0.308,0.001,0.302,0.019,0.526,0.43,0.976,0.073,0.0,0.012,0.005,0.0,0.027,0.003,0.0,0.0,0.204,0.0,0.0,0.008,0.147,0.918,0.245,0.0,0.052,0.421,1.0
