,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.153,0.007,0.306,0.004,0.0,0.001,0.047,0.011,0.0,0.0,0.0,0.239,0.0,0.994,0.42,0.005,0.0,0.001,0.072,0.0,0.156,0.366,0.345,0.0,0.993,0.0,0.115,0.002,0.012
1,0.153,1.0,0.0,0.949,0.0,0.0,0.0,0.0,0.647,0.008,0.052,0.0,0.001,0.0,0.214,0.87,0.532,0.0,0.255,0.0,0.136,0.0,0.915,0.003,0.019,0.133,0.021,0.994,0.459,0.617
2,0.007,0.0,1.0,0.0,0.967,0.572,0.851,0.857,0.0,0.005,0.0,0.013,0.47,0.295,0.007,0.0,0.0,0.799,0.0,0.805,0.0,0.597,0.0,0.353,0.001,0.016,0.0,0.0,0.0,0.0
3,0.306,0.949,0.0,1.0,0.0,0.0,0.0,0.0,0.481,0.004,0.018,0.0,0.003,0.0,0.344,0.978,0.35,0.0,0.113,0.0,0.056,0.001,0.996,0.006,0.009,0.233,0.005,0.919,0.31,0.42
4,0.004,0.0,0.967,0.0,1.0,0.691,0.932,0.722,0.0,0.003,0.0,0.038,0.35,0.39,0.001,0.0,0.0,0.918,0.0,0.674,0.0,0.461,0.0,0.23,0.0,0.013,0.001,0.0,0.0,0.0
5,0.0,0.0,0.572,0.0,0.691,1.0,0.856,0.253,0.0,0.072,0.02,0.259,0.043,0.91,0.0,0.0,0.0,0.904,0.002,0.207,0.001,0.097,0.0,0.022,0.042,0.0,0.037,0.0,0.0,0.0
6,0.001,0.0,0.851,0.0,0.932,0.856,1.0,0.551,0.0,0.012,0.001,0.07,0.182,0.613,0.0,0.0,0.0,0.984,0.0,0.448,0.0,0.278,0.0,0.133,0.009,0.001,0.005,0.0,0.0,0.0
7,0.047,0.0,0.857,0.0,0.722,0.253,0.551,1.0,0.0,0.0,0.0,0.002,0.785,0.114,0.047,0.0,0.0,0.473,0.0,0.994,0.0,0.896,0.0,0.675,0.0,0.084,0.0,0.0,0.0,0.0
8,0.011,0.647,0.0,0.481,0.0,0.0,0.0,0.0,1.0,0.125,0.342,0.038,0.0,0.0,0.022,0.366,0.976,0.0,0.733,0.0,0.537,0.0,0.415,0.0,0.201,0.013,0.214,0.737,0.95,0.996
9,0.0,0.008,0.005,0.004,0.003,0.072,0.012,0.0,0.125,1.0,0.871,0.879,0.0,0.21,0.0,0.001,0.18,0.023,0.469,0.0,0.659,0.0,0.001,0.0,0.972,0.0,0.947,0.019,0.229,0.17
10,0.0,0.052,0.0,0.018,0.0,0.02,0.001,0.0,0.342,0.871,1.0,0.544,0.0,0.067,0.0,0.008,0.488,0.002,0.804,0.0,0.936,0.0,0.015,0.0,0.955,0.0,0.972,0.073,0.54,0.408
11,0.0,0.0,0.013,0.0,0.038,0.259,0.07,0.002,0.038,0.879,0.544,1.0,0.0,0.493,0.0,0.0,0.054,0.113,0.212,0.002,0.342,0.001,0.0,0.0,0.747,0.0,0.67,0.001,0.081,0.046
12,0.239,0.001,0.47,0.003,0.35,0.043,0.182,0.785,0.0,0.0,0.0,0.0,1.0,0.015,0.202,0.004,0.0,0.125,0.0,0.849,0.0,0.981,0.003,0.979,0.0,0.304,0.0,0.001,0.0,0.0
13,0.0,0.0,0.295,0.0,0.39,0.91,0.613,0.114,0.0,0.21,0.067,0.493,0.015,1.0,0.0,0.0,0.0,0.693,0.006,0.089,0.025,0.027,0.0,0.004,0.115,0.0,0.088,0.0,0.001,0.001
14,0.994,0.214,0.007,0.344,0.001,0.0,0.0,0.047,0.022,0.0,0.0,0.0,0.202,0.0,1.0,0.489,0.014,0.0,0.0,0.043,0.0,0.113,0.405,0.305,0.0,0.966,0.0,0.136,0.007,0.013
15,0.42,0.87,0.0,0.978,0.0,0.0,0.0,0.0,0.366,0.001,0.008,0.0,0.004,0.0,0.489,1.0,0.245,0.0,0.062,0.001,0.031,0.0,0.992,0.015,0.001,0.342,0.002,0.814,0.196,0.262
16,0.005,0.532,0.0,0.35,0.0,0.0,0.0,0.0,0.976,0.18,0.488,0.054,0.0,0.0,0.014,0.245,1.0,0.0,0.852,0.0,0.671,0.0,0.283,0.0,0.278,0.006,0.34,0.606,0.996,0.998
17,0.0,0.0,0.799,0.0,0.918,0.904,0.984,0.473,0.0,0.023,0.002,0.113,0.125,0.693,0.0,0.0,0.0,1.0,0.0,0.407,0.001,0.227,0.0,0.087,0.011,0.0,0.006,0.0,0.0,0.0
18,0.001,0.255,0.0,0.113,0.0,0.002,0.0,0.0,0.733,0.469,0.804,0.212,0.0,0.006,0.0,0.062,0.852,0.0,1.0,0.0,0.952,0.0,0.107,0.0,0.628,0.0,0.671,0.297,0.928,0.815
19,0.072,0.0,0.805,0.0,0.674,0.207,0.448,0.994,0.0,0.0,0.0,0.002,0.849,0.089,0.043,0.001,0.0,0.407,0.0,1.0,0.0,0.943,0.0,0.745,0.0,0.119,0.0,0.0,0.0,0.0
20,0.0,0.136,0.0,0.056,0.0,0.001,0.0,0.0,0.537,0.659,0.936,0.342,0.0,0.025,0.0,0.031,0.671,0.001,0.952,0.0,1.0,0.0,0.041,0.0,0.803,0.0,0.85,0.153,0.724,0.615
21,0.156,0.0,0.597,0.001,0.461,0.097,0.278,0.896,0.0,0.0,0.0,0.001,0.981,0.027,0.113,0.0,0.0,0.227,0.0,0.943,0.0,1.0,0.002,0.918,0.0,0.208,0.0,0.0,0.0,0.0
22,0.366,0.915,0.0,0.996,0.0,0.0,0.0,0.0,0.415,0.001,0.015,0.0,0.003,0.0,0.405,0.992,0.283,0.0,0.107,0.0,0.041,0.002,1.0,0.007,0.004,0.302,0.006,0.858,0.243,0.358
23,0.345,0.003,0.353,0.006,0.23,0.022,0.133,0.675,0.0,0.0,0.0,0.0,0.979,0.004,0.305,0.015,0.0,0.087,0.0,0.745,0.0,0.918,0.007,1.0,0.0,0.397,0.0,0.001,0.0,0.0
24,0.0,0.019,0.001,0.009,0.0,0.042,0.009,0.0,0.201,0.972,0.955,0.747,0.0,0.115,0.0,0.001,0.278,0.011,0.628,0.0,0.803,0.0,0.004,0.0,1.0,0.0,0.994,0.026,0.337,0.237
25,0.993,0.133,0.016,0.233,0.013,0.0,0.001,0.084,0.013,0.0,0.0,0.0,0.304,0.0,0.966,0.342,0.006,0.0,0.0,0.119,0.0,0.208,0.302,0.397,0.0,1.0,0.0,0.123,0.009,0.002
26,0.0,0.021,0.0,0.005,0.001,0.037,0.005,0.0,0.214,0.947,0.972,0.67,0.0,0.088,0.0,0.002,0.34,0.006,0.671,0.0,0.85,0.0,0.006,0.0,0.994,0.0,1.0,0.055,0.377,0.291
27,0.115,0.994,0.0,0.919,0.0,0.0,0.0,0.0,0.737,0.019,0.073,0.001,0.001,0.0,0.136,0.814,0.606,0.0,0.297,0.0,0.153,0.0,0.858,0.001,0.026,0.123,0.055,1.0,0.525,0.676
28,0.002,0.459,0.0,0.31,0.0,0.0,0.0,0.0,0.95,0.229,0.54,0.081,0.0,0.001,0.007,0.196,0.996,0.0,0.928,0.0,0.724,0.0,0.243,0.0,0.337,0.009,0.377,0.525,1.0,0.976
29,0.012,0.617,0.0,0.42,0.0,0.0,0.0,0.0,0.996,0.17,0.408,0.046,0.0,0.001,0.013,0.262,0.998,0.0,0.815,0.0,0.615,0.0,0.358,0.0,0.237,0.002,0.291,0.676,0.976,1.0
