,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.033,0.002,0.023,0.004,0.06,0.018,0.368,0.072,0.034,0.0,0.06,0.104,0.564,0.244,0.178,0.02,0.001,0.039,0.108,0.002,0.043,0.017,0.024,0.06,0.001,0.044,0.103,0.003,0.008
1,0.033,1.0,0.007,0.001,0.006,0.002,0.0,0.045,0.01,0.014,0.003,0.011,0.029,0.004,0.067,0.014,0.002,0.006,0.007,0.01,0.004,0.688,0.004,0.025,0.009,0.005,0.004,0.002,0.02,0.681
2,0.002,0.007,1.0,0.312,0.759,0.017,0.269,0.007,0.13,0.179,0.798,0.042,0.003,0.007,0.004,0.058,0.47,0.626,0.13,0.009,0.803,0.01,0.457,0.077,0.037,0.483,0.05,0.02,0.106,0.008
3,0.023,0.001,0.312,1.0,0.251,0.408,0.795,0.016,0.814,0.699,0.544,0.591,0.031,0.057,0.014,0.435,0.888,0.097,0.683,0.232,0.161,0.02,0.873,0.028,0.54,0.26,0.508,0.351,0.012,0.004
4,0.004,0.006,0.759,0.251,1.0,0.017,0.22,0.011,0.092,0.085,0.654,0.031,0.003,0.004,0.001,0.038,0.387,0.801,0.066,0.007,0.881,0.005,0.255,0.211,0.023,0.834,0.032,0.01,0.267,0.002
5,0.06,0.002,0.017,0.408,0.017,1.0,0.355,0.009,0.72,0.58,0.076,0.886,0.055,0.122,0.016,0.714,0.214,0.006,0.456,0.635,0.005,0.009,0.296,0.003,0.758,0.023,0.882,0.671,0.0,0.007
6,0.018,0.0,0.269,0.795,0.22,0.355,1.0,0.008,0.68,0.428,0.559,0.476,0.024,0.059,0.015,0.372,0.736,0.061,0.592,0.169,0.122,0.005,0.675,0.013,0.488,0.278,0.445,0.292,0.008,0.001
7,0.368,0.045,0.007,0.016,0.011,0.009,0.008,1.0,0.029,0.014,0.008,0.019,0.015,0.171,0.508,0.065,0.021,0.007,0.02,0.014,0.011,0.079,0.013,0.111,0.018,0.015,0.009,0.015,0.016,0.026
8,0.072,0.01,0.13,0.814,0.092,0.72,0.68,0.029,1.0,0.782,0.287,0.784,0.066,0.139,0.033,0.688,0.655,0.028,0.724,0.346,0.058,0.015,0.687,0.018,0.78,0.123,0.734,0.53,0.003,0.012
9,0.034,0.014,0.179,0.699,0.085,0.58,0.428,0.014,0.782,1.0,0.303,0.692,0.081,0.059,0.031,0.557,0.56,0.048,0.753,0.327,0.058,0.033,0.758,0.004,0.739,0.103,0.646,0.525,0.007,0.021
