,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.038,0.001,0.018,0.001,0.056,0.016,0.343,0.058,0.039,0.002,0.052,0.09,0.586,0.273,0.15,0.025,0.0,0.039,0.097,0.0,0.038,0.021,0.027,0.078,0.008,0.048,0.089,0.002,0.015
1,0.038,1.0,0.001,0.006,0.0,0.002,0.0,0.046,0.007,0.018,0.0,0.004,0.036,0.005,0.068,0.011,0.005,0.002,0.001,0.005,0.002,0.7,0.005,0.031,0.009,0.003,0.011,0.006,0.023,0.641
2,0.001,0.001,1.0,0.308,0.753,0.016,0.238,0.007,0.126,0.187,0.798,0.049,0.002,0.002,0.007,0.056,0.491,0.627,0.117,0.021,0.792,0.013,0.458,0.08,0.029,0.492,0.038,0.019,0.105,0.005
3,0.018,0.006,0.308,1.0,0.245,0.367,0.789,0.015,0.8,0.702,0.496,0.539,0.024,0.063,0.016,0.443,0.893,0.111,0.678,0.237,0.159,0.017,0.885,0.021,0.544,0.254,0.551,0.35,0.011,0.003
4,0.001,0.0,0.753,0.245,1.0,0.016,0.233,0.015,0.105,0.09,0.659,0.04,0.002,0.003,0.001,0.046,0.374,0.82,0.053,0.007,0.877,0.005,0.246,0.193,0.026,0.846,0.019,0.01,0.304,0.002
5,0.056,0.002,0.016,0.367,0.016,1.0,0.349,0.013,0.709,0.564,0.077,0.903,0.08,0.115,0.014,0.755,0.237,0.005,0.444,0.626,0.002,0.009,0.306,0.0,0.784,0.023,0.866,0.685,0.0,0.004
6,0.016,0.0,0.238,0.789,0.233,0.349,1.0,0.01,0.7,0.451,0.551,0.496,0.024,0.09,0.015,0.378,0.737,0.082,0.589,0.187,0.111,0.006,0.671,0.012,0.458,0.265,0.465,0.261,0.005,0.002
7,0.343,0.046,0.007,0.015,0.015,0.013,0.01,1.0,0.037,0.015,0.008,0.015,0.011,0.145,0.503,0.053,0.034,0.005,0.022,0.017,0.008,0.068,0.012,0.122,0.015,0.011,0.011,0.025,0.009,0.019
8,0.058,0.007,0.126,0.8,0.105,0.709,0.7,0.037,1.0,0.795,0.325,0.808,0.066,0.133,0.028,0.709,0.622,0.03,0.696,0.335,0.045,0.023,0.719,0.022,0.773,0.113,0.738,0.522,0.003,0.005
9,0.039,0.018,0.187,0.702,0.09,0.564,0.451,0.015,0.795,1.0,0.298,0.742,0.088,0.062,0.023,0.545,0.558,0.045,0.743,0.333,0.064,0.033,0.761,0.006,0.73,0.092,0.654,0.539,0.006,0.015
10,0.002,0.0,0.798,0.496,0.659,0.077,0.551,0.008,0.325,0.298,1.0,0.161,0.009,0.005,0.004,0.147,0.704,0.354,0.288,0.052,0.561,0.011,0.622,0.064,0.125,0.653,0.164,0.07,0.071,0.0
11,0.052,0.004,0.049,0.539,0.04,0.903,0.496,0.015,0.808,0.742,0.161,1.0,0.063,0.112,0.019,0.778,0.388,0.006,0.688,0.722,0.014,0.013,0.486,0.005,0.918,0.047,0.958,0.81,0.002,0.003
