,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.051,0.088,0.008,0.044,0.02,0.078,0.012,0.005,0.005,0.023,0.016,0.088,0.009,0.072,0.193,0.239,0.026,0.057,0.226,0.111,0.096,0.012,0.044,0.079,0.145,0.583,0.043,0.07,0.018
1,0.051,1.0,0.126,0.68,0.012,0.328,0.056,0.373,0.341,0.136,0.71,0.667,0.014,0.242,0.043,0.016,0.097,0.718,0.455,0.186,0.018,0.02,0.717,0.003,0.024,0.013,0.04,0.368,0.034,0.826
2,0.088,0.126,1.0,0.102,0.19,0.217,0.412,0.0,0.005,0.433,0.214,0.026,0.44,0.004,0.044,0.178,0.214,0.032,0.205,0.637,0.571,0.419,0.07,0.124,0.387,0.138,0.048,0.442,0.046,0.075
3,0.008,0.68,0.102,1.0,0.024,0.634,0.077,0.288,0.238,0.298,0.662,0.594,0.033,0.11,0.011,0.004,0.018,0.549,0.43,0.22,0.026,0.035,0.972,0.005,0.054,0.003,0.007,0.482,0.017,0.901
4,0.044,0.012,0.19,0.024,1.0,0.047,0.042,0.003,0.004,0.052,0.058,0.009,0.782,0.001,0.016,0.061,0.075,0.014,0.042,0.234,0.686,0.707,0.01,0.787,0.791,0.052,0.02,0.086,0.105,0.016
5,0.02,0.328,0.217,0.634,0.047,1.0,0.32,0.057,0.056,0.691,0.495,0.172,0.131,0.019,0.018,0.033,0.076,0.134,0.525,0.486,0.088,0.142,0.494,0.019,0.138,0.028,0.006,0.871,0.049,0.46
6,0.078,0.056,0.412,0.077,0.042,0.32,1.0,0.0,0.001,0.594,0.106,0.013,0.232,0.004,0.064,0.397,0.307,0.011,0.189,0.478,0.153,0.189,0.046,0.015,0.141,0.32,0.067,0.557,0.084,0.037
7,0.012,0.373,0.0,0.288,0.003,0.057,0.0,1.0,0.871,0.015,0.142,0.555,0.0,0.423,0.022,0.007,0.044,0.603,0.086,0.012,0.001,0.001,0.382,0.0,0.0,0.001,0.009,0.028,0.022,0.393
8,0.005,0.341,0.005,0.238,0.004,0.056,0.001,0.871,1.0,0.02,0.163,0.373,0.004,0.269,0.034,0.008,0.065,0.411,0.088,0.012,0.0,0.006,0.289,0.002,0.005,0.004,0.005,0.046,0.034,0.314
9,0.005,0.136,0.433,0.298,0.052,0.691,0.594,0.015,0.02,1.0,0.226,0.064,0.138,0.018,0.012,0.05,0.074,0.06,0.256,0.389,0.11,0.144,0.24,0.008,0.132,0.022,0.004,0.82,0.026,0.147
10,0.023,0.71,0.214,0.662,0.058,0.495,0.106,0.142,0.163,0.226,1.0,0.464,0.055,0.091,0.042,0.024,0.075,0.484,0.743,0.333,0.071,0.068,0.668,0.011,0.085,0.019,0.018,0.488,0.027,0.732
11,0.016,0.667,0.026,0.594,0.009,0.172,0.013,0.555,0.373,0.064,0.464,1.0,0.006,0.456,0.008,0.001,0.021,0.872,0.288,0.097,0.009,0.01,0.677,0.0,0.012,0.001,0.015,0.15,0.02,0.817
12,0.088,0.014,0.44,0.033,0.782,0.131,0.232,0.0,0.004,0.138,0.055,0.006,1.0,0.0,0.019,0.264,0.175,0.012,0.051,0.443,0.902,0.902,0.02,0.551,0.898,0.204,0.069,0.169,0.08,0.021
13,0.009,0.242,0.004,0.11,0.001,0.019,0.004,0.423,0.269,0.018,0.091,0.456,0.0,1.0,0.01,0.0,0.009,0.479,0.036,0.013,0.002,0.002,0.149,0.0,0.005,0.0,0.012,0.018,0.009,0.233
14,0.072,0.043,0.044,0.011,0.016,0.018,0.064,0.022,0.034,0.012,0.042,0.008,0.019,0.01,1.0,0.326,0.308,0.022,0.034,0.038,0.02,0.023,0.019,0.003,0.005,0.358,0.144,0.031,0.282,0.01
15,0.193,0.016,0.178,0.004,0.061,0.033,0.397,0.007,0.008,0.05,0.024,0.001,0.264,0.0,0.326,1.0,0.673,0.005,0.058,0.187,0.187,0.187,0.003,0.143,0.142,0.911,0.304,0.087,0.289,0.005
16,0.239,0.097,0.214,0.018,0.075,0.076,0.307,0.044,0.065,0.074,0.075,0.021,0.175,0.009,0.308,0.673,1.0,0.034,0.099,0.16,0.17,0.161,0.032,0.091,0.116,0.514,0.256,0.151,0.317,0.053
17,0.026,0.718,0.032,0.549,0.014,0.134,0.011,0.603,0.411,0.06,0.484,0.872,0.012,0.479,0.022,0.005,0.034,1.0,0.228,0.086,0.008,0.011,0.639,0.004,0.012,0.003,0.014,0.097,0.025,0.707
18,0.057,0.455,0.205,0.43,0.042,0.525,0.189,0.086,0.088,0.256,0.743,0.288,0.051,0.036,0.034,0.058,0.099,0.228,1.0,0.432,0.069,0.073,0.385,0.018,0.053,0.045,0.055,0.533,0.049,0.51
19,0.226,0.186,0.637,0.22,0.234,0.486,0.478,0.012,0.012,0.389,0.333,0.097,0.443,0.013,0.038,0.187,0.16,0.086,0.432,1.0,0.459,0.413,0.202,0.147,0.357,0.155,0.107,0.573,0.135,0.217
20,0.111,0.018,0.571,0.026,0.686,0.088,0.153,0.001,0.0,0.11,0.071,0.009,0.902,0.002,0.02,0.187,0.17,0.008,0.069,0.459,1.0,0.863,0.015,0.464,0.854,0.115,0.041,0.144,0.074,0.01
21,0.096,0.02,0.419,0.035,0.707,0.142,0.189,0.001,0.006,0.144,0.068,0.01,0.902,0.002,0.023,0.187,0.161,0.011,0.073,0.413,0.863,1.0,0.033,0.45,0.878,0.14,0.049,0.183,0.091,0.021
22,0.012,0.717,0.07,0.972,0.01,0.494,0.046,0.382,0.289,0.24,0.668,0.677,0.02,0.149,0.019,0.003,0.032,0.639,0.385,0.202,0.015,0.033,1.0,0.005,0.045,0.003,0.007,0.398,0.016,0.963
23,0.044,0.003,0.124,0.005,0.787,0.019,0.015,0.0,0.002,0.008,0.011,0.0,0.551,0.0,0.003,0.143,0.091,0.004,0.018,0.147,0.464,0.45,0.005,1.0,0.555,0.142,0.014,0.022,0.053,0.002
24,0.079,0.024,0.387,0.054,0.791,0.138,0.141,0.0,0.005,0.132,0.085,0.012,0.898,0.005,0.005,0.142,0.116,0.012,0.053,0.357,0.854,0.878,0.045,0.555,1.0,0.085,0.033,0.169,0.056,0.032
25,0.145,0.013,0.138,0.003,0.052,0.028,0.32,0.001,0.004,0.022,0.019,0.001,0.204,0.0,0.358,0.911,0.514,0.003,0.045,0.155,0.115,0.14,0.003,0.142,0.085,1.0,0.24,0.05,0.23,0.0
26,0.583,0.04,0.048,0.007,0.02,0.006,0.067,0.009,0.005,0.004,0.018,0.015,0.069,0.012,0.144,0.304,0.256,0.014,0.055,0.107,0.041,0.049,0.007,0.014,0.033,0.24,1.0,0.033,0.242,0.011
27,0.043,0.368,0.442,0.482,0.086,0.871,0.557,0.028,0.046,0.82,0.488,0.15,0.169,0.018,0.031,0.087,0.151,0.097,0.533,0.573,0.144,0.183,0.398,0.022,0.169,0.05,0.033,1.0,0.095,0.355
28,0.07,0.034,0.046,0.017,0.105,0.049,0.084,0.022,0.034,0.026,0.027,0.02,0.08,0.009,0.282,0.289,0.317,0.025,0.049,0.135,0.074,0.091,0.016,0.053,0.056,0.23,0.242,0.095,1.0,0.026
29,0.018,0.826,0.075,0.901,0.016,0.46,0.037,0.393,0.314,0.147,0.732,0.817,0.021,0.233,0.01,0.005,0.053,0.707,0.51,0.217,0.01,0.021,0.963,0.002,0.032,0.0,0.011,0.355,0.026,1.0
