,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.029,0.023,0.088,0.057,0.068,0.043,0.013,0.004,0.124,0.056,0.087,0.025,0.016,0.043,0.245,0.237,0.101,0.057,0.12,0.014,0.027,0.102,0.032,0.023,0.173,0.648,0.064,0.163,0.091
1,0.029,1.0,0.073,0.421,0.053,0.177,0.079,0.279,0.173,0.041,0.773,0.691,0.025,0.037,0.001,0.017,0.046,0.576,0.552,0.121,0.01,0.011,0.533,0.064,0.036,0.018,0.003,0.133,0.004,0.837
2,0.023,0.073,1.0,0.25,0.204,0.462,0.247,0.023,0.048,0.273,0.146,0.073,0.285,0.015,0.18,0.233,0.168,0.074,0.065,0.721,0.628,0.364,0.221,0.015,0.209,0.215,0.0,0.51,0.045,0.113
3,0.088,0.421,0.25,1.0,0.157,0.641,0.075,0.068,0.11,0.28,0.24,0.445,0.068,0.002,0.061,0.22,0.153,0.133,0.182,0.391,0.187,0.005,0.96,0.094,0.018,0.159,0.041,0.58,0.04,0.628
4,0.057,0.053,0.204,0.157,1.0,0.128,0.151,0.005,0.01,0.088,0.018,0.083,0.77,0.06,0.083,0.104,0.031,0.044,0.011,0.082,0.668,0.323,0.157,0.646,0.625,0.209,0.022,0.081,0.002,0.085
5,0.068,0.177,0.462,0.641,0.128,1.0,0.168,0.025,0.068,0.449,0.208,0.141,0.067,0.035,0.163,0.295,0.343,0.02,0.229,0.476,0.208,0.032,0.568,0.071,0.017,0.144,0.029,0.842,0.039,0.365
6,0.043,0.079,0.247,0.075,0.151,0.168,1.0,0.002,0.005,0.599,0.179,0.075,0.358,0.079,0.015,0.125,0.065,0.159,0.099,0.225,0.279,0.288,0.065,0.037,0.192,0.118,0.005,0.422,0.048,0.061
7,0.013,0.279,0.023,0.068,0.005,0.025,0.002,1.0,0.696,0.006,0.143,0.247,0.013,0.011,0.008,0.001,0.014,0.242,0.134,0.072,0.004,0.001,0.112,0.006,0.001,0.003,0.04,0.031,0.04,0.156
8,0.004,0.173,0.048,0.11,0.01,0.068,0.005,0.696,1.0,0.001,0.105,0.063,0.014,0.024,0.0,0.003,0.003,0.037,0.093,0.083,0.025,0.007,0.104,0.002,0.007,0.003,0.036,0.081,0.017,0.086
9,0.124,0.041,0.273,0.28,0.088,0.449,0.599,0.006,0.001,1.0,0.071,0.116,0.194,0.152,0.208,0.259,0.192,0.181,0.017,0.263,0.196,0.173,0.227,0.054,0.091,0.221,0.015,0.606,0.022,0.1
10,0.056,0.773,0.146,0.24,0.018,0.208,0.179,0.143,0.105,0.071,1.0,0.463,0.032,0.057,0.003,0.012,0.086,0.51,0.795,0.237,0.001,0.063,0.357,0.031,0.053,0.003,0.007,0.229,0.017,0.677
11,0.087,0.691,0.073,0.445,0.083,0.141,0.075,0.247,0.063,0.116,0.463,1.0,0.0,0.114,0.009,0.059,0.038,0.732,0.245,0.145,0.033,0.011,0.575,0.111,0.011,0.047,0.006,0.126,0.025,0.793
12,0.025,0.025,0.285,0.068,0.77,0.067,0.358,0.013,0.014,0.194,0.032,0.0,1.0,0.009,0.062,0.113,0.019,0.003,0.036,0.127,0.76,0.562,0.065,0.289,0.782,0.299,0.078,0.094,0.011,0.024
13,0.016,0.037,0.015,0.002,0.06,0.035,0.079,0.011,0.024,0.152,0.057,0.114,0.009,1.0,0.006,0.007,0.055,0.281,0.01,0.049,0.0,0.004,0.006,0.166,0.018,0.001,0.025,0.059,0.099,0.014
14,0.043,0.001,0.18,0.061,0.083,0.163,0.015,0.008,0.0,0.208,0.003,0.009,0.062,0.006,1.0,0.345,0.295,0.004,0.0,0.168,0.169,0.062,0.086,0.011,0.029,0.368,0.13,0.114,0.176,0.046
15,0.245,0.017,0.233,0.22,0.104,0.295,0.125,0.001,0.003,0.259,0.012,0.059,0.113,0.007,0.345,1.0,0.689,0.025,0.017,0.31,0.191,0.014,0.267,0.038,0.011,0.811,0.338,0.229,0.304,0.124
16,0.237,0.046,0.168,0.153,0.031,0.343,0.065,0.014,0.003,0.192,0.086,0.038,0.019,0.055,0.295,0.689,1.0,0.01,0.112,0.362,0.062,0.008,0.164,0.033,0.0,0.388,0.352,0.243,0.404,0.153
17,0.101,0.576,0.074,0.133,0.044,0.02,0.159,0.242,0.037,0.181,0.51,0.732,0.003,0.281,0.004,0.025,0.01,1.0,0.199,0.071,0.016,0.019,0.233,0.09,0.016,0.013,0.001,0.044,0.023,0.479
18,0.057,0.552,0.065,0.182,0.011,0.229,0.099,0.134,0.093,0.017,0.795,0.245,0.036,0.01,0.0,0.017,0.112,0.199,1.0,0.206,0.003,0.068,0.195,0.003,0.036,0.002,0.003,0.198,0.044,0.459
19,0.12,0.121,0.721,0.391,0.082,0.476,0.225,0.072,0.083,0.263,0.237,0.145,0.127,0.049,0.168,0.31,0.362,0.071,0.206,1.0,0.302,0.105,0.359,0.001,0.032,0.221,0.025,0.629,0.207,0.235
20,0.014,0.01,0.628,0.187,0.668,0.208,0.279,0.004,0.025,0.196,0.001,0.033,0.76,0.0,0.169,0.191,0.062,0.016,0.003,0.302,1.0,0.623,0.182,0.177,0.651,0.315,0.031,0.241,0.014,0.039
21,0.027,0.011,0.364,0.005,0.323,0.032,0.288,0.001,0.007,0.173,0.063,0.011,0.562,0.004,0.062,0.014,0.008,0.019,0.068,0.105,0.623,1.0,0.001,0.026,0.689,0.101,0.058,0.112,0.016,0.029
22,0.102,0.533,0.221,0.96,0.157,0.568,0.065,0.112,0.104,0.227,0.357,0.575,0.065,0.006,0.086,0.267,0.164,0.233,0.195,0.359,0.182,0.001,1.0,0.111,0.015,0.166,0.057,0.467,0.057,0.783
23,0.032,0.064,0.015,0.094,0.646,0.071,0.037,0.006,0.002,0.054,0.031,0.111,0.289,0.166,0.011,0.038,0.033,0.09,0.003,0.001,0.177,0.026,0.111,1.0,0.231,0.062,0.001,0.033,0.005,0.067
24,0.023,0.036,0.209,0.018,0.625,0.017,0.192,0.001,0.007,0.091,0.053,0.011,0.782,0.018,0.029,0.011,0.0,0.016,0.036,0.032,0.651,0.689,0.015,0.231,1.0,0.084,0.069,0.029,0.008,0.057
25,0.173,0.018,0.215,0.159,0.209,0.144,0.118,0.003,0.003,0.221,0.003,0.047,0.299,0.001,0.368,0.811,0.388,0.013,0.002,0.221,0.315,0.101,0.166,0.062,0.084,1.0,0.245,0.127,0.25,0.047
26,0.648,0.003,0.0,0.041,0.022,0.029,0.005,0.04,0.036,0.015,0.007,0.006,0.078,0.025,0.13,0.338,0.352,0.001,0.003,0.025,0.031,0.058,0.057,0.001,0.069,0.245,1.0,0.017,0.344,0.036
27,0.064,0.133,0.51,0.58,0.081,0.842,0.422,0.031,0.081,0.606,0.229,0.126,0.094,0.059,0.114,0.229,0.243,0.044,0.198,0.629,0.241,0.112,0.467,0.033,0.029,0.127,0.017,1.0,0.073,0.274
28,0.163,0.004,0.045,0.04,0.002,0.039,0.048,0.04,0.017,0.022,0.017,0.025,0.011,0.099,0.176,0.304,0.404,0.023,0.044,0.207,0.014,0.016,0.057,0.005,0.008,0.25,0.344,0.073,1.0,0.025
29,0.091,0.837,0.113,0.628,0.085,0.365,0.061,0.156,0.086,0.1,0.677,0.793,0.024,0.014,0.046,0.124,0.153,0.479,0.459,0.235,0.039,0.029,0.783,0.067,0.057,0.047,0.036,0.274,0.025,1.0
