,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.034,0.111,0.027,0.036,0.057,0.046,0.005,0.024,0.015,0.067,0.002,0.049,0.016,0.195,0.394,0.311,0.037,0.077,0.093,0.113,0.046,0.025,0.003,0.018,0.326,0.683,0.076,0.167,0.007
1,0.034,1.0,0.142,0.327,0.082,0.183,0.002,0.166,0.051,0.01,0.899,0.696,0.035,0.182,0.034,0.051,0.045,0.776,0.682,0.276,0.123,0.019,0.447,0.015,0.023,0.056,0.002,0.167,0.026,0.699
2,0.111,0.142,1.0,0.021,0.179,0.106,0.133,0.018,0.026,0.054,0.191,0.047,0.141,0.017,0.126,0.222,0.105,0.124,0.153,0.337,0.664,0.383,0.033,0.033,0.151,0.214,0.241,0.211,0.126,0.078
3,0.027,0.327,0.021,1.0,0.176,0.694,0.223,0.211,0.046,0.329,0.297,0.798,0.227,0.221,0.027,0.001,0.011,0.366,0.231,0.215,0.086,0.031,0.976,0.146,0.089,0.001,0.019,0.656,0.007,0.768
4,0.036,0.082,0.179,0.176,1.0,0.546,0.161,0.086,0.076,0.256,0.127,0.196,0.808,0.307,0.039,0.058,0.035,0.173,0.052,0.4,0.545,0.416,0.196,0.802,0.75,0.057,0.081,0.365,0.165,0.213
5,0.057,0.183,0.106,0.694,0.546,1.0,0.398,0.168,0.059,0.517,0.216,0.575,0.631,0.238,0.035,0.066,0.063,0.275,0.179,0.506,0.337,0.28,0.716,0.346,0.414,0.043,0.029,0.887,0.061,0.563
6,0.046,0.002,0.133,0.223,0.161,0.398,1.0,0.003,0.024,0.831,0.002,0.061,0.453,0.048,0.095,0.102,0.035,0.021,0.007,0.24,0.235,0.428,0.209,0.129,0.378,0.144,0.014,0.571,0.005,0.059
7,0.005,0.166,0.018,0.211,0.086,0.168,0.003,1.0,0.747,0.029,0.128,0.204,0.032,0.226,0.017,0.021,0.116,0.235,0.102,0.131,0.022,0.023,0.17,0.11,0.007,0.001,0.034,0.116,0.308,0.207
8,0.024,0.051,0.026,0.046,0.076,0.059,0.024,0.747,1.0,0.009,0.057,0.077,0.01,0.237,0.001,0.018,0.075,0.136,0.046,0.153,0.022,0.042,0.057,0.138,0.0,0.003,0.065,0.027,0.367,0.094
9,0.015,0.01,0.054,0.329,0.256,0.517,0.831,0.029,0.009,1.0,0.01,0.114,0.565,0.089,0.025,0.032,0.023,0.058,0.003,0.175,0.209,0.325,0.295,0.243,0.496,0.049,0.001,0.575,0.038,0.156
10,0.067,0.899,0.191,0.297,0.127,0.216,0.002,0.128,0.057,0.01,1.0,0.63,0.044,0.166,0.033,0.045,0.011,0.771,0.777,0.308,0.147,0.048,0.393,0.035,0.038,0.059,0.035,0.212,0.055,0.722
11,0.002,0.696,0.047,0.798,0.196,0.575,0.061,0.204,0.077,0.114,0.63,1.0,0.164,0.321,0.035,0.0,0.013,0.726,0.538,0.338,0.147,0.035,0.865,0.122,0.08,0.027,0.001,0.462,0.014,0.956
12,0.049,0.035,0.141,0.227,0.808,0.631,0.453,0.032,0.01,0.565,0.044,0.164,1.0,0.141,0.052,0.071,0.021,0.094,0.034,0.427,0.548,0.592,0.227,0.57,0.921,0.089,0.055,0.547,0.08,0.194
13,0.016,0.182,0.017,0.221,0.307,0.238,0.048,0.226,0.237,0.089,0.166,0.321,0.141,1.0,0.018,0.005,0.017,0.452,0.123,0.102,0.05,0.0,0.24,0.314,0.062,0.01,0.008,0.083,0.093,0.272
14,0.195,0.034,0.126,0.027,0.039,0.035,0.095,0.017,0.001,0.025,0.033,0.035,0.052,0.018,1.0,0.565,0.328,0.034,0.05,0.004,0.088,0.16,0.015,0.033,0.043,0.632,0.42,0.033,0.119,0.035
15,0.394,0.051,0.222,0.001,0.058,0.066,0.102,0.021,0.018,0.032,0.045,0.0,0.071,0.005,0.565,1.0,0.703,0.023,0.029,0.021,0.169,0.19,0.0,0.029,0.041,0.845,0.451,0.07,0.234,0.005
16,0.311,0.045,0.105,0.011,0.035,0.063,0.035,0.116,0.075,0.023,0.011,0.013,0.021,0.017,0.328,0.703,1.0,0.013,0.011,0.007,0.059,0.055,0.003,0.027,0.011,0.485,0.549,0.061,0.367,0.004
17,0.037,0.776,0.124,0.366,0.173,0.275,0.021,0.235,0.136,0.058,0.771,0.726,0.094,0.452,0.034,0.023,0.013,1.0,0.487,0.242,0.187,0.019,0.429,0.124,0.044,0.043,0.006,0.209,0.128,0.709
18,0.077,0.682,0.153,0.231,0.052,0.179,0.007,0.102,0.046,0.003,0.777,0.538,0.034,0.123,0.05,0.029,0.011,0.487,1.0,0.379,0.121,0.029,0.268,0.009,0.014,0.078,0.048,0.199,0.058,0.535
19,0.093,0.276,0.337,0.215,0.4,0.506,0.24,0.131,0.153,0.175,0.308,0.338,0.427,0.102,0.004,0.021,0.007,0.242,0.379,1.0,0.538,0.402,0.272,0.073,0.319,0.011,0.102,0.541,0.042,0.362
20,0.113,0.123,0.664,0.086,0.545,0.337,0.235,0.022,0.022,0.209,0.147,0.147,0.548,0.05,0.088,0.169,0.059,0.187,0.121,0.538,1.0,0.642,0.121,0.256,0.548,0.138,0.217,0.347,0.175,0.174
21,0.046,0.019,0.383,0.031,0.416,0.28,0.428,0.023,0.042,0.325,0.048,0.035,0.592,0.0,0.16,0.19,0.055,0.019,0.029,0.402,0.642,1.0,0.044,0.152,0.68,0.181,0.105,0.356,0.086,0.043
22,0.025,0.447,0.033,0.976,0.196,0.716,0.209,0.17,0.057,0.295,0.393,0.865,0.227,0.24,0.015,0.0,0.003,0.429,0.268,0.272,0.121,0.044,1.0,0.167,0.13,0.002,0.012,0.664,0.005,0.851
23,0.003,0.015,0.033,0.146,0.802,0.346,0.129,0.11,0.138,0.243,0.035,0.122,0.57,0.314,0.033,0.029,0.027,0.124,0.009,0.073,0.256,0.152,0.167,1.0,0.578,0.046,0.023,0.168,0.194,0.13
24,0.018,0.023,0.151,0.089,0.75,0.414,0.378,0.007,0.0,0.496,0.038,0.08,0.921,0.062,0.043,0.041,0.011,0.044,0.014,0.319,0.548,0.68,0.13,0.578,1.0,0.044,0.062,0.335,0.108,0.077
25,0.326,0.056,0.214,0.001,0.057,0.043,0.144,0.001,0.003,0.049,0.059,0.027,0.089,0.01,0.632,0.845,0.485,0.043,0.078,0.011,0.138,0.181,0.002,0.046,0.044,1.0,0.376,0.042,0.167,0.024
26,0.683,0.002,0.241,0.019,0.081,0.029,0.014,0.034,0.065,0.001,0.035,0.001,0.055,0.008,0.42,0.451,0.549,0.006,0.048,0.102,0.217,0.105,0.012,0.023,0.062,0.376,1.0,0.049,0.4,0.005
27,0.076,0.167,0.211,0.656,0.365,0.887,0.571,0.116,0.027,0.575,0.212,0.462,0.547,0.083,0.033,0.07,0.061,0.209,0.199,0.541,0.347,0.356,0.664,0.168,0.335,0.042,0.049,1.0,0.034,0.483
28,0.167,0.026,0.126,0.007,0.165,0.061,0.005,0.308,0.367,0.038,0.055,0.014,0.08,0.093,0.119,0.234,0.367,0.128,0.058,0.042,0.175,0.086,0.005,0.194,0.108,0.167,0.4,0.034,1.0,0.025
29,0.007,0.699,0.078,0.768,0.213,0.563,0.059,0.207,0.094,0.156,0.722,0.956,0.194,0.272,0.035,0.005,0.004,0.709,0.535,0.362,0.174,0.043,0.851,0.13,0.077,0.024,0.005,0.483,0.025,1.0
