,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,1.0,0.003,0.701,0.042,0.095,0.033,0.011,0.017,0.145,0.0,0.0,0.0,0.665,0.747,0.372,0.057,0.006,0.001,0.014,0.159,0.001,0.022,0.517,0.375,0.0,0.031,0.001,0.465,0.0,0.212,0.0,0.0,0.47,0.37,0.048,0.034,0.129,0.04,0.406,0.006,0.001,0.146,0.049,0.009,0.0,0.0,0.626,0.008,0.16,0.027,0.04,0.005,0.001,0.003,0.501,0.017,0.013,0.0,0.011,0.001,0.78,0.0,0.188,0.0,0.0,0.875,0.0,0.263,0.026,0.0,0.0,0.0,0.853,0.881,0.001,0.002,0.278,0.011,0.0,0.1,0.086,0.073,0.779,0.0,0.0,0.015,0.666,0.0,0.626,0.135,0.0,0.0,0.001,0.039,0.0,0.013,0.0,0.183,0.296,0.0,0.0,0.147,0.022,0.004,0.04,0.104,0.659,0.394,0.005,0.191,0.0,0.064,0.019,0.001,0.0,0.643,0.001,0.014,0.026,0.07,0.148,0.17,0.016,0.039,0.017,0.877,0.0,0.146,0.018,0.765,0.026,0.056,0.008,0.283,0.0,0.0,0.0,0.173,0.0,0.11,0.103,0.001,0.621,0.482,0.043,0.069,0.222,0.522,0.0,0.0,0.217,0.187,0.019,0.216,0.0,0.001,0.01,0.0,0.021,0.037,0.144,0.118,0.043,0.702,0.0,0.0,0.124,0.0,0.492,0.179,0.607,0.569,0.002,0.0,0.008,0.003,0.0,0.494,0.0,0.0,0.017,0.0,0.126,0.108,0.038,0.031,0.0,0.14,0.0,0.116,0.0,0.002,0.63,0.142,0.0,0.0,0.563,0.0,0.0,0.006
1,0.003,1.0,0.003,0.202,0.0,0.001,0.261,0.006,0.002,0.05,0.039,0.307,0.008,0.016,0.0,0.0,0.579,0.645,0.0,0.0,0.145,0.069,0.007,0.001,0.0,0.0,0.197,0.004,0.0,0.0,0.475,0.0,0.0,0.067,0.013,0.0,0.0,0.0,0.002,0.0,0.56,0.005,0.012,0.0,0.078,0.0,0.003,0.0,0.009,0.034,0.0,0.004,0.0,0.293,0.0,0.253,0.0,0.033,0.008,0.0,0.0,0.174,0.0,0.093,0.091,0.003,0.224,0.0,0.0,0.0,0.076,0.02,0.001,0.0,0.006,0.079,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.074,0.051,0.436,0.011,0.267,0.001,0.001,0.0,0.189,0.075,0.0,0.769,0.0,0.2,0.001,0.001,0.0,0.639,0.001,0.006,0.001,0.0,0.001,0.006,0.014,0.0,0.0,0.079,0.007,0.554,0.0,0.181,0.008,0.407,0.0,0.0,0.002,0.006,0.001,0.017,0.0,0.528,0.001,0.0,0.0,0.0,0.002,0.011,0.028,0.0,0.002,0.619,0.08,0.139,0.001,0.007,0.001,0.001,0.48,0.005,0.009,0.0,0.0,0.003,0.0,0.0,0.581,0.001,0.003,0.554,0.001,0.104,0.105,0.0,0.0,0.3,0.0,0.0,0.0,0.586,0.004,0.084,0.702,0.008,0.051,0.003,0.001,0.002,0.002,0.005,0.083,0.0,0.551,0.053,0.004,0.036,0.093,0.626,0.0,0.0,0.008,0.438,0.009,0.0,0.007,0.0,0.012,0.037,0.011,0.001,0.002,0.643,0.0,0.002,0.028,0.255,0.663
2,0.701,0.003,1.0,0.057,0.021,0.026,0.003,0.012,0.129,0.001,0.0,0.0,0.54,0.766,0.15,0.003,0.001,0.002,0.004,0.034,0.004,0.001,0.532,0.191,0.0,0.003,0.001,0.309,0.0,0.096,0.0,0.0,0.21,0.513,0.015,0.013,0.099,0.012,0.352,0.007,0.0,0.042,0.04,0.002,0.0,0.0,0.464,0.0,0.042,0.01,0.002,0.0,0.0,0.0,0.345,0.012,0.001,0.0,0.02,0.0,0.535,0.0,0.097,0.0,0.0,0.774,0.0,0.165,0.001,0.0,0.0,0.0,0.418,0.551,0.0,0.0,0.174,0.0,0.0,0.049,0.014,0.016,0.496,0.0,0.0,0.019,0.399,0.001,0.413,0.026,0.0,0.0,0.003,0.006,0.0,0.001,0.0,0.043,0.154,0.001,0.0,0.045,0.007,0.0,0.009,0.025,0.678,0.465,0.001,0.067,0.0,0.023,0.015,0.0,0.005,0.387,0.001,0.0,0.011,0.02,0.048,0.099,0.018,0.015,0.022,0.423,0.0,0.043,0.007,0.501,0.053,0.057,0.0,0.078,0.0,0.0,0.0,0.054,0.0,0.072,0.046,0.0,0.479,0.268,0.015,0.033,0.102,0.691,0.0,0.0,0.157,0.057,0.004,0.043,0.0,0.0,0.009,0.0,0.027,0.015,0.042,0.05,0.022,0.442,0.0,0.0,0.057,0.0,0.297,0.122,0.436,0.446,0.002,0.0,0.0,0.002,0.0,0.343,0.0,0.0,0.002,0.0,0.019,0.038,0.031,0.027,0.014,0.058,0.0,0.214,0.0,0.002,0.463,0.04,0.0,0.0,0.426,0.0,0.001,0.004
3,0.042,0.202,0.057,1.0,0.0,0.001,0.492,0.0,0.001,0.286,0.218,0.464,0.023,0.071,0.0,0.001,0.347,0.473,0.0,0.0,0.254,0.205,0.016,0.004,0.0,0.0,0.571,0.001,0.002,0.0,0.427,0.0,0.004,0.219,0.001,0.0,0.0,0.0,0.02,0.0,0.458,0.008,0.227,0.001,0.362,0.0,0.025,0.0,0.005,0.0,0.001,0.001,0.0,0.214,0.015,0.62,0.006,0.268,0.0,0.0,0.028,0.286,0.0,0.384,0.457,0.065,0.355,0.0,0.0,0.0,0.35,0.211,0.026,0.05,0.13,0.558,0.0,0.0,0.0,0.003,0.0,0.001,0.049,0.263,0.338,0.599,0.006,0.207,0.034,0.002,0.0,0.409,0.402,0.001,0.076,0.0,0.422,0.002,0.0,0.0,0.173,0.0,0.009,0.007,0.0,0.001,0.08,0.082,0.0,0.012,0.477,0.002,0.088,0.002,0.243,0.093,0.259,0.0,0.0,0.001,0.005,0.0,0.001,0.0,0.651,0.028,0.0,0.007,0.0,0.09,0.003,0.012,0.0,0.002,0.263,0.324,0.35,0.003,0.129,0.0,0.003,0.347,0.049,0.066,0.0,0.0,0.077,0.02,0.0,0.193,0.0,0.005,0.287,0.001,0.181,0.475,0.001,0.003,0.86,0.0,0.001,0.0,0.431,0.031,0.37,0.362,0.005,0.281,0.054,0.0,0.03,0.025,0.12,0.601,0.001,0.481,0.298,0.025,0.316,0.353,0.311,0.0,0.009,0.015,0.058,0.017,0.003,0.015,0.0,0.011,0.363,0.173,0.047,0.011,0.134,0.0,0.117,0.191,0.306,0.465
4,0.095,0.0,0.021,0.0,1.0,0.008,0.0,0.045,0.014,0.0,0.0,0.0,0.038,0.041,0.119,0.284,0.0,0.0,0.032,0.099,0.0,0.0,0.03,0.013,0.003,0.019,0.0,0.103,0.0,0.03,0.0,0.0,0.006,0.003,0.194,0.004,0.008,0.002,0.002,0.004,0.0,0.11,0.006,0.003,0.0,0.009,0.022,0.31,0.332,0.079,0.291,0.088,0.0,0.0,0.023,0.0,0.039,0.0,0.006,0.002,0.023,0.0,0.06,0.0,0.0,0.034,0.0,0.011,0.264,0.002,0.0,0.0,0.094,0.037,0.0,0.0,0.038,0.233,0.003,0.013,0.006,0.03,0.008,0.0,0.0,0.0,0.104,0.002,0.003,0.013,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.225,0.078,0.02,0.0,0.117,0.041,0.004,0.001,0.227,0.004,0.043,0.005,0.465,0.0,0.18,0.0,0.0,0.0,0.012,0.0,0.128,0.0,0.037,0.153,0.038,0.017,0.008,0.0,0.1,0.001,0.029,0.004,0.022,0.003,0.005,0.316,0.305,0.0,0.0,0.0,0.112,0.0,0.008,0.092,0.0,0.004,0.001,0.024,0.001,0.004,0.001,0.0,0.0,0.01,0.384,0.001,0.155,0.002,0.0,0.003,0.011,0.001,0.027,0.145,0.046,0.001,0.011,0.0,0.0,0.341,0.0,0.003,0.0,0.061,0.013,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.013,0.0,0.002,0.184,0.038,0.001,0.005,0.0,0.0,0.013,0.022,0.0,0.0,0.003,0.0,0.001,0.0
5,0.033,0.001,0.026,0.001,0.008,1.0,0.0,0.0,0.057,0.0,0.0,0.0,0.074,0.068,0.072,0.001,0.0,0.0,0.0,0.003,0.0,0.0,0.097,0.007,0.0,0.03,0.0,0.042,0.0,0.005,0.0,0.0,0.002,0.016,0.008,0.496,0.144,0.013,0.02,0.247,0.0,0.002,0.0,0.259,0.0,0.0,0.028,0.01,0.012,0.0,0.0,0.0,0.057,0.0,0.017,0.0,0.059,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.02,0.0,0.031,0.001,0.0,0.0,0.0,0.012,0.003,0.0,0.0,0.064,0.033,0.013,0.003,0.0,0.017,0.002,0.0,0.0,0.0,0.115,0.0,0.003,0.001,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.004,0.039,0.0,0.001,0.007,0.0,0.0,0.007,0.002,0.011,0.008,0.02,0.001,0.0,0.027,0.0,0.0,0.0,0.003,0.001,0.004,0.005,0.0,0.006,0.147,0.0,0.017,0.0,0.012,0.0,0.001,0.168,0.005,0.0,0.0,0.01,0.012,0.0,0.0,0.0,0.003,0.0,0.152,0.232,0.0,0.006,0.001,0.035,0.004,0.0,0.021,0.001,0.001,0.037,0.005,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.061,0.002,0.117,0.001,0.01,0.0,0.0,0.004,0.0,0.002,0.038,0.079,0.011,0.0,0.0,0.002,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.005,0.003,0.002,0.043,0.0,0.0,0.004,0.002,0.0,0.0,0.005,0.0,0.0,0.001
6,0.011,0.261,0.003,0.492,0.0,0.0,1.0,0.022,0.0,0.624,0.524,0.469,0.005,0.012,0.0,0.0,0.575,0.391,0.0,0.0,0.327,0.661,0.001,0.008,0.0,0.007,0.489,0.0,0.031,0.0,0.641,0.0,0.003,0.04,0.005,0.0,0.001,0.001,0.003,0.0,0.573,0.0,0.076,0.0,0.408,0.0,0.006,0.0,0.0,0.023,0.0,0.003,0.0,0.274,0.008,0.841,0.01,0.487,0.022,0.001,0.003,0.444,0.0,0.599,0.679,0.003,0.443,0.0,0.0,0.001,0.586,0.483,0.005,0.004,0.267,0.644,0.002,0.0,0.0,0.0,0.005,0.003,0.007,0.609,0.392,0.616,0.004,0.276,0.009,0.001,0.0,0.484,0.22,0.002,0.173,0.01,0.54,0.0,0.0,0.0,0.282,0.001,0.0,0.0,0.0,0.0,0.015,0.008,0.002,0.001,0.663,0.012,0.074,0.017,0.612,0.011,0.439,0.0,0.001,0.0,0.0,0.0,0.011,0.001,0.425,0.009,0.001,0.0,0.005,0.009,0.04,0.013,0.0,0.002,0.205,0.749,0.414,0.0,0.339,0.001,0.004,0.751,0.012,0.034,0.001,0.001,0.063,0.003,0.0,0.362,0.0,0.0,0.549,0.0,0.263,0.623,0.002,0.0,0.381,0.0,0.0,0.0,0.549,0.013,0.601,0.485,0.001,0.644,0.015,0.001,0.003,0.004,0.276,0.422,0.008,0.423,0.199,0.007,0.455,0.577,0.57,0.0,0.001,0.0,0.052,0.0,0.0,0.011,0.0,0.0,0.645,0.276,0.011,0.0,0.185,0.0,0.01,0.667,0.417,0.71
7,0.017,0.006,0.012,0.0,0.045,0.0,0.022,1.0,0.002,0.005,0.005,0.012,0.002,0.005,0.001,0.141,0.029,0.017,0.054,0.031,0.014,0.004,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.02,0.001,0.0,0.0,0.288,0.007,0.002,0.0,0.002,0.0,0.018,0.025,0.004,0.0,0.003,0.0,0.0,0.025,0.043,0.257,0.112,0.377,0.0,0.004,0.002,0.014,0.0,0.001,0.411,0.0,0.0,0.001,0.001,0.003,0.009,0.005,0.011,0.001,0.058,0.001,0.011,0.007,0.001,0.015,0.001,0.005,0.005,0.032,0.0,0.003,0.0,0.0,0.003,0.007,0.008,0.007,0.001,0.004,0.0,0.013,0.031,0.003,0.016,0.0,0.004,0.0,0.003,0.032,0.0,0.001,0.011,0.052,0.122,0.032,0.0,0.018,0.001,0.054,0.0,0.197,0.012,0.381,0.004,0.0,0.058,0.008,0.02,0.045,0.001,0.018,0.072,0.004,0.213,0.0,0.013,0.005,0.0,0.051,0.0,0.007,0.286,0.104,0.027,0.028,0.02,0.005,0.011,0.058,0.0,0.002,0.005,0.016,0.0,0.0,0.0,0.0,0.004,0.002,0.0,0.014,0.002,0.045,0.003,0.027,0.009,0.006,0.564,0.0,0.0,0.0,0.047,0.0,0.008,0.0,0.0,0.012,0.125,0.012,0.002,0.002,0.0,0.001,0.0,0.003,0.0,0.02,0.009,0.0,0.029,0.007,0.005,0.008,0.067,0.019,0.001,0.037,0.0,0.07,0.0,0.001,0.01,0.002,0.0,0.03,0.005,0.01,0.007,0.011,0.021,0.003
8,0.145,0.002,0.129,0.001,0.014,0.057,0.0,0.002,1.0,0.0,0.01,0.003,0.624,0.117,0.761,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.659,0.49,0.0,0.345,0.009,0.295,0.0,0.592,0.0,0.0,0.153,0.118,0.0,0.078,0.836,0.7,0.514,0.251,0.002,0.002,0.019,0.234,0.001,0.0,0.584,0.001,0.012,0.0,0.0,0.04,0.098,0.0,0.571,0.004,0.278,0.022,0.0,0.039,0.247,0.0,0.739,0.0,0.009,0.241,0.0,0.75,0.0,0.028,0.001,0.0,0.279,0.102,0.002,0.007,0.907,0.001,0.007,0.001,0.11,0.535,0.202,0.0,0.009,0.0,0.488,0.001,0.26,0.001,0.0,0.023,0.0,0.572,0.009,0.002,0.016,0.006,0.829,0.019,0.006,0.002,0.004,0.0,0.479,0.003,0.21,0.002,0.15,0.002,0.007,0.0,0.04,0.0,0.0,0.097,0.0,0.005,0.429,0.0,0.001,0.679,0.0,0.643,0.0,0.298,0.039,0.001,0.509,0.133,0.0,0.001,0.001,0.009,0.0,0.016,0.0,0.001,0.007,0.79,0.322,0.002,0.408,0.094,0.521,0.744,0.002,0.285,0.002,0.004,0.903,0.003,0.018,0.008,0.0,0.037,0.0,0.007,0.001,0.583,0.002,0.631,0.013,0.231,0.01,0.0,0.004,0.0,0.277,0.879,0.697,0.479,0.0,0.01,0.082,0.0,0.0,0.335,0.0,0.003,0.014,0.003,0.011,0.0,0.085,0.001,0.0,0.0,0.001,0.016,0.001,0.0,0.342,0.0,0.0,0.024,0.022,0.0,0.0,0.001
9,0.0,0.05,0.001,0.286,0.0,0.0,0.624,0.005,0.0,1.0,0.78,0.481,0.0,0.0,0.0,0.001,0.207,0.177,0.0,0.001,0.546,0.492,0.0,0.008,0.0,0.005,0.425,0.0,0.054,0.004,0.451,0.002,0.005,0.001,0.0,0.0,0.006,0.0,0.0,0.002,0.379,0.001,0.033,0.001,0.633,0.0,0.007,0.0,0.0,0.009,0.001,0.0,0.0,0.332,0.01,0.406,0.011,0.678,0.016,0.0,0.001,0.657,0.0,0.812,0.829,0.0,0.584,0.0,0.0,0.006,0.895,0.886,0.002,0.0,0.558,0.588,0.0,0.001,0.0,0.002,0.002,0.0,0.0,0.874,0.697,0.31,0.0,0.329,0.004,0.0,0.0,0.454,0.293,0.0,0.034,0.012,0.526,0.0,0.001,0.003,0.142,0.0,0.008,0.0,0.0,0.0,0.008,0.001,0.001,0.002,0.85,0.006,0.0,0.049,0.546,0.0,0.346,0.0,0.0,0.0,0.004,0.002,0.009,0.001,0.185,0.001,0.0,0.004,0.012,0.0,0.043,0.014,0.0,0.002,0.109,0.811,0.625,0.004,0.587,0.003,0.009,0.436,0.005,0.001,0.002,0.006,0.012,0.004,0.0,0.161,0.0,0.002,0.147,0.0,0.473,0.512,0.007,0.008,0.203,0.003,0.0,0.001,0.168,0.0,0.74,0.306,0.0,1.0,0.004,0.001,0.001,0.013,0.514,0.381,0.009,0.267,0.428,0.0,0.774,0.788,0.163,0.001,0.019,0.016,0.006,0.001,0.0,0.023,0.0,0.0,0.899,0.667,0.013,0.014,0.092,0.001,0.001,0.751,0.581,0.33
