,0
0,100
1,874
2,549
3,1000
4,1768
5,569
6,827
7,1559
8,39
9,1180
10,975
11,1072
12,412
13,460
14,455
15,1790
16,786
17,1031
18,1796
19,2145
20,1249
21,1338
22,306
23,269
24,2062
25,293
26,1106
27,10
28,2129
29,738
30,1039
31,1965
32,659
33,416
34,1781
35,23
36,490
37,170
38,564
39,283
40,1135
41,1832
42,591
43,283
44,954
45,2048
46,355
47,2121
48,2118
49,1680
50,2050
51,1683
52,239
53,1464
54,109
55,1262
56,380
57,1206
58,2189
59,73
60,697
61,1416
62,66
63,864
64,1322
65,678
66,1239
67,611
68,1528
69,2217
70,1141
71,1271
72,536
73,255
74,837
75,1491
76,53
77,1625
78,315
79,2084
80,512
81,298
82,84
83,1027
84,829
85,791
86,450
87,1464
88,251
89,1600
90,2113
91,1204
92,1367
93,302
94,1065
95,168
96,1457
97,2148
98,750
99,1783
100,1308
101,1864
102,1809
103,1869
104,173
105,2077
106,500
107,533
108,308
109,1594
110,1322
111,1846
112,1243
113,1714
114,1315
115,721
116,1493
117,2041
118,588
119,1953
120,1897
121,333
122,1551
123,270
124,1356
125,536
126,73
127,1762
128,384
129,520
130,1578
131,1788
132,2121
133,2111
134,1149
135,901
136,1486
137,1829
138,1428
139,16
140,80
141,1042
142,559
143,93
144,24
145,246
146,358
147,193
148,1778
149,1090
150,212
151,1859
152,1328
153,2094
154,1345
155,1414
156,1887
157,2038
158,949
159,770
160,1934
161,694
162,1075
163,211
164,812
165,940
166,1612
167,1180
168,493
169,172
170,482
171,64
172,970
173,783
174,284
175,1057
176,1082
177,658
178,1016
179,864
180,1232
181,2110
182,2034
183,2124
184,1103
185,1544
186,1608
187,1505
188,540
189,182
190,1469
191,1339
192,724
193,1730
194,1312
195,2031
196,424
197,1477
198,1010
199,992
