,0
0,662
1,1119
2,261
3,1781
4,1530
5,417
6,1302
7,1524
8,1611
9,1104
10,1011
11,281
12,581
13,1152
14,976
15,1371
16,1306
17,179
18,2211
19,8
20,2177
21,1394
22,229
23,737
24,1491
25,1380
26,233
27,849
28,1163
29,1425
30,505
31,1647
32,126
33,1920
34,900
35,1755
36,70
37,1274
38,1380
39,730
40,1048
41,976
42,1810
43,1084
44,1015
45,833
46,2145
47,63
48,1978
49,386
50,814
51,791
52,1722
53,126
54,1914
55,238
56,785
57,1305
58,1016
59,1572
60,978
61,1047
62,413
63,345
64,883
65,179
66,311
67,753
68,1497
69,475
70,1642
71,1964
72,252
73,1157
74,304
75,51
76,1233
77,1780
78,1183
79,2031
80,9
81,781
82,188
83,729
84,900
85,1622
86,690
87,1359
88,52
89,857
90,1837
91,574
92,1849
93,1213
94,1195
95,323
96,1142
97,912
98,1538
99,803
100,520
101,1756
102,1675
103,2067
104,1533
105,770
106,381
107,227
108,25
109,1178
110,1004
111,571
112,816
113,1293
114,1740
115,302
116,570
117,210
118,1150
119,361
120,631
121,810
122,1729
123,1484
124,994
125,115
126,1041
127,192
128,1751
129,1353
130,1644
131,846
132,1563
133,1744
134,632
135,26
136,992
137,1148
138,1066
139,1236
140,239
141,1223
142,256
143,948
144,1790
145,923
146,1403
147,1538
148,1293
149,1196
150,1658
151,2169
152,957
153,582
154,1026
155,787
156,130
157,1093
158,329
159,739
160,73
161,1416
162,1347
163,729
164,1325
165,83
166,177
167,502
168,2203
169,19
170,883
171,1432
172,960
173,295
174,53
175,811
176,1953
177,2174
178,151
179,812
180,1165
181,1867
182,1735
183,190
184,16
185,460
186,1430
187,2215
188,1171
189,1892
190,1041
191,660
192,1058
193,714
194,498
195,2095
196,1027
197,2047
198,1318
199,2012
