,0
0,872
1,386
2,1149
3,1163
4,1748
5,791
6,552
7,1659
8,513
9,2023
10,2013
11,308
12,105
13,2161
14,1226
15,952
16,244
17,1525
18,512
19,1803
20,1480
21,264
22,167
23,1384
24,2060
25,208
26,1146
27,2112
28,445
29,159
30,758
31,822
32,1957
33,1904
34,185
35,111
36,1930
37,327
38,1657
39,1021
40,2038
41,74
42,1715
43,2185
44,1802
45,1321
46,129
47,1321
48,990
49,2069
50,1624
51,1986
52,2203
53,1044
54,2209
55,1469
56,690
57,1196
58,1833
59,1466
60,364
61,600
62,1551
63,1318
64,1860
65,1963
66,1318
67,1376
68,1888
69,1302
70,2001
71,1065
72,1875
73,2058
74,803
75,74
76,793
77,1338
78,690
79,234
80,1267
81,1284
82,1614
83,201
84,473
85,1656
86,227
87,1289
88,1371
89,1072
90,1268
91,412
92,618
93,1628
94,37
95,603
96,1829
97,437
98,382
99,906
100,1658
101,373
102,706
103,843
104,762
105,1679
106,885
107,137
108,1464
109,513
110,67
111,1238
112,1427
113,1162
114,434
115,1905
116,1932
117,883
118,922
119,572
120,1366
121,145
122,1389
123,787
124,177
125,662
126,1321
127,602
128,502
129,572
130,1086
131,1293
132,1066
133,1787
134,444
135,109
136,2007
137,49
138,2072
139,1477
140,1597
141,947
142,347
143,192
144,192
145,1420
146,898
147,923
148,157
149,490
150,1493
151,922
152,909
153,1667
154,1571
155,1740
156,1836
157,810
158,1175
159,429
160,37
161,374
162,1836
163,700
164,1170
165,482
166,648
167,228
168,380
169,585
170,1870
171,756
172,1299
173,1290
174,2
175,526
176,1899
177,1330
178,531
179,531
180,1039
181,1231
182,1942
183,823
184,2095
185,1319
186,190
187,501
188,394
189,1784
190,1467
191,1449
192,1800
193,1132
194,1751
195,1289
196,895
197,1046
198,85
199,458
