,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.146,0.231,0.115,0.009,0.094,0.126,0.287,0.033,0.126,1.0,0.062,1.0,0.043,0.167,0.042,0.225,0.046,0.013,0.001,0.07,0.076,0.261,0.42,0.01,0.018,0.003,0.014,0.303,0.52,0.65,0.017,0.059,0.003,0.151,0.289,0.224,0.011,0.263,0.148,0.037,0.179,0.069,0.013,0.01,0.165,0.019,0.021,1.0,0.418,0.133,0.218,0.041,0.167,0.066,0.169,0.128,0.008,0.041,0.147,0.003,0.057,0.005,0.088,0.119,0.084,0.052,0.119,0.06,0.073,0.091,0.011,0.213,0.149,0.033,0.512,0.192,0.154,0.087,0.169
1,0.146,1.0,0.484,0.028,0.116,0.024,0.017,0.045,0.35,0.046,0.157,0.025,0.161,0.044,0.223,0.025,0.554,0.028,0.021,0.266,0.023,0.016,0.072,0.222,0.101,0.123,0.071,0.021,0.013,0.0,0.124,0.099,0.014,0.004,0.05,0.019,0.104,0.024,0.062,1.0,0.066,0.135,0.046,0.128,0.076,0.053,0.135,0.025,0.168,0.215,0.048,0.079,0.112,0.004,0.016,1.0,0.06,0.09,0.346,0.014,0.101,0.032,0.124,0.032,0.22,0.001,0.003,0.042,0.0,0.01,0.055,0.216,0.466,0.039,0.361,0.012,0.264,0.0,0.022,0.002
2,0.231,0.484,1.0,0.107,0.087,0.038,0.162,0.0,0.113,0.078,0.217,0.025,0.221,0.004,0.114,0.013,0.131,0.092,0.013,0.064,0.014,0.137,0.016,0.836,0.162,0.094,0.28,0.009,0.003,0.055,0.008,0.0,0.089,0.077,0.067,0.001,0.0,0.022,0.55,0.451,0.096,0.116,0.06,0.112,0.0,0.018,0.083,0.019,0.247,0.809,0.014,0.0,0.039,0.203,0.083,0.457,0.023,0.011,0.139,0.09,0.021,0.0,0.128,0.0,0.102,0.053,0.003,0.066,0.007,0.126,0.012,0.106,1.0,0.068,0.108,0.01,0.421,0.084,0.0,0.037
3,0.115,0.028,0.107,1.0,0.031,0.105,0.99,0.026,0.029,0.064,0.141,0.081,0.145,0.054,0.06,0.009,0.069,0.038,0.692,0.029,0.041,0.0,0.072,0.232,0.004,0.021,0.082,0.019,0.135,0.092,0.0,0.085,0.023,0.013,0.078,0.183,0.083,0.039,0.464,0.029,0.014,0.027,0.031,0.029,0.01,0.049,0.035,0.699,0.132,0.234,0.042,0.074,0.104,0.631,0.037,0.022,0.117,0.096,0.04,0.147,0.002,0.3,0.022,0.225,0.09,0.14,0.045,0.072,0.044,0.002,0.663,0.005,0.12,0.083,0.043,0.012,0.244,0.01,0.239,0.077
4,0.009,0.116,0.087,0.031,1.0,0.325,0.034,0.028,0.093,0.337,0.017,0.191,0.017,0.043,0.011,0.261,0.066,0.022,0.009,0.224,0.032,0.098,0.407,0.052,0.312,1.0,0.27,0.131,0.018,0.009,0.008,0.219,0.062,0.162,0.346,0.018,0.029,0.212,0.046,0.144,0.102,0.087,0.0,1.0,0.128,0.336,1.0,0.012,0.017,0.044,0.363,0.032,0.22,0.04,0.062,0.144,0.1,0.06,0.105,0.047,0.206,0.039,0.782,0.027,0.023,0.105,0.029,0.337,0.026,0.113,0.033,0.687,0.07,0.352,0.082,0.025,0.001,0.088,0.033,0.059
5,0.094,0.024,0.038,0.105,0.325,1.0,0.084,0.071,0.153,0.429,0.093,0.109,0.077,0.134,0.078,0.441,0.199,0.032,0.018,0.044,0.052,0.132,0.223,0.061,0.016,0.307,0.048,0.041,0.019,0.081,0.068,0.079,0.111,0.011,0.425,0.029,0.099,0.07,0.054,0.013,0.02,0.069,0.213,0.318,0.315,0.266,0.311,0.028,0.086,0.056,0.277,0.122,0.104,0.06,0.147,0.024,0.11,0.358,0.165,0.012,0.374,0.125,0.323,0.016,0.1,0.218,0.045,0.42,0.058,0.148,0.016,0.427,0.045,0.434,0.168,0.057,0.047,0.053,0.026,0.004
6,0.126,0.017,0.162,0.99,0.034,0.084,1.0,0.028,0.049,0.059,0.103,0.083,0.14,0.088,0.095,0.009,0.086,0.043,0.636,0.019,0.026,0.001,0.072,0.263,0.002,0.036,0.095,0.02,0.156,0.077,0.0,0.08,0.025,0.023,0.068,0.168,0.107,0.065,0.518,0.021,0.009,0.061,0.018,0.036,0.014,0.048,0.038,0.612,0.13,0.251,0.054,0.097,0.103,0.681,0.033,0.028,0.109,0.102,0.04,0.167,0.004,0.304,0.02,0.219,0.103,0.125,0.04,0.066,0.045,0.001,0.722,0.004,0.147,0.064,0.036,0.022,0.193,0.013,0.223,0.102
7,0.287,0.045,0.0,0.026,0.028,0.071,0.028,1.0,0.002,0.058,0.308,0.008,0.323,0.364,0.113,0.03,0.147,0.0,0.223,0.001,0.005,0.146,0.024,0.071,0.0,0.025,0.197,0.005,0.666,0.237,0.727,0.01,0.074,0.001,0.065,0.67,0.669,0.003,0.002,0.048,0.0,0.207,0.027,0.026,0.0,0.001,0.021,0.212,0.319,0.081,0.002,0.706,0.095,0.002,0.092,0.06,0.154,0.0,0.003,0.132,0.001,0.014,0.009,0.01,0.083,0.0,0.15,0.068,0.165,0.138,0.175,0.003,0.001,0.053,0.003,0.807,0.078,0.215,0.01,0.023
8,0.033,0.35,0.113,0.029,0.093,0.153,0.049,0.002,1.0,0.006,0.029,0.034,0.039,0.171,0.287,0.019,0.104,0.025,0.036,0.133,0.03,0.288,0.096,0.095,0.062,0.075,0.048,0.04,0.096,0.068,0.011,0.065,0.093,0.001,0.008,0.1,0.159,0.031,0.005,0.303,0.001,0.044,0.061,0.097,0.015,0.042,0.088,0.035,0.043,0.095,0.029,0.176,0.038,0.036,0.102,0.367,0.008,0.02,1.0,0.009,0.106,0.308,0.184,0.083,0.338,0.001,0.007,0.006,0.005,0.293,0.143,0.117,0.133,0.008,1.0,0.021,0.299,0.005,0.08,0.058
9,0.126,0.046,0.078,0.064,0.337,0.429,0.059,0.058,0.006,1.0,0.147,0.187,0.147,0.008,0.026,0.114,0.547,0.057,0.055,0.016,0.117,0.129,0.254,0.062,0.141,0.314,0.192,0.274,0.074,0.276,0.133,0.13,0.044,0.144,1.0,0.054,0.04,0.358,0.041,0.05,0.098,0.432,0.083,0.328,0.205,0.123,0.336,0.043,0.162,0.071,0.107,0.045,0.003,0.026,0.054,0.051,0.213,0.47,0.004,0.093,0.026,0.001,0.553,0.077,0.013,0.098,0.053,1.0,0.07,0.138,0.006,0.371,0.062,1.0,0.009,0.151,0.018,0.073,0.068,0.01
