,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0,0.237,0.017,0.181,0.198,0.023,0.086,0.087,0.871,0.521,0.192,0.155,0.011,0.0,0.145,0.005,0.143,0.197,0.065,0.177
1,0.237,1.0,0.053,0.607,0.187,0.035,0.069,0.052,0.179,0.017,0.103,0.126,0.06,0.086,0.108,0.065,0.07,0.027,0.531,0.296
2,0.017,0.053,1.0,0.168,0.176,0.36,0.059,0.03,0.046,0.257,0.013,0.123,0.135,0.209,0.157,0.063,0.004,0.189,0.019,0.059
3,0.181,0.607,0.168,1.0,0.1,0.066,0.061,0.008,0.219,0.015,0.248,0.041,0.035,0.063,0.035,0.019,0.007,0.045,0.666,0.251
4,0.198,0.187,0.176,0.1,1.0,0.016,0.096,0.038,0.107,0.518,0.029,0.001,0.009,0.156,0.006,0.056,0.062,0.506,0.041,0.09
5,0.023,0.035,0.36,0.066,0.016,1.0,0.125,0.061,0.058,0.063,0.182,0.62,0.871,0.032,0.603,0.102,0.046,0.049,0.044,0.081
6,0.086,0.069,0.059,0.061,0.096,0.125,1.0,0.365,0.288,0.049,0.162,0.076,0.141,0.039,0.096,0.863,0.184,0.08,0.189,0.007
7,0.087,0.052,0.03,0.008,0.038,0.061,0.365,1.0,0.097,0.068,0.181,0.001,0.106,0.007,0.0,0.439,0.937,0.011,0.018,0.015
8,0.871,0.179,0.046,0.219,0.107,0.058,0.288,0.097,1.0,0.37,0.165,0.193,0.031,0.004,0.147,0.071,0.101,0.198,0.133,0.124
9,0.521,0.017,0.257,0.015,0.518,0.063,0.049,0.068,0.37,1.0,0.015,0.013,0.004,0.131,0.015,0.001,0.124,0.73,0.028,0.033
10,0.192,0.103,0.013,0.248,0.029,0.182,0.162,0.181,0.165,0.015,1.0,0.188,0.228,0.368,0.187,0.047,0.179,0.1,0.284,0.153
11,0.155,0.126,0.123,0.041,0.001,0.62,0.076,0.001,0.193,0.013,0.188,1.0,0.571,0.026,1.0,0.139,0.015,0.001,0.043,0.111
12,0.011,0.06,0.135,0.035,0.009,0.871,0.141,0.106,0.031,0.004,0.228,0.571,1.0,0.082,0.596,0.188,0.049,0.001,0.037,0.048
13,0.0,0.086,0.209,0.063,0.156,0.032,0.039,0.007,0.004,0.131,0.368,0.026,0.082,1.0,0.035,0.028,0.005,0.203,0.3,0.042
14,0.145,0.108,0.157,0.035,0.006,0.603,0.096,0.0,0.147,0.015,0.187,1.0,0.596,0.035,1.0,0.126,0.016,0.002,0.032,0.08
15,0.005,0.065,0.063,0.019,0.056,0.102,0.863,0.439,0.071,0.001,0.047,0.139,0.188,0.028,0.126,1.0,0.245,0.043,0.118,0.004
16,0.143,0.07,0.004,0.007,0.062,0.046,0.184,0.937,0.101,0.124,0.179,0.015,0.049,0.005,0.016,0.245,1.0,0.001,0.004,0.016
17,0.197,0.027,0.189,0.045,0.506,0.049,0.08,0.011,0.198,0.73,0.1,0.001,0.001,0.203,0.002,0.043,0.001,1.0,0.1,0.148
18,0.065,0.531,0.019,0.666,0.041,0.044,0.189,0.018,0.133,0.028,0.284,0.043,0.037,0.3,0.032,0.118,0.004,0.1,1.0,0.167
19,0.177,0.296,0.059,0.251,0.09,0.081,0.007,0.015,0.124,0.033,0.153,0.111,0.048,0.042,0.08,0.004,0.016,0.148,0.167,1.0
