,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.053,0.136,0.012,0.01,0.082,0.012,0.163,0.233,0.003,1.0,0.329,1.0,0.04,0.136,0.077,0.177,0.19,0.033,0.015,0.286,0.04,0.039,0.018,0.261,0.01,0.169,0.218,0.443,0.207,0.026,0.093,0.054,0.006,0.004,0.41,0.156,0.226,0.116,0.045,0.252,0.118,0.075,0.01,0.038,0.071,0.014,0.024,1.0,0.019,0.093,0.169,0.016,0.028,0.049,0.066,0.16,0.048,0.229,0.003,0.195,0.003,0.011,0.062,0.038,0.023,0.179,0.005,0.17,0.041,0.037,0.008,0.137,0.004,0.256,0.087,0.144,0.019,0.055,0.166
1,0.053,1.0,0.078,0.073,0.327,0.166,0.05,0.022,0.047,0.139,0.06,0.002,0.06,0.042,0.05,0.428,0.211,0.121,0.153,0.154,0.147,0.546,0.545,0.234,0.235,0.346,0.087,0.404,0.309,0.449,0.101,0.013,0.237,0.001,0.151,0.397,0.008,0.065,0.058,1.0,0.294,0.007,0.268,0.313,0.004,0.081,0.311,0.148,0.053,0.226,0.088,0.025,0.292,0.112,0.226,1.0,0.12,0.02,0.043,0.127,0.0,0.133,0.283,0.021,0.039,0.213,0.081,0.171,0.065,0.536,0.006,0.503,0.11,0.145,0.063,0.121,0.037,0.079,0.016,0.201
2,0.136,0.078,1.0,0.014,0.074,0.04,0.001,0.017,0.172,0.008,0.138,0.221,0.142,0.013,0.366,0.012,0.293,0.015,0.027,0.435,0.335,0.064,0.014,0.039,0.064,0.071,0.038,0.27,0.052,0.426,0.03,0.005,0.008,0.063,0.002,0.015,0.082,0.529,0.038,0.089,0.02,0.028,0.003,0.084,0.011,0.547,0.071,0.023,0.137,0.033,0.547,0.075,0.033,0.004,0.002,0.101,0.138,0.05,0.158,0.023,0.148,0.0,0.053,0.008,0.503,0.011,0.118,0.006,0.113,0.063,0.196,0.069,1.0,0.003,0.182,0.26,0.14,0.006,0.01,0.192
3,0.012,0.073,0.014,1.0,0.307,0.058,0.969,0.04,0.027,0.153,0.011,0.054,0.019,0.051,0.005,0.156,0.079,0.108,0.201,0.014,0.055,0.003,0.192,0.184,0.345,0.309,0.195,0.057,0.027,0.124,0.026,0.358,0.103,0.207,0.13,0.054,0.008,0.15,0.127,0.072,0.129,0.119,0.039,0.308,0.084,0.056,0.308,0.178,0.02,0.209,0.051,0.009,0.591,0.116,0.098,0.075,0.094,0.387,0.026,0.118,0.128,0.394,0.293,0.136,0.002,0.143,0.024,0.149,0.023,0.003,0.048,0.109,0.004,0.156,0.028,0.197,0.013,0.109,0.135,0.29
4,0.01,0.327,0.074,0.307,1.0,0.044,0.211,0.071,0.043,0.062,0.006,0.031,0.012,0.209,0.025,0.155,0.222,0.246,0.066,0.422,0.031,0.266,0.452,0.593,0.067,1.0,0.103,0.309,0.091,0.062,0.213,0.278,0.188,0.028,0.051,0.142,0.001,0.0,0.012,0.306,0.231,0.123,0.281,1.0,0.005,0.029,1.0,0.069,0.011,0.618,0.022,0.001,0.143,0.049,0.221,0.324,0.298,0.02,0.048,0.216,0.031,0.008,0.202,0.036,0.047,0.174,0.0,0.058,0.0,0.249,0.002,0.098,0.08,0.069,0.043,0.374,0.005,0.193,0.031,0.151
5,0.082,0.166,0.04,0.058,0.044,1.0,0.092,0.089,0.0,0.101,0.085,0.075,0.082,0.111,0.001,0.201,0.044,0.125,0.283,0.036,0.081,0.04,0.269,0.29,0.055,0.035,0.001,0.022,0.542,0.126,0.043,0.56,0.05,0.027,0.123,0.507,0.017,0.014,0.0,0.161,0.106,0.151,0.208,0.05,0.015,0.009,0.041,0.249,0.072,0.268,0.009,0.025,0.143,0.347,0.04,0.171,0.136,0.027,0.0,0.027,0.081,0.045,0.194,0.086,0.001,0.115,0.002,0.089,0.005,0.043,0.024,0.124,0.048,0.083,0.0,0.203,0.006,0.118,0.098,0.231
6,0.012,0.05,0.001,0.969,0.211,0.092,1.0,0.054,0.012,0.148,0.01,0.072,0.013,0.02,0.003,0.179,0.064,0.103,0.154,0.011,0.086,0.001,0.117,0.143,0.275,0.25,0.131,0.061,0.033,0.096,0.042,0.348,0.159,0.185,0.155,0.058,0.016,0.125,0.104,0.052,0.121,0.078,0.111,0.236,0.1,0.025,0.21,0.131,0.008,0.155,0.034,0.011,0.511,0.246,0.133,0.046,0.076,0.396,0.018,0.181,0.184,0.431,0.232,0.146,0.011,0.13,0.017,0.144,0.017,0.002,0.032,0.123,0.002,0.15,0.015,0.155,0.004,0.173,0.14,0.314
7,0.163,0.022,0.017,0.04,0.071,0.089,0.054,1.0,0.081,0.013,0.153,0.095,0.171,0.043,0.082,0.101,0.081,0.169,0.005,0.014,0.189,0.028,0.007,0.035,0.032,0.062,0.17,0.032,0.112,0.035,0.025,0.07,0.14,0.195,0.009,0.141,0.198,0.082,0.223,0.029,0.075,0.131,0.077,0.076,0.2,0.003,0.068,0.008,0.176,0.036,0.007,0.214,0.058,0.033,0.135,0.031,0.011,0.157,0.083,0.096,0.073,0.286,0.054,0.269,0.096,0.078,0.099,0.003,0.09,0.025,0.247,0.066,0.019,0.01,0.072,0.043,0.24,0.086,0.295,0.043
8,0.233,0.047,0.172,0.027,0.043,0.0,0.012,0.081,1.0,0.003,0.238,0.016,0.207,0.004,0.117,0.006,0.193,0.02,0.174,0.142,0.129,0.077,0.001,0.0,0.366,0.051,0.405,0.433,0.046,0.066,0.158,0.039,0.002,0.141,0.0,0.037,0.186,0.203,0.161,0.057,0.017,0.444,0.003,0.059,0.108,0.065,0.027,0.154,0.238,0.0,0.045,0.164,0.002,0.002,0.002,0.062,0.037,0.001,1.0,0.003,0.0,0.013,0.067,0.196,0.153,0.035,0.221,0.001,0.207,0.06,0.254,0.109,0.164,0.001,1.0,0.216,0.336,0.011,0.172,0.128
9,0.003,0.139,0.008,0.153,0.062,0.101,0.148,0.013,0.003,1.0,0.008,0.006,0.006,0.625,0.049,0.045,0.055,0.425,0.489,0.011,0.195,0.253,0.427,0.041,0.008,0.058,0.161,0.237,0.033,0.029,0.081,0.087,0.029,0.157,1.0,0.003,0.006,0.004,0.008,0.149,0.576,0.026,0.062,0.046,0.085,0.014,0.063,0.473,0.006,0.052,0.016,0.01,0.405,0.186,0.023,0.159,0.021,0.19,0.001,0.032,0.045,0.031,0.123,0.018,0.014,0.316,0.122,1.0,0.127,0.239,0.015,0.066,0.003,1.0,0.003,0.265,0.064,0.106,0.017,0.287
10,1.0,0.06,0.138,0.011,0.006,0.085,0.01,0.153,0.238,0.008,1.0,0.334,1.0,0.04,0.115,0.095,0.191,0.201,0.021,0.019,0.271,0.034,0.031,0.015,0.287,0.006,0.162,0.209,0.471,0.203,0.029,0.093,0.032,0.017,0.004,0.469,0.128,0.224,0.132,0.069,0.273,0.108,0.072,0.011,0.039,0.074,0.015,0.022,1.0,0.013,0.096,0.15,0.014,0.024,0.045,0.062,0.156,0.046,0.244,0.002,0.201,0.004,0.012,0.073,0.036,0.021,0.15,0.008,0.184,0.044,0.037,0.009,0.126,0.005,0.25,0.101,0.136,0.017,0.069,0.161
11,0.329,0.002,0.221,0.054,0.031,0.075,0.072,0.095,0.016,0.006,0.334,1.0,0.324,0.088,0.555,0.021,0.031,0.021,0.091,0.172,0.391,0.028,0.031,0.016,0.112,0.021,0.015,0.017,0.108,0.004,0.011,0.003,0.008,0.06,0.019,0.07,0.094,0.112,0.082,0.002,0.209,0.266,0.026,0.028,0.031,0.099,0.02,0.102,0.352,0.023,0.097,0.084,0.011,0.108,0.002,0.005,0.306,0.001,0.01,0.02,0.549,0.007,0.014,0.006,0.555,0.0,0.054,0.02,0.05,0.023,0.175,0.063,0.236,0.012,0.005,0.225,0.018,0.053,0.005,0.023
