,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.365,0.101,0.179,0.127,0.109,0.085,0.418,0.026,0.079,0.193,0.368,0.325,0.333,0.367,0.62,0.054,0.148,0.047,0.177,0.22,0.203,0.544,0.221,0.079,0.203,0.843,0.169,0.151,0.46,0.265,0.864,0.055,0.021,0.088,0.103,0.411,0.022,0.923,0.397,0.577,0.256,0.342,0.352,0.105,0.027,0.656,0.329,0.028,0.431,0.084,0.027,0.219,0.544,0.244,0.053,0.362,0.351,0.843,0.47,0.357,0.625,0.549,0.363,0.048,0.049,0.201,0.465,0.581,0.467,0.128,0.257,0.167,0.17,0.077,0.559,0.424,0.117,0.028,0.066
1,0.365,1.0,0.111,0.563,0.157,0.596,0.241,0.927,0.144,0.207,0.558,0.067,0.283,0.458,0.528,0.189,0.251,0.556,0.264,0.3,0.051,0.067,0.424,0.376,0.096,0.58,0.27,0.018,0.188,0.338,0.272,0.156,0.33,0.328,0.149,0.138,0.025,0.344,0.192,0.924,0.38,0.184,0.539,0.112,0.137,0.326,0.135,0.437,0.135,0.014,0.227,0.168,0.411,0.445,0.189,0.21,0.328,0.029,0.266,0.429,0.073,0.143,0.443,0.282,0.239,0.267,0.007,0.378,0.001,0.206,0.542,0.488,0.054,0.031,0.111,0.03,0.152,0.145,0.17,0.288
2,0.101,0.111,1.0,0.28,0.75,0.078,0.665,0.032,0.689,0.797,0.289,0.535,0.766,0.134,0.244,0.205,0.803,0.082,0.601,0.251,0.222,0.726,0.157,0.056,0.008,0.295,0.032,0.556,0.102,0.309,0.432,0.288,0.144,0.739,0.162,0.218,0.329,0.773,0.027,0.034,0.016,0.033,0.096,0.211,0.222,0.765,0.043,0.42,0.042,0.356,0.707,0.644,0.073,0.167,0.026,0.82,0.509,0.371,0.019,0.474,0.272,0.036,0.155,0.491,0.597,0.784,0.008,0.026,0.157,0.169,0.079,0.208,0.182,0.081,1.0,0.007,0.17,0.216,0.664,0.494
3,0.179,0.563,0.28,1.0,0.105,0.331,0.046,0.59,0.158,0.195,1.0,0.153,0.565,0.262,0.78,0.182,0.398,0.344,0.215,0.78,0.004,0.224,0.417,0.272,0.301,1.0,0.162,0.102,0.207,0.241,0.661,0.147,0.758,0.088,0.179,0.102,0.131,0.095,0.058,0.584,0.026,0.187,0.691,0.002,0.104,0.084,0.016,0.438,0.566,0.119,0.041,0.151,0.262,0.439,0.16,0.191,0.698,0.1,0.165,0.367,0.031,0.009,0.395,0.683,0.217,0.389,0.055,0.14,0.023,0.372,0.331,0.886,0.031,0.075,0.273,0.123,0.002,0.113,0.167,0.074
4,0.127,0.157,0.75,0.105,1.0,0.048,0.558,0.051,0.693,0.955,0.095,0.413,0.605,0.026,0.025,0.089,0.797,0.06,0.601,0.115,0.108,0.763,0.011,0.034,0.049,0.095,0.039,0.245,0.043,0.118,0.194,0.402,0.054,0.876,0.09,0.022,0.369,0.885,0.1,0.052,0.122,0.05,0.004,0.12,0.024,0.865,0.082,0.143,0.008,0.373,0.674,0.703,0.04,0.008,0.06,0.946,0.327,0.407,0.03,0.501,0.078,0.088,0.012,0.32,0.593,0.798,0.233,0.078,0.391,0.084,0.054,0.057,0.139,0.186,0.797,0.055,0.241,0.016,0.696,0.62
5,0.109,0.596,0.078,0.331,0.048,1.0,0.416,0.533,0.051,0.024,0.319,0.132,0.008,0.207,0.241,0.009,0.02,1.0,0.074,0.212,0.324,0.044,0.05,0.886,0.372,0.352,0.21,0.322,0.492,0.298,0.109,0.037,0.363,0.187,0.56,0.26,0.046,0.186,0.156,0.547,0.269,0.165,0.306,0.223,0.254,0.174,0.042,0.048,0.311,0.049,0.329,0.063,0.881,0.041,0.159,0.038,0.09,0.066,0.21,0.05,0.393,0.054,0.038,0.078,0.061,0.015,0.07,0.059,0.013,0.138,1.0,0.375,0.431,0.277,0.109,0.019,0.06,0.253,0.05,0.098
6,0.085,0.241,0.665,0.046,0.558,0.416,1.0,0.104,0.382,0.52,0.041,0.292,0.408,0.125,0.234,0.188,0.432,0.363,0.32,0.05,0.574,0.272,0.206,0.441,0.411,0.044,0.124,0.549,0.25,0.656,0.2,0.182,0.062,0.739,0.332,0.234,0.183,0.744,0.063,0.093,0.049,0.227,0.189,0.577,0.235,0.718,0.02,0.504,0.167,0.175,0.988,0.383,0.407,0.179,0.232,0.489,0.188,0.199,0.121,0.363,0.578,0.023,0.182,0.195,0.36,0.459,0.13,0.244,0.052,0.156,0.389,0.139,0.639,0.381,0.638,0.063,0.017,0.224,0.372,0.434
7,0.418,0.927,0.032,0.59,0.051,0.533,0.104,1.0,0.018,0.073,0.602,0.237,0.199,0.502,0.531,0.348,0.141,0.519,0.059,0.265,0.028,0.021,0.475,0.411,0.132,0.603,0.268,0.077,0.227,0.279,0.241,0.227,0.335,0.133,0.16,0.263,0.061,0.132,0.253,1.0,0.472,0.305,0.65,0.079,0.249,0.115,0.164,0.41,0.169,0.071,0.092,0.022,0.429,0.493,0.322,0.069,0.285,0.047,0.279,0.463,0.045,0.169,0.484,0.313,0.077,0.134,0.018,0.329,0.013,0.337,0.55,0.525,0.062,0.016,0.036,0.043,0.174,0.235,0.018,0.134
8,0.026,0.144,0.689,0.158,0.693,0.051,0.382,0.018,1.0,0.814,0.18,0.268,0.506,0.057,0.049,0.07,0.852,0.058,0.976,0.277,0.288,0.643,0.059,0.068,0.088,0.169,0.122,0.077,0.015,0.087,0.307,0.07,0.242,0.777,0.0,0.001,0.437,0.773,0.097,0.025,0.013,0.205,0.001,0.328,0.0,0.822,0.311,0.188,0.122,0.413,0.48,1.0,0.06,0.043,0.216,0.816,0.227,0.435,0.116,0.187,0.003,0.343,0.045,0.238,0.976,0.833,0.118,0.293,0.165,0.125,0.061,0.079,0.205,0.179,0.65,0.115,0.58,0.0,1.0,0.927
9,0.079,0.207,0.797,0.195,0.955,0.024,0.52,0.073,0.814,1.0,0.197,0.345,0.653,0.055,0.057,0.049,0.933,0.028,0.765,0.222,0.131,0.776,0.023,0.01,0.035,0.185,0.013,0.181,0.004,0.098,0.292,0.303,0.156,0.901,0.017,0.006,0.399,0.88,0.048,0.083,0.094,0.067,0.013,0.16,0.008,0.898,0.095,0.229,0.034,0.392,0.617,0.815,0.018,0.02,0.054,1.0,0.334,0.38,0.014,0.47,0.035,0.077,0.023,0.37,0.745,0.93,0.184,0.132,0.274,0.116,0.032,0.091,0.117,0.146,0.811,0.001,0.292,0.007,0.821,0.739
