,0
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,0
22,0
23,1
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,1
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,0
79,0
80,1
81,0
82,0
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,1
91,0
92,1
93,0
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,0
136,1
137,0
138,0
139,1
140,0
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,0
151,0
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,0
162,0
163,1
164,1
165,1
166,0
167,1
168,0
169,0
170,0
171,1
172,1
173,1
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,1
194,1
195,1
196,0
197,1
198,0
199,1
