,0
0,170
1,47
2,21
3,55
4,74
5,108
6,31
7,83
8,66
9,147
10,159
11,114
12,19
13,39
14,167
15,61
16,97
17,172
18,182
19,122
20,190
21,144
22,80
23,134
24,196
25,45
26,158
27,76
28,123
29,181
30,161
31,90
32,146
33,134
34,120
35,130
36,154
37,25
38,13
39,191
40,62
41,57
42,37
43,173
44,149
45,107
46,69
47,49
48,25
49,12
50,52
51,70
52,175
53,73
54,138
55,72
56,144
57,95
58,94
59,38
60,176
61,188
62,6
63,198
64,119
65,1
66,111
67,191
68,193
69,125
70,21
71,46
72,0
73,164
74,154
75,148
76,84
77,34
78,110
79,61
80,158
81,155
82,73
83,72
84,52
85,84
86,151
87,62
88,48
89,187
90,43
91,170
92,141
93,111
94,9
95,155
96,90
97,34
98,70
99,169
100,37
101,6
102,58
103,85
104,3
105,75
106,11
107,157
108,78
109,26
110,107
111,80
112,163
113,52
114,145
115,80
116,138
117,188
118,99
119,153
120,127
121,154
122,51
123,79
124,27
125,132
126,102
127,103
128,181
129,23
130,107
131,107
132,22
133,92
134,43
135,6
136,141
137,145
138,168
139,125
140,196
141,18
142,130
143,27
144,136
145,51
146,175
147,63
148,158
149,13
150,92
151,174
152,142
153,174
154,173
155,97
156,4
157,116
158,138
159,116
160,63
161,18
162,119
163,58
164,141
165,12
166,157
167,78
168,104
169,77
170,137
171,174
172,188
173,76
174,157
175,109
176,75
177,113
178,152
179,59
180,143
181,182
182,160
183,115
184,108
185,114
186,113
187,11
188,15
189,25
190,21
191,150
192,91
193,108
194,91
195,107
196,103
197,99
198,158
199,169
