,0
0,120
1,175
2,12
3,42
4,117
5,106
6,101
7,8
8,45
9,135
10,115
11,21
12,141
13,81
14,73
15,14
16,59
17,161
18,106
19,168
20,141
21,120
22,57
23,158
24,21
25,153
26,39
27,144
28,4
29,65
30,92
31,144
32,82
33,155
34,154
35,145
36,82
37,171
38,57
39,79
40,119
41,45
42,127
43,173
44,114
45,34
46,135
47,78
48,3
49,67
50,77
51,25
52,142
53,40
54,154
55,56
56,135
57,35
58,16
59,167
60,162
61,164
62,82
63,65
64,165
65,140
66,93
67,74
68,29
69,77
70,52
71,73
72,126
73,153
74,34
75,29
76,21
77,24
78,93
79,139
80,113
81,51
82,71
83,91
84,146
85,48
86,121
87,117
88,13
89,158
