,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.0,0.6704,0.754,0.008,0.6654,0.5916,0.7888,0.6364,0.7084,0.587,0.7338,0.5428,0.7142,0.7662,0.496,0.6884,0.7834,0.7316,0.703,0.4158,0.4386,0.7084,0.7862,0.8208,0.7492,0.6388,0.5224,0.7586,0.7704,0.6388,0.6012,0.6282,0.716,0.709,0.584,0.7146,0.7314,0.634,0.6644,0.6424,0.6624,0.8044,0.6222,0.6294,0.5898,0.5344,0.5654,0.721,0.6142,0.739,0.6398,0.6404,0.7824,0.698,0.9758,0.5092,0.417,0.718,0.6912,0.6006,0.938,0.699,0.8104,0.4044,0.6552,0.6438,0.5526,0.6514,0.5396,0.96,0.0758,0.722,0.6968,0.6492,0.8524,0.895,0.7268,0.7888,0.6596,0.645,0.6408,0.6486,0.5156,0.6788,0.6524,0.6536,0.5132,0.6602,0.5774,0.6618,0.5934,0.6734,0.6332,0.6484,0.8604,0.2872,0.9,0.7008,0.6374,0.6332
1,0.6704,1.0,0.9738,0.1172,0.5644,0.7512,0.5364,0.9614,0.9228,0.758,0.6452,0.9034,0.9728,0.6474,0.686,0.8928,0.9102,0.894,0.881,0.236,0.3116,0.9216,0.8006,0.823,0.9524,0.8228,0.8648,0.9414,0.8788,0.9022,0.625,0.9586,0.9158,0.917,0.8788,0.8428,0.2162,0.941,0.9144,0.939,0.4792,0.8936,0.9714,0.7252,0.9344,0.917,0.425,0.9764,0.7428,0.97,0.3218,0.913,0.831,0.5626,0.6444,0.4028,0.8724,0.9458,0.9916,0.976,0.602,0.9656,0.8556,0.2644,0.92,0.9146,0.737,0.7256,0.7884,0.6262,0.13,0.892,0.8564,0.738,0.6226,0.4214,0.8664,0.931,0.8994,0.7848,0.3178,0.7846,0.4388,0.911,0.8746,0.8816,0.4534,0.9084,0.8798,0.8196,0.9374,1.0,0.9312,0.9698,0.7726,0.1954,0.8496,0.9214,0.8766,0.8302
2,0.754,0.9738,1.0,0.0824,0.5814,0.7652,0.6294,0.9408,0.9322,0.754,0.6544,0.867,0.9604,0.6498,0.7348,0.883,0.9002,0.9112,0.8696,0.2666,0.3414,0.9248,0.8342,0.8948,0.9912,0.8582,0.8872,0.921,0.8912,0.8976,0.6612,0.9504,0.9258,0.9238,0.8844,0.8712,0.2884,0.9364,0.9224,0.923,0.541,0.9502,0.9654,0.7422,0.9346,0.8952,0.451,0.9764,0.7524,0.9798,0.39,0.8824,0.865,0.6206,0.7302,0.4346,0.8332,0.9554,0.9864,0.9374,0.689,0.9436,0.8686,0.2864,0.915,0.939,0.761,0.7738,0.8164,0.7112,0.1662,0.9086,0.8328,0.8098,0.7032,0.5226,0.896,0.9056,0.9,0.8062,0.3812,0.8148,0.4624,0.8906,0.8904,0.8728,0.4664,0.9294,0.8626,0.8614,0.925,0.9696,0.9334,0.9304,0.8286,0.1804,0.889,0.923,0.8646,0.8242
3,0.008,0.1172,0.0824,1.0,0.002,0.0092,0.0078,0.2044,0.0626,0.0082,0.0,0.2242,0.0484,0.0166,0.0012,0.0386,0.0174,0.018,0.038,0.1888,0.0028,0.0286,0.0054,0.0316,0.092,0.005,0.0526,0.0504,0.0116,0.082,0.0058,0.0552,0.0298,0.0302,0.0758,0.0118,0.0064,0.0306,0.0322,0.0452,0.0008,0.044,0.0592,0.0008,0.0324,0.2864,0.0482,0.104,0.002,0.0534,0.0002,0.1162,0.1274,0.0032,0.0012,0.084,0.2182,0.0198,0.0882,0.067,0.0006,0.0998,0.0002,0.1464,0.0562,0.052,0.003,0.0018,0.015,0.0058,0.037,0.0134,0.0502,0.0628,0.018,0.0016,0.122,0.0404,0.0352,0.0136,0.0002,0.012,0.0224,0.0082,0.022,0.0214,0.009,0.0372,0.0994,0.027,0.1172,0.1208,0.045,0.065,0.0264,0.0132,0.0042,0.0302,0.279,0.002
4,0.6654,0.5644,0.5814,0.002,1.0,0.6436,0.8724,0.4486,0.4508,0.474,0.972,0.31,0.6484,0.9562,0.6042,0.784,0.513,0.7184,0.7828,0.7438,0.834,0.7564,0.6976,0.749,0.5934,0.621,0.5626,0.6944,0.8056,0.3448,0.8968,0.554,0.7588,0.7516,0.4074,0.8308,0.511,0.5268,0.6864,0.4512,0.962,0.7246,0.5886,0.8564,0.4822,0.3696,0.8828,0.6626,0.7756,0.6426,0.8652,0.6828,0.389,0.9618,0.7104,0.7746,0.3202,0.5726,0.5856,0.5272,0.5336,0.6338,0.7392,0.7714,0.7124,0.5944,0.7542,0.85,0.7112,0.7094,0.157,0.6258,0.4622,0.5238,0.6966,0.7492,0.748,0.6548,0.5792,0.661,0.8728,0.6588,0.8794,0.6518,0.7942,0.7398,0.9336,0.6856,0.6908,0.3746,0.5884,0.5472,0.451,0.4712,0.419,0.0318,0.7108,0.7542,0.379,0.795
5,0.5916,0.7512,0.7652,0.0092,0.6436,1.0,0.6934,0.6042,0.7296,0.8788,0.7546,0.5134,0.8656,0.6506,0.7132,0.8666,0.815,0.8352,0.866,0.557,0.4584,0.8882,0.8812,0.7222,0.7392,0.8078,0.7444,0.8356,0.9106,0.64,0.646,0.8046,0.8942,0.8908,0.676,0.8506,0.1826,0.8592,0.8906,0.7658,0.6036,0.7992,0.8468,0.899,0.8394,0.5122,0.7184,0.7704,0.8938,0.8156,0.4182,0.7602,0.5192,0.7222,0.6162,0.7724,0.5672,0.8856,0.8088,0.8396,0.5362,0.8154,0.9024,0.573,0.8252,0.7756,0.941,0.853,0.776,0.5622,0.067,0.8606,0.722,0.5498,0.7086,0.4332,0.6648,0.8288,0.8116,0.8314,0.4184,0.8384,0.6476,0.922,0.884,0.8874,0.629,0.8898,0.7682,0.678,0.7316,0.7612,0.7742,0.8014,0.6098,0.0996,0.8154,0.896,0.4754,0.932
6,0.7888,0.5364,0.6294,0.0078,0.8724,0.6934,1.0,0.442,0.5094,0.5186,0.883,0.3078,0.6444,0.8328,0.661,0.7522,0.551,0.7456,0.7338,0.7436,0.792,0.7538,0.787,0.842,0.6764,0.6784,0.5774,0.677,0.7924,0.398,0.863,0.5438,0.7654,0.7426,0.4612,0.8446,0.6116,0.5756,0.7272,0.49,0.9432,0.7758,0.5948,0.8586,0.503,0.3736,0.8856,0.66,0.7996,0.6714,0.888,0.6246,0.4682,0.9602,0.8208,0.7714,0.314,0.6306,0.59,0.5046,0.6938,0.6232,0.7906,0.7672,0.6834,0.6094,0.7732,0.8678,0.7202,0.8256,0.2054,0.6714,0.4536,0.6284,0.8908,0.8498,0.7516,0.6332,0.6002,0.7008,0.8872,0.7084,0.8868,0.6476,0.7794,0.7244,0.876,0.7052,0.6508,0.4722,0.573,0.5348,0.4876,0.4718,0.559,0.0648,0.7736,0.7416,0.3976,0.7706
7,0.6364,0.9614,0.9408,0.2044,0.4486,0.6042,0.442,1.0,0.9292,0.6596,0.5404,0.9758,0.8984,0.5326,0.6472,0.77,0.8332,0.8258,0.763,0.1396,0.21,0.818,0.644,0.7788,0.9324,0.7782,0.8378,0.847,0.7592,0.9324,0.5408,0.921,0.8152,0.8174,0.907,0.7376,0.2396,0.8832,0.792,0.915,0.3792,0.8534,0.91,0.5914,0.8912,0.9826,0.2942,0.9368,0.5836,0.919,0.2518,0.8108,0.8578,0.4544,0.6064,0.2536,0.8562,0.875,0.9364,0.8962,0.6206,0.8754,0.749,0.1606,0.8592,0.9004,0.6106,0.6354,0.7146,0.6112,0.1774,0.8266,0.803,0.7894,0.5598,0.3822,0.8214,0.8448,0.8736,0.727,0.2534,0.7174,0.3304,0.7994,0.7554,0.7696,0.3422,0.7836,0.7818,0.8336,0.9192,0.9616,0.9124,0.9084,0.8014,0.1844,0.7738,0.8174,0.9144,0.6828
8,0.7084,0.9228,0.9322,0.0626,0.4508,0.7296,0.5094,0.9292,1.0,0.8558,0.5752,0.8944,0.9044,0.5494,0.673,0.7708,0.9092,0.8946,0.759,0.2266,0.1984,0.8416,0.7128,0.785,0.8976,0.8196,0.8106,0.9132,0.8202,0.9498,0.5302,0.9522,0.831,0.836,0.9678,0.7674,0.3184,0.942,0.8058,0.9484,0.4152,0.8904,0.9232,0.6302,0.9388,0.857,0.3508,0.9096,0.6164,0.9206,0.2638,0.7694,0.8922,0.4988,0.7156,0.353,0.8048,0.9464,0.9372,0.912,0.705,0.87,0.8414,0.223,0.8922,0.8988,0.6656,0.6898,0.7102,0.702,0.1348,0.9384,0.8736,0.7452,0.676,0.4348,0.7598,0.865,0.951,0.8512,0.2712,0.8634,0.3712,0.878,0.76,0.8148,0.3552,0.7944,0.7296,0.915,0.908,0.9276,0.9556,0.9356,0.9074,0.2314,0.8678,0.8532,0.8142,0.7322
9,0.587,0.758,0.754,0.0082,0.474,0.8788,0.5186,0.6596,0.8558,1.0,0.6126,0.5924,0.808,0.5156,0.6522,0.748,0.825,0.85,0.7326,0.3832,0.2612,0.8144,0.7072,0.651,0.7186,0.7724,0.6996,0.8434,0.8054,0.7232,0.5074,0.8514,0.7966,0.8112,0.8176,0.736,0.224,0.8908,0.7736,0.8262,0.4172,0.791,0.82,0.7216,0.8736,0.5482,0.499,0.762,0.6944,0.78,0.2612,0.671,0.6292,0.5306,0.618,0.5334,0.625,0.887,0.8012,0.8248,0.5994,0.753,0.847,0.3744,0.8266,0.7578,0.7692,0.7476,0.6714,0.5838,0.0598,0.9178,0.8098,0.5418,0.6548,0.3646,0.5852,0.7958,0.8962,0.9114,0.281,0.905,0.4348,0.885,0.7486,0.8302,0.4318,0.7746,0.6712,0.7704,0.772,0.7514,0.8204,0.8288,0.7266,0.1598,0.8036,0.8096,0.5186,0.7894
