,0
0,517
1,1281
2,425
3,1077
4,999
5,130
6,727
7,688
8,1098
9,32
10,997
11,1261
12,845
13,998
14,447
15,1303
16,1451
17,1097
18,1301
19,305
20,292
21,1172
22,616
23,1431
24,1372
25,43
26,446
27,7
28,584
29,807
30,813
31,1286
32,1172
33,1175
34,717
35,1051
36,1454
37,800
38,1161
39,381
40,511
41,478
42,341
43,557
44,1100
45,260
46,775
47,50
48,897
49,21
50,708
51,1210
52,1026
53,36
54,77
55,1209
56,475
57,1092
58,1196
59,156
60,607
61,937
62,564
63,1268
64,422
65,469
66,0
67,412
68,730
69,494
70,175
71,891
72,161
73,1102
74,207
75,528
76,941
77,729
78,384
79,1112
80,708
81,1112
82,719
83,23
84,499
85,940
86,710
87,1161
88,873
89,1217
90,1251
91,1281
92,381
93,743
94,231
95,989
96,653
97,1175
98,914
99,1269
