,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.04
1,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,1.0,0.0,0.99,0.23,0.02,0.01,0.0,0.0,0.0,0.08,0.01,0.0,0.0,0.03,0.07,0.79,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.01
3,0.0,0.0,0.0,1.0,0.0,0.0,0.51,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.07,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01
4,0.0,0.01,0.99,0.0,1.0,0.32,0.0,0.0,0.0,0.0,0.01,0.13,0.0,0.01,0.0,0.01,0.03,0.91,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.01
5,0.0,0.0,0.23,0.0,0.32,1.0,0.0,0.01,0.0,0.03,0.0,0.7,0.0,0.01,0.0,0.0,0.0,0.54,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0
6,0.02,0.0,0.02,0.51,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.11,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
7,0.11,0.0,0.01,0.0,0.0,0.01,0.0,1.0,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.83,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
8,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.04
9,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,1.0,0.02,0.0,0.01,0.01,0.58,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.84,0.01,0.67,0.0,0.0,0.0,0.78,0.01
10,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.02,1.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.02
11,0.0,0.0,0.08,0.0,0.13,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.26,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.0,0.01,0.0
12,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02
13,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.8,0.0,0.41,0.0,0.0,0.01,0.25,0.0
15,0.0,0.0,0.03,0.07,0.01,0.0,0.11,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
16,0.0,0.0,0.07,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,1.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0
17,0.01,0.05,0.79,0.0,0.91,0.54,0.0,0.01,0.0,0.02,0.0,0.26,0.0,0.0,0.0,0.0,0.02,1.0,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.01,0.0,0.0,0.01
18,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.0,0.0
19,0.04,0.0,0.0,0.01,0.01,0.02,0.01,0.83,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
20,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.03
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21,0.29,0.0,0.01
22,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.84,0.01,0.01,0.01,0.01,0.8,0.0,0.0,0.02,0.0,0.0,0.01,0.0,1.0,0.01,0.7,0.01,0.0,0.01,0.47,0.0
23,0.0,0.02,0.02,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,1.0,0.0,0.0,0.0,0.01,0.0,0.0
24,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.67,0.0,0.02,0.0,0.0,0.41,0.0,0.0,0.01,0.02,0.0,0.02,0.0,0.7,0.0,1.0,0.0,0.0,0.04,0.28,0.03
25,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.01
26,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0
27,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.29,0.01,0.01,0.04,0.0,0.05,1.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.78,0.0,0.01,0.01,0.02,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.28,0.0,0.0,0.0,1.0,0.0
29,0.04,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.04,0.01,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.03,0.01,0.0,0.0,0.03,0.01,0.0,0.0,0.0,1.0
