,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.003,0.0064,0.0018,0.0002,0.0004,0.004,0.0142,0.0044,0.0052,0.0048,0.6674,0.0002,0.0048,0.0044,0.006,0.0126,0.0036,0.0066,0.5548,0.005,0.0128,0.0004,0.0058,0.0016,0.0024,0.006,0.0018,0.0042,0.032,0.0086,0.0024,0.0002,0.0034,0.0026,0.0038,0.0026,0.0026,0.0068,0.003,0.0096,0.004,0.0068,0.0066,0.0036,0.014,0.0034,0.084,0.0042,0.0026,0.3842,0.0048,0.001,0.985,0.007,0.0074,0.0034,0.0086,0.0026,0.0004,0.005,0.0022,0.0012,0.0082,0.7818,0.0018,0.0078,0.0056,0.004,0.0016,0.003,0.683,0.0014,0.0088,0.0016,0.001,0.0062,0.0024,0.0028,0.0034
1,0.003,1.0,0.0034,0.003,0.0034,0.0032,0.0004,0.0038,0.0028,0.0004,0.005,0.0036,0.0046,0.0004,0.0074,0.0024,0.002,0.0006,0.0054,0.0072,0.0,0.0134,0.2998,0.003,0.0074,0.0198,0.0038,0.017,0.0012,0.002,0.0048,0.0026,0.002,0.0016,0.0012,0.0186,0.001,0.0042,0.0094,0.0178,0.0052,0.0012,0.0136,0.0072,0.0002,0.0084,0.0014,0.0042,0.0036,0.0012,0.005,0.0042,0.0034,0.0042,0.0052,0.005,0.0002,0.008,0.0372,0.0042,0.0002,0.0018,0.0138,0.0008,0.0048,0.0018,0.0006,0.005,0.0046,0.0026,0.0034,0.0032,0.005,0.0008,0.0044,0.0048,0.0,0.0012,0.0038,0.0146
2,0.0064,0.0034,1.0,0.0638,0.0006,0.0036,0.0036,0.0024,0.8244,0.0098,0.0592,0.003,0.0,0.001,0.0056,0.0028,0.003,0.1814,0.0006,0.0044,0.2238,0.0012,0.0046,0.9634,0.0026,0.0108,0.0294,0.0078,0.011,0.0084,0.0028,0.5762,0.0066,0.0004,0.2306,0.0034,0.0008,0.009,0.0026,0.0122,0.0,0.0034,0.009,0.02,0.4514,0.0022,0.5134,0.0026,0.0294,0.0078,0.0054,0.0056,0.0112,0.006,0.002,0.0,0.0006,0.002,0.0038,0.0,0.0008,0.0002,0.0,0.0106,0.0102,0.1978,0.002,0.0162,0.0898,0.0012,0.002,0.0036,0.009,0.7074,0.0016,0.0002,0.0004,0.001,0.8894,0.0076
3,0.0018,0.003,0.0638,1.0,0.001,0.0054,0.0024,0.0138,0.1132,0.0038,0.9272,0.0004,0.0014,0.0018,0.0064,0.001,0.0164,0.789,0.0014,0.001,0.6396,0.0014,0.0012,0.098,0.0068,0.0,0.0258,0.0034,0.6714,0.0004,0.0014,0.1986,0.003,0.0038,0.7006,0.0002,0.0006,0.0036,0.004,0.002,0.0,0.0078,0.0052,0.8394,0.583,0.0006,0.3932,0.0088,0.0586,0.0038,0.009,0.001,0.0048,0.0028,0.0016,0.0,0.001,0.0054,0.002,0.0014,0.0016,0.001,0.0006,0.0034,0.0052,0.8456,0.0026,0.0044,0.6854,0.0046,0.0,0.0008,0.0032,0.267,0.0008,0.0016,0.0042,0.0028,0.077,0.0158
4,0.0002,0.0034,0.0006,0.001,1.0,0.014,0.006,0.0152,0.0,0.0002,0.0048,0.0008,0.0038,0.006,0.004,0.0002,0.0146,0.0,0.0092,0.0002,0.001,0.0058,0.0032,0.0004,0.0042,0.0036,0.0042,0.0576,0.0022,0.0006,0.0142,0.0016,0.0056,0.0188,0.005,0.005,0.0044,0.0052,0.0012,0.003,0.0036,0.0024,0.0,0.004,0.0022,0.0036,0.0034,0.0032,0.0024,0.0032,0.0042,0.0004,0.005,0.0016,0.0034,0.0022,0.002,0.0006,0.0006,0.0034,0.0062,0.0044,0.0022,0.0006,0.0026,0.0028,0.0004,0.0158,0.0052,0.0042,0.0076,0.0006,0.006,0.0014,0.0056,0.0038,0.0062,0.014,0.0,0.3196
5,0.0004,0.0032,0.0036,0.0054,0.014,1.0,0.0008,0.0014,0.0062,0.0034,0.0038,0.0044,0.0042,0.0018,0.0014,0.0082,0.0014,0.0018,0.004,0.0018,0.0058,0.0034,0.003,0.003,0.0178,0.002,0.0,0.0058,0.0008,0.0034,0.006,0.005,0.0044,0.002,0.0014,0.0094,0.0016,0.0036,0.004,0.0012,0.0026,0.1806,0.002,0.0032,0.001,0.0062,0.0028,0.005,0.001,0.0054,0.0136,0.0084,0.057,0.0012,0.0038,0.0004,0.0932,0.0056,0.0,0.0044,0.0028,0.0018,0.0056,0.0022,0.0046,0.0016,0.0008,0.0258,0.001,0.001,0.0004,0.006,0.003,0.0016,0.004,0.004,0.0016,0.003,0.0046,0.0086
6,0.004,0.0004,0.0036,0.0024,0.006,0.0008,1.0,0.0012,0.0028,0.0014,0.0062,0.0034,0.0002,0.0018,0.0,0.0014,0.002,0.001,0.0034,0.0076,0.0046,0.0058,0.0032,0.0024,0.0058,0.0018,0.0566,0.0046,0.0022,0.0016,0.0032,0.0004,0.0026,0.0016,0.0012,0.0154,0.0044,0.0004,0.0016,0.0018,0.0122,0.0028,0.0012,0.0172,0.0014,0.0072,0.0,0.0014,0.0732,0.0022,0.0026,0.001,0.0014,0.0066,0.0058,0.0086,0.001,0.0006,0.0054,0.0,0.0048,0.005,0.0,0.0028,0.007,0.002,0.0018,0.0068,0.0098,0.4266,0.0038,0.0082,0.0016,0.0018,0.0084,0.0,0.0008,0.0056,0.0034,0.0086
7,0.0142,0.0038,0.0024,0.0138,0.0152,0.0014,0.0012,1.0,0.0018,0.0008,0.008,0.0032,0.0022,0.0016,0.0068,0.0028,0.8182,0.0086,0.0062,0.0,0.0084,0.0038,0.005,0.0018,0.0074,0.0,0.0008,0.0024,0.0144,0.0086,0.0072,0.0008,0.0088,0.0708,0.0038,0.0006,0.0852,0.0046,0.0004,0.0,0.0116,0.0054,0.0012,0.0072,0.002,0.008,0.0018,0.451,0.0006,0.0008,0.1158,0.0016,0.0026,0.013,0.002,0.0136,0.0012,0.0012,0.004,0.0016,0.1054,0.0742,0.0018,0.0012,0.0414,0.0064,0.0032,0.001,0.0034,0.0004,0.0022,0.0036,0.005,0.0024,0.0004,0.004,0.002,0.4024,0.003,0.0024
8,0.0044,0.0028,0.8244,0.1132,0.0,0.0062,0.0028,0.0018,1.0,0.0074,0.1454,0.0034,0.0002,0.001,0.0068,0.0036,0.0016,0.2242,0.0,0.0036,0.22,0.0018,0.0064,0.9382,0.0046,0.0044,0.1178,0.0052,0.0428,0.0044,0.001,0.8828,0.0022,0.0002,0.4176,0.005,0.0018,0.0052,0.0026,0.0086,0.0002,0.0064,0.0072,0.0708,0.577,0.002,0.7378,0.0034,0.1326,0.006,0.0048,0.0044,0.0032,0.0048,0.0012,0.0006,0.0038,0.0024,0.003,0.0,0.002,0.0012,0.0012,0.012,0.0066,0.3294,0.0032,0.0088,0.2448,0.0018,0.0012,0.0034,0.0054,0.7162,0.0006,0.0,0.0008,0.0016,0.9688,0.0024
9,0.0052,0.0004,0.0098,0.0038,0.0002,0.0034,0.0014,0.0008,0.0074,1.0,0.0042,0.0022,0.004,0.0066,0.0028,0.003,0.0008,0.0012,0.0046,0.0048,0.0004,0.0006,0.0016,0.0102,0.0054,0.0,0.0022,0.0006,0.003,0.0,0.0144,0.009,0.0082,0.0016,0.0024,0.0074,0.0082,0.0,0.0008,0.0006,0.0104,0.025,0.0024,0.003,0.0018,0.0018,0.0068,0.0046,0.0002,0.0012,0.0088,0.0046,0.004,0.008,0.0014,0.007,0.0038,0.0,0.0006,0.002,0.0026,0.005,0.0,0.9852,0.004,0.003,0.0032,0.0016,0.002,0.0152,0.0,0.0028,0.0002,0.0064,0.0082,0.002,0.0046,0.0026,0.0138,0.0074
