,0
0,2459
1,871
2,850
3,1838
4,2551
5,3203
6,453
7,2577
8,106
9,1800
10,3388
11,2241
12,752
13,3147
14,2514
15,2981
16,142
17,2021
18,566
19,376
20,467
21,1212
22,2114
23,2900
24,1863
25,2675
26,1877
27,789
28,849
29,2715
30,1986
31,2530
32,1355
33,2851
34,1888
35,3404
36,1985
37,909
38,1666
39,3355
40,2849
41,3115
42,1503
43,414
44,1259
45,3284
46,2691
47,2048
48,856
49,2166
50,2003
51,3294
52,270
53,1891
54,613
55,3002
56,2351
57,2673
58,3190
59,1536
60,1293
61,1985
62,1011
63,1343
64,1285
65,3350
66,1761
67,3173
68,18
69,32
70,530
71,2743
72,909
73,2629
74,1686
75,746
76,766
77,1648
78,87
79,3472
