,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.0,0.0018,0.0018,0.005,0.0032,0.0006,0.0074,0.0022,0.2974,0.0042,0.0022,0.089,0.0008,0.519,0.0036,0.0034,0.0024,0.0008,0.004,0.0004,0.0102,0.0026,0.006,0.0158,0.217,0.0236,0.0042,0.0036,0.0048,0.0012,0.001,0.0,0.005,0.0044,0.0072,0.1658,0.0026,0.0062,0.0056,0.0004,0.4876,0.004,0.0038,0.0144,0.0034,0.0026,0.0026,0.001,0.002,0.0016,0.0062,0.017,0.001,0.0102,0.0006,0.001,0.001,0.0032,0.0048,0.0026,0.007,0.177,0.6084,0.6068,0.0034,0.0016,0.0016,0.0134,0.003,0.0034,0.0024,0.0014,0.0034,0.4046,0.0048,0.0038,0.0012,0.0096,0.002,0.0028,0.0008,0.0004,0.0292,0.442,0.0056,0.0,0.0026,0.0084,0.0014,0.0022,0.0006,0.006,0.0064,0.0034,0.0122,0.0028,0.0002,0.016,0.0054,0.4216
1,0.0018,1.0,0.1038,0.0046,0.0058,0.0076,0.06,0.0068,0.0024,0.0046,0.0034,0.0002,0.0098,0.0006,0.0068,0.0008,0.001,0.0016,0.0004,0.003,0.0024,0.0078,0.0008,0.0004,0.0036,0.0,0.0048,0.0022,0.0064,0.0064,0.0012,0.0018,0.1768,0.0016,0.0008,0.0092,0.0044,0.0038,0.2772,0.0114,0.001,0.0008,0.0014,0.0028,0.006,0.0,0.003,0.8672,0.0054,0.01,0.0026,0.001,0.0096,0.0008,0.0016,0.0656,0.0074,0.0022,0.0668,0.0024,0.0016,0.0058,0.0014,0.0012,0.0026,0.008,0.0012,0.0006,0.0038,0.0056,0.0068,0.764,0.0018,0.0016,0.2438,0.002,0.0022,0.144,0.4172,0.0022,0.668,0.0,0.0014,0.0006,0.0016,0.0046,0.5168,0.1318,0.0002,0.0004,0.369,0.0038,0.2936,0.3046,0.0044,0.0016,0.0,0.0008,0.0,0.0022
2,0.0018,0.1038,1.0,0.0,0.0032,0.0026,0.1124,0.0028,0.0006,0.0032,0.0072,0.0044,0.0022,0.002,0.0768,0.0022,0.0016,0.0004,0.0064,0.0062,0.0038,0.0038,0.0118,0.0016,0.0012,0.0034,0.0028,0.333,0.0004,0.0164,0.003,0.0044,0.0518,0.0048,0.002,0.0008,0.011,0.0002,0.409,0.0036,0.0016,0.0032,0.0032,0.0012,0.0034,0.0078,0.0028,0.1082,0.0016,0.0024,0.0024,0.003,0.0056,0.0016,0.0024,0.2952,0.003,0.0032,0.0946,0.001,0.0004,0.0012,0.0032,0.0028,0.0074,0.005,0.0108,0.004,0.0044,0.0004,0.0028,0.3208,0.0024,0.0026,0.1108,0.0054,0.0036,0.0022,0.0586,0.0044,0.2974,0.0004,0.0002,0.001,0.0038,0.0024,0.0832,0.1626,0.0078,0.0004,0.2422,0.0002,0.0562,0.0054,0.0024,0.0026,0.0012,0.002,0.0028,0.001
3,0.005,0.0046,0.0,1.0,0.0026,0.0118,0.0102,0.0038,0.0026,0.0018,0.011,0.014,0.0048,0.0082,0.0002,0.0072,0.0046,0.0008,0.0062,0.011,0.0042,0.004,0.003,0.0074,0.0042,0.013,0.0044,0.0006,0.0062,0.001,0.0058,0.0078,0.0114,0.001,0.0082,0.0026,0.0028,1.0,0.0026,0.0004,0.0074,0.0044,0.0,0.0092,0.0056,0.0022,0.002,0.002,0.0014,0.001,0.0048,0.0174,0.6314,0.0016,0.0034,0.0004,0.0006,0.0056,0.0124,0.0012,0.002,0.0062,0.0078,0.006,0.0048,0.001,0.0026,0.0122,0.0064,0.0024,0.0002,0.0002,0.0044,0.0072,0.0086,0.256,0.0038,0.0092,0.004,0.0062,0.0018,0.0004,0.0054,0.0018,0.0054,0.002,0.0046,0.011,0.003,0.0014,0.0024,0.0026,0.0046,0.0012,0.0056,0.0026,0.0,0.002,0.001,0.0066
4,0.0032,0.0058,0.0032,0.0026,1.0,0.0006,0.0014,0.0004,0.0078,0.0032,0.0006,0.0,0.0018,0.0004,0.0122,0.009,0.0022,0.0006,0.0018,0.0008,0.0006,0.0002,0.0016,0.0002,0.003,0.0,0.0006,0.0006,0.0048,0.0208,0.0014,0.0012,0.003,0.0052,0.0002,0.005,0.003,0.0022,0.0018,0.0058,0.0002,0.0018,0.0016,0.0,0.0004,0.0102,0.0102,0.0014,0.0106,0.0048,0.0078,0.0012,0.0066,0.0036,0.0038,0.2256,0.0056,0.0088,0.0016,0.0016,0.0154,0.0472,0.0026,0.0014,0.0014,0.0064,0.0056,0.0004,0.0076,0.0064,0.0052,0.0004,0.006,0.001,0.0026,0.003,0.0068,0.0024,0.0038,0.004,0.0,0.0016,0.0674,0.005,0.0056,0.0054,0.002,0.0032,0.0056,0.0028,0.1246,0.0002,0.0032,0.0032,0.0022,0.0012,0.0008,0.0044,0.0044,0.0024
5,0.0006,0.0076,0.0026,0.0118,0.0006,1.0,0.0088,0.0002,0.0,0.0002,0.0086,0.0008,0.0002,0.0048,0.0034,0.0052,0.0022,0.0024,0.0,0.0072,0.0004,0.0,0.0018,0.0002,0.0016,0.0,0.0006,0.0006,0.0002,0.002,0.0012,0.005,0.006,0.0012,0.0008,0.0004,0.0008,0.011,0.005,0.0032,0.0026,0.009,0.001,0.0018,0.0006,0.0068,0.002,0.0078,0.0014,0.0038,0.0162,0.0046,0.0028,0.001,0.0026,0.0,0.0044,0.0156,0.0074,0.0012,0.0014,0.0004,0.0074,0.0042,0.0122,0.0022,0.0054,0.0,0.0138,0.0054,0.01,0.0072,0.0008,0.0032,0.01,0.0034,0.0174,0.0006,0.0126,0.0088,0.0094,0.0036,0.0016,0.0002,0.0162,0.0074,0.0116,0.007,0.003,0.001,0.0016,0.0,0.0064,0.0042,0.0002,0.0056,0.0012,0.0012,0.0,0.0038
6,0.0074,0.06,0.1124,0.0102,0.0014,0.0088,1.0,0.0008,0.008,0.125,0.0024,0.0008,0.0014,0.0004,0.0794,0.0014,0.0044,0.004,0.0144,0.0016,0.0,0.004,0.0022,0.007,0.0012,0.0002,0.0052,0.026,0.0022,0.084,0.0006,0.0018,0.6546,0.051,0.0014,0.003,0.0182,0.0134,0.6112,0.0108,0.0004,0.003,0.0074,0.0072,0.0014,0.0004,0.0074,0.176,0.0268,0.0098,0.0016,0.0014,0.0028,0.0016,0.0002,0.002,0.0096,0.0032,0.9804,0.0036,0.0052,0.0028,0.0,0.0006,0.0076,0.0074,0.0102,0.0,0.0022,0.0008,0.0066,0.2334,0.0184,0.0014,0.6978,0.0016,0.0042,0.0026,0.441,0.004,0.336,0.0064,0.0004,0.0114,0.0018,0.0026,0.4018,0.9362,0.01,0.005,0.0044,0.0022,0.5228,0.1134,0.0044,0.0056,0.0032,0.0044,0.004,0.0026
7,0.0022,0.0068,0.0028,0.0038,0.0004,0.0002,0.0008,1.0,0.0036,0.0116,0.0958,0.003,0.8384,0.0032,0.004,0.0762,0.0008,0.0004,0.0022,0.0384,0.0036,0.822,0.0018,0.0128,0.001,0.0006,0.8258,0.0046,0.0044,0.0008,0.0022,0.0184,0.0006,0.0076,0.0024,0.002,0.0008,0.0042,0.0002,0.4654,0.005,0.008,0.0128,0.0096,0.9768,0.007,0.0038,0.0058,0.0046,0.435,0.0308,0.0534,0.002,0.0,0.0046,0.0028,0.3598,0.0288,0.0002,0.0084,0.002,0.003,0.0026,0.0028,0.015,0.36,0.012,0.0018,0.014,0.0112,0.1662,0.0016,0.0004,0.0026,0.0004,0.0002,0.0162,0.0076,0.003,0.273,0.0018,0.0132,0.0038,0.0044,0.0168,0.009,0.0022,0.0004,0.0024,0.0106,0.0008,0.008,0.0018,0.0054,0.0062,0.0054,0.0094,0.0002,0.0006,0.0054
8,0.2974,0.0024,0.0006,0.0026,0.0078,0.0,0.008,0.0036,1.0,0.0012,0.0028,0.0,0.002,0.0748,0.0004,0.0,0.0102,0.0032,0.0006,0.0024,0.004,0.0022,0.003,0.0002,0.0206,0.0014,0.0036,0.0084,0.0008,0.0,0.0032,0.0024,0.0012,0.0026,0.0054,0.9164,0.0014,0.003,0.004,0.0,0.0726,0.0022,0.0022,0.005,0.0068,0.0012,0.0068,0.0008,0.0018,0.0,0.0054,0.016,0.0012,0.0078,0.0096,0.001,0.0,0.0042,0.0064,0.001,0.0118,0.7572,0.1122,0.1436,0.0002,0.0,0.0012,0.0026,0.0044,0.0012,0.0028,0.001,0.0028,0.077,0.0016,0.001,0.005,0.1188,0.0006,0.0024,0.0012,0.0026,0.0196,0.7702,0.0054,0.001,0.0,0.0048,0.0026,0.008,0.0122,0.001,0.0002,0.0,0.0052,0.001,0.0036,0.012,0.0064,0.0668
9,0.0042,0.0046,0.0032,0.0018,0.0032,0.0002,0.125,0.0116,0.0012,1.0,0.0046,0.0022,0.0042,0.0056,0.1276,0.0078,0.0074,0.0046,0.0014,0.0052,0.0054,0.0018,0.0016,0.0092,0.0002,0.0062,0.0046,0.0132,0.0044,0.3716,0.0068,0.0044,0.0474,0.9192,0.0078,0.0026,0.0012,0.0018,0.0192,0.0176,0.0102,0.0312,0.0074,0.0008,0.0084,0.0016,0.0046,0.0062,0.4076,0.0126,0.0004,0.001,0.003,0.0058,0.0026,0.0036,0.0098,0.0006,0.134,0.0088,0.0012,0.0014,0.0054,0.0046,0.002,0.0098,0.0014,0.0032,0.0006,0.0028,0.0028,0.0026,0.0028,0.016,0.042,0.0014,0.0002,0.004,0.027,0.0002,0.0038,0.0018,0.0038,0.0002,0.0002,0.0002,0.0164,0.0844,0.0026,0.0028,0.0004,0.0014,0.0306,0.0124,0.0024,0.0274,0.002,0.0056,0.0054,0.014
