,0
0,3001
1,2312
2,2746
3,574
4,2262
5,1771
6,1442
7,3018
8,1467
9,2231
10,3139
11,1131
12,2343
13,3096
14,331
15,2897
16,692
17,318
18,1753
19,1292
20,138
21,3118
22,1063
23,18
24,1172
25,2882
26,741
27,2766
28,3424
29,1207
30,1831
31,142
32,485
33,2025
34,28
35,2787
36,324
37,1786
38,2168
39,485
40,558
41,768
42,313
43,1524
44,3072
45,3022
46,1893
47,3412
48,1871
49,654
50,3280
51,1458
52,2179
53,3231
54,1727
55,917
56,1245
57,1334
58,3185
59,1562
60,3325
61,2380
62,3004
63,294
64,1457
65,1507
66,109
67,394
68,1236
69,352
70,3356
71,2536
72,1243
73,564
74,2688
75,1165
76,689
77,1304
78,3484
79,1355
80,2952
81,1217
82,1319
83,421
84,705
85,2616
86,2159
87,3228
88,1192
89,840
90,2732
91,1273
92,3063
93,48
94,434
95,3310
96,1171
97,1138
98,251
99,3184
