,0
0,671
1,3102
2,2747
3,2739
4,209
5,511
6,2352
7,1258
8,2920
9,595
10,3312
11,1998
12,340
13,578
14,953
15,3140
16,2666
17,122
18,1514
19,1434
20,2172
21,617
22,1385
23,1676
24,1535
25,1778
26,1964
27,3026
28,101
29,791
30,1142
31,1657
32,1859
33,2833
34,2915
35,2637
36,1653
37,3299
38,2711
39,58
40,1725
41,2359
42,861
43,3484
44,2659
45,812
46,3334
47,1032
48,780
49,346
50,2205
51,1224
52,530
53,1612
54,2303
55,1277
56,931
57,615
58,1161
59,774
60,2211
61,1478
62,1552
63,649
64,2732
65,2488
66,1588
67,3493
68,982
69,2305
70,1394
71,1172
72,2743
73,2174
74,775
75,3306
76,1881
77,3045
78,1604
79,1475
80,2924
81,2645
82,1481
83,2888
84,2026
85,2170
86,3350
87,1680
88,2836
89,3071
90,581
91,2453
92,3297
93,1084
94,344
95,1027
96,32
97,1861
98,3282
99,3141
