,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.048,0.01,0.109,0.027,0.329,0.1,0.321,0.265,0.16,0.033,0.296,0.181,0.704,0.262,0.436,0.084,0.003,0.261,0.421,0.009,0.051,0.112,0.025,0.342,0.016,0.277,0.4,0.006,0.043
1,0.048,1.0,0.014,0.003,0.025,0.003,0.0,0.184,0.014,0.01,0.018,0.004,0.035,0.019,0.172,0.013,0.004,0.018,0.003,0.004,0.051,0.724,0.007,0.017,0.003,0.014,0.009,0.006,0.062,0.771
2,0.01,0.014,1.0,0.254,0.793,0.057,0.082,0.108,0.149,0.266,0.807,0.109,0.002,0.013,0.042,0.073,0.497,0.661,0.227,0.089,0.838,0.037,0.43,0.016,0.115,0.56,0.135,0.087,0.144,0.021
3,0.109,0.003,0.254,1.0,0.258,0.397,0.686,0.05,0.788,0.791,0.402,0.57,0.039,0.078,0.023,0.483,0.909,0.131,0.674,0.397,0.144,0.019,0.869,0.005,0.514,0.312,0.584,0.389,0.05,0.012
4,0.027,0.025,0.793,0.258,1.0,0.031,0.104,0.09,0.176,0.182,0.747,0.076,0.006,0.007,0.042,0.06,0.422,0.816,0.138,0.066,0.884,0.063,0.332,0.111,0.074,0.896,0.092,0.054,0.309,0.022
5,0.329,0.003,0.057,0.397,0.031,1.0,0.146,0.091,0.737,0.581,0.055,0.922,0.078,0.215,0.044,0.884,0.232,0.021,0.449,0.73,0.038,0.011,0.281,0.002,0.815,0.029,0.882,0.751,0.01,0.004
6,0.1,0.0,0.082,0.686,0.104,0.146,1.0,0.06,0.435,0.388,0.265,0.23,0.035,0.138,0.037,0.258,0.65,0.016,0.412,0.165,0.024,0.007,0.593,0.009,0.17,0.177,0.203,0.161,0.014,0.001
7,0.321,0.184,0.108,0.05,0.09,0.091,0.06,1.0,0.168,0.055,0.129,0.098,0.029,0.231,0.589,0.133,0.072,0.053,0.172,0.125,0.109,0.219,0.05,0.09,0.134,0.064,0.107,0.154,0.044,0.172
8,0.265,0.014,0.149,0.788,0.176,0.737,0.435,0.168,1.0,0.806,0.292,0.831,0.068,0.21,0.078,0.772,0.634,0.061,0.715,0.604,0.094,0.023,0.662,0.008,0.742,0.175,0.812,0.645,0.034,0.011
9,0.16,0.01,0.266,0.791,0.182,0.581,0.388,0.055,0.806,1.0,0.275,0.742,0.099,0.148,0.024,0.639,0.717,0.095,0.728,0.576,0.14,0.035,0.809,0.002,0.727,0.162,0.729,0.622,0.047,0.025
10,0.033,0.018,0.807,0.402,0.747,0.055,0.265,0.129,0.292,0.275,1.0,0.154,0.011,0.048,0.066,0.084,0.597,0.422,0.301,0.119,0.626,0.026,0.467,0.011,0.145,0.676,0.183,0.105,0.085,0.018
11,0.296,0.004,0.109,0.57,0.076,0.922,0.23,0.098,0.831,0.742,0.154,1.0,0.063,0.143,0.073,0.874,0.408,0.034,0.678,0.859,0.056,0.019,0.426,0.012,0.94,0.067,0.989,0.869,0.019,0.01
12,0.181,0.035,0.002,0.039,0.006,0.078,0.035,0.029,0.068,0.099,0.011,0.063,1.0,0.324,0.035,0.12,0.028,0.002,0.052,0.072,0.003,0.063,0.063,0.001,0.052,0.011,0.052,0.097,0.004,0.071
13,0.704,0.019,0.013,0.078,0.007,0.215,0.138,0.231,0.21,0.148,0.048,0.143,0.324,1.0,0.125,0.3,0.069,0.003,0.14,0.167,0.005,0.028,0.092,0.008,0.157,0.018,0.134,0.193,0.002,0.013
14,0.262,0.172,0.042,0.023,0.042,0.044,0.037,0.589,0.078,0.024,0.066,0.073,0.035,0.125,1.0,0.055,0.037,0.017,0.123,0.107,0.033,0.13,0.022,0.054,0.091,0.016,0.064,0.114,0.014,0.108
15,0.436,0.013,0.073,0.483,0.06,0.884,0.258,0.133,0.772,0.639,0.084,0.874,0.12,0.3,0.055,1.0,0.357,0.017,0.547,0.719,0.029,0.034,0.374,0.01,0.783,0.078,0.829,0.725,0.02,0.017
16,0.084,0.004,0.497,0.909,0.422,0.232,0.65,0.072,0.634,0.717,0.597,0.408,0.028,0.069,0.037,0.357,1.0,0.241,0.655,0.353,0.305,0.024,0.942,0.006,0.414,0.466,0.438,0.343,0.095,0.028
17,0.003,0.018,0.661,0.131,0.816,0.021,0.016,0.053,0.061,0.095,0.422,0.034,0.002,0.003,0.017,0.017,0.241,1.0,0.049,0.024,0.893,0.038,0.198,0.176,0.026,0.62,0.041,0.031,0.415,0.016
18,0.261,0.003,0.227,0.674,0.138,0.449,0.412,0.172,0.715,0.728,0.301,0.678,0.052,0.14,0.123,0.547,0.655,0.049,1.0,0.688,0.072,0.026,0.662,0.007,0.783,0.15,0.728,0.791,0.021,0.003
19,0.421,0.004,0.089,0.397,0.066,0.73,0.165,0.125,0.604,0.576,0.119,0.859,0.072,0.167,0.107,0.719,0.353,0.024,0.688,1.0,0.052,0.022,0.339,0.005,0.872,0.06,0.879,0.947,0.008,0.007
20,0.009,0.051,0.838,0.144,0.884,0.038,0.024,0.109,0.094,0.14,0.626,0.056,0.003,0.005,0.033,0.029,0.305,0.893,0.072,0.052,1.0,0.075,0.223,0.086,0.041,0.625,0.072,0.032,0.298,0.056
21,0.051,0.724,0.037,0.019,0.063,0.011,0.007,0.219,0.023,0.035,0.026,0.019,0.063,0.028,0.13,0.034,0.024,0.038,0.026,0.022,0.075,1.0,0.034,0.008,0.02,0.036,0.028,0.022,0.07,0.956
22,0.112,0.007,0.43,0.869,0.332,0.281,0.593,0.05,0.662,0.809,0.467,0.426,0.063,0.092,0.022,0.374,0.942,0.198,0.662,0.339,0.223,0.034,1.0,0.001,0.406,0.319,0.403,0.328,0.061,0.011
23,0.025,0.017,0.016,0.005,0.111,0.002,0.009,0.09,0.008,0.002,0.011,0.012,0.001,0.008,0.054,0.01,0.006,0.176,0.007,0.005,0.086,0.008,0.001,1.0,0.004,0.171,0.009,0.009,0.317,0.011
24,0.342,0.003,0.115,0.514,0.074,0.815,0.17,0.134,0.742,0.727,0.145,0.94,0.052,0.157,0.091,0.783,0.414,0.026,0.783,0.872,0.041,0.02,0.406,0.004,1.0,0.075,0.95,0.956,0.013,0.013
25,0.016,0.014,0.56,0.312,0.896,0.029,0.177,0.064,0.175,0.162,0.676,0.067,0.011,0.018,0.016,0.078,0.466,0.62,0.15,0.06,0.625,0.036,0.319,0.171,0.075,1.0,0.084,0.069,0.312,0.016
26,0.277,0.009,0.135,0.584,0.092,0.882,0.203,0.107,0.812,0.729,0.183,0.989,0.052,0.134,0.064,0.829,0.438,0.041,0.728,0.879,0.072,0.028,0.403,0.009,0.95,0.084,1.0,0.884,0.034,0.011
27,0.4,0.006,0.087,0.389,0.054,0.751,0.161,0.154,0.645,0.622,0.105,0.869,0.097,0.193,0.114,0.725,0.343,0.031,0.791,0.947,0.032,0.022,0.328,0.009,0.956,0.069,0.884,1.0,0.007,0.01
28,0.006,0.062,0.144,0.05,0.309,0.01,0.014,0.044,0.034,0.047,0.085,0.019,0.004,0.002,0.014,0.02,0.095,0.415,0.021,0.008,0.298,0.07,0.061,0.317,0.013,0.312,0.034,0.007,1.0,0.073
29,0.043,0.771,0.021,0.012,0.022,0.004,0.001,0.172,0.011,0.025,0.018,0.01,0.071,0.013,0.108,0.017,0.028,0.016,0.003,0.007,0.056,0.956,0.011,0.011,0.013,0.016,0.011,0.01,0.073,1.0
