,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.025,0.0,0.019,0.0,0.024,0.008,0.339,0.05,0.022,0.0,0.04,0.077,0.448,0.221,0.119,0.016,0.0,0.019,0.043,0.0,0.024,0.011,0.008,0.023,0.0,0.027,0.049,0.001,0.009
1,0.025,1.0,0.001,0.002,0.0,0.003,0.0,0.043,0.011,0.014,0.001,0.002,0.036,0.006,0.055,0.008,0.004,0.0,0.002,0.005,0.0,0.664,0.004,0.004,0.002,0.0,0.002,0.004,0.006,0.672
2,0.0,0.001,1.0,0.049,0.658,0.01,0.048,0.001,0.034,0.04,0.761,0.009,0.0,0.0,0.003,0.003,0.107,0.565,0.051,0.005,0.719,0.0,0.128,0.004,0.006,0.402,0.012,0.007,0.024,0.0
3,0.019,0.002,0.049,1.0,0.039,0.27,0.644,0.01,0.783,0.679,0.046,0.505,0.023,0.038,0.009,0.399,0.896,0.006,0.558,0.11,0.013,0.005,0.838,0.0,0.438,0.046,0.335,0.236,0.003,0.003
4,0.0,0.0,0.658,0.039,1.0,0.005,0.071,0.001,0.025,0.02,0.529,0.008,0.001,0.001,0.0,0.011,0.089,0.754,0.027,0.001,0.799,0.003,0.1,0.01,0.001,0.818,0.009,0.004,0.086,0.0
5,0.024,0.003,0.01,0.27,0.005,1.0,0.101,0.001,0.583,0.517,0.02,0.862,0.068,0.021,0.007,0.644,0.16,0.0,0.395,0.574,0.001,0.001,0.288,0.0,0.746,0.007,0.854,0.643,0.0,0.001
6,0.008,0.0,0.048,0.644,0.071,0.101,1.0,0.006,0.464,0.29,0.065,0.193,0.008,0.035,0.004,0.249,0.608,0.011,0.339,0.033,0.016,0.001,0.568,0.001,0.165,0.095,0.124,0.078,0.003,0.0
7,0.339,0.043,0.001,0.01,0.001,0.001,0.006,1.0,0.032,0.01,0.0,0.006,0.008,0.16,0.495,0.024,0.025,0.0,0.011,0.001,0.001,0.06,0.011,0.01,0.003,0.003,0.002,0.007,0.003,0.007
8,0.05,0.011,0.034,0.783,0.025,0.583,0.464,0.032,1.0,0.731,0.061,0.731,0.035,0.067,0.018,0.672,0.602,0.005,0.693,0.227,0.013,0.013,0.666,0.001,0.687,0.034,0.635,0.429,0.001,0.001
9,0.022,0.014,0.04,0.679,0.02,0.517,0.29,0.01,0.731,1.0,0.041,0.7,0.074,0.038,0.015,0.505,0.502,0.006,0.718,0.29,0.008,0.011,0.771,0.001,0.696,0.023,0.56,0.473,0.0,0.01
10,0.0,0.001,0.761,0.046,0.529,0.02,0.065,0.0,0.061,0.041,1.0,0.022,0.0,0.0,0.002,0.029,0.082,0.327,0.049,0.005,0.527,0.0,0.095,0.0,0.007,0.401,0.039,0.011,0.001,0.0
11,0.04,0.002,0.009,0.505,0.008,0.862,0.193,0.006,0.731,0.7,0.022,1.0,0.045,0.024,0.004,0.727,0.284,0.002,0.628,0.586,0.001,0.007,0.436,0.0,0.894,0.005,0.925,0.752,0.0,0.004
12,0.077,0.036,0.0,0.023,0.001,0.068,0.008,0.008,0.035,0.074,0.0,0.045,1.0,0.184,0.021,0.059,0.008,0.0,0.026,0.034,0.0,0.051,0.034,0.0,0.036,0.0,0.037,0.041,0.0,0.05
13,0.448,0.006,0.0,0.038,0.001,0.021,0.035,0.16,0.067,0.038,0.0,0.024,0.184,1.0,0.13,0.073,0.023,0.0,0.039,0.01,0.0,0.01,0.029,0.002,0.039,0.001,0.018,0.028,0.0,0.002
14,0.221,0.055,0.003,0.009,0.0,0.007,0.004,0.495,0.018,0.015,0.002,0.004,0.021,0.13,1.0,0.024,0.015,0.001,0.024,0.009,0.001,0.085,0.014,0.006,0.009,0.001,0.007,0.01,0.002,0.014
15,0.119,0.008,0.003,0.399,0.011,0.644,0.249,0.024,0.672,0.505,0.029,0.727,0.059,0.073,0.024,1.0,0.292,0.001,0.374,0.405,0.003,0.015,0.308,0.003,0.604,0.015,0.668,0.506,0.002,0.002
16,0.016,0.004,0.107,0.896,0.089,0.16,0.608,0.025,0.602,0.502,0.082,0.284,0.008,0.023,0.015,0.292,1.0,0.023,0.514,0.074,0.032,0.012,0.868,0.004,0.258,0.104,0.245,0.148,0.005,0.0
17,0.0,0.0,0.565,0.006,0.754,0.0,0.011,0.0,0.005,0.006,0.327,0.002,0.0,0.0,0.001,0.001,0.023,1.0,0.004,0.0,0.89,0.0,0.015,0.004,0.001,0.582,0.0,0.0,0.081,0.0
18,0.019,0.002,0.051,0.558,0.027,0.395,0.339,0.011,0.693,0.718,0.049,0.628,0.026,0.039,0.024,0.374,0.514,0.004,1.0,0.276,0.01,0.006,0.628,0.0,0.705,0.023,0.61,0.565,0.0,0.001
19,0.043,0.005,0.005,0.11,0.001,0.574,0.033,0.001,0.227,0.29,0.005,0.586,0.034,0.01,0.009,0.405,0.074,0.0,0.276,1.0,0.0,0.004,0.112,0.0,0.485,0.002,0.648,0.808,0.0,0.004
