,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.018,0.0,0.032,0.0,0.027,0.025,0.449,0.066,0.052,0.03,0.043,0.089,0.449,0.299,0.139,0.029,0.001,0.026,0.023,0.0,0.033,0.026,0.0,0.076,0.011,0.02,0.056,0.0,0.0
1,0.018,1.0,0.021,0.003,0.015,0.001,0.002,0.02,0.005,0.009,0.022,0.001,0.039,0.003,0.043,0.006,0.011,0.009,0.01,0.005,0.006,0.678,0.012,0.0,0.005,0.023,0.002,0.007,0.002,0.57
2,0.0,0.021,1.0,0.035,0.838,0.001,0.045,0.001,0.029,0.078,0.719,0.014,0.026,0.001,0.009,0.011,0.089,0.836,0.051,0.007,0.795,0.041,0.157,0.0,0.012,0.617,0.007,0.036,0.102,0.025
3,0.032,0.003,0.035,1.0,0.049,0.263,0.632,0.01,0.788,0.753,0.035,0.422,0.015,0.069,0.012,0.406,0.879,0.011,0.589,0.163,0.001,0.007,0.83,0.001,0.408,0.09,0.343,0.317,0.001,0.011
4,0.0,0.015,0.838,0.049,1.0,0.001,0.092,0.0,0.023,0.07,0.613,0.003,0.05,0.001,0.001,0.016,0.123,0.764,0.056,0.0,0.798,0.064,0.166,0.018,0.007,0.844,0.0,0.021,0.181,0.05
5,0.027,0.001,0.001,0.263,0.001,1.0,0.129,0.0,0.615,0.506,0.014,0.857,0.05,0.039,0.0,0.637,0.121,0.0,0.445,0.574,0.0,0.001,0.158,0.0,0.722,0.006,0.853,0.666,0.005,0.002
6,0.025,0.002,0.045,0.632,0.092,0.129,1.0,0.008,0.502,0.536,0.063,0.233,0.011,0.049,0.005,0.337,0.689,0.021,0.376,0.063,0.026,0.014,0.675,0.002,0.222,0.159,0.196,0.146,0.004,0.011
7,0.449,0.02,0.001,0.01,0.0,0.0,0.008,1.0,0.017,0.008,0.013,0.001,0.009,0.167,0.585,0.025,0.02,0.0,0.006,0.004,0.0,0.029,0.01,0.0,0.01,0.012,0.0,0.009,0.001,0.003
8,0.066,0.005,0.029,0.788,0.023,0.615,0.502,0.017,1.0,0.881,0.042,0.718,0.035,0.111,0.013,0.671,0.542,0.007,0.735,0.297,0.004,0.016,0.635,0.001,0.676,0.06,0.657,0.514,0.0,0.011
9,0.052,0.009,0.078,0.753,0.07,0.506,0.536,0.008,0.881,1.0,0.077,0.663,0.063,0.081,0.026,0.582,0.622,0.036,0.816,0.322,0.012,0.027,0.794,0.004,0.712,0.097,0.524,0.595,0.0,0.014
10,0.03,0.022,0.719,0.035,0.613,0.014,0.063,0.013,0.042,0.077,1.0,0.029,0.022,0.011,0.004,0.019,0.061,0.424,0.084,0.049,0.543,0.039,0.126,0.001,0.018,0.617,0.039,0.043,0.024,0.043
11,0.043,0.001,0.014,0.422,0.003,0.857,0.233,0.001,0.718,0.663,0.029,1.0,0.039,0.032,0.009,0.755,0.24,0.001,0.699,0.686,0.001,0.007,0.333,0.0,0.881,0.013,0.92,0.813,0.008,0.006
12,0.089,0.039,0.026,0.015,0.05,0.05,0.011,0.009,0.035,0.063,0.022,0.039,1.0,0.19,0.036,0.043,0.025,0.018,0.025,0.02,0.023,0.05,0.034,0.0,0.042,0.033,0.031,0.038,0.002,0.033
13,0.449,0.003,0.001,0.069,0.001,0.039,0.049,0.167,0.111,0.081,0.011,0.032,0.19,1.0,0.129,0.089,0.036,0.0,0.039,0.005,0.0,0.0,0.04,0.0,0.064,0.001,0.008,0.018,0.0,0.0
14,0.299,0.043,0.009,0.012,0.001,0.0,0.005,0.585,0.013,0.026,0.004,0.009,0.036,0.129,1.0,0.02,0.015,0.02,0.022,0.007,0.011,0.033,0.014,0.001,0.027,0.008,0.003,0.041,0.0,0.0
15,0.139,0.006,0.011,0.406,0.016,0.637,0.337,0.025,0.671,0.582,0.019,0.755,0.043,0.089,0.02,1.0,0.29,0.004,0.424,0.44,0.004,0.016,0.319,0.0,0.575,0.018,0.623,0.484,0.006,0.006
16,0.029,0.011,0.089,0.879,0.123,0.121,0.689,0.02,0.542,0.622,0.061,0.24,0.025,0.036,0.015,0.29,1.0,0.041,0.504,0.068,0.034,0.015,0.914,0.001,0.254,0.162,0.156,0.199,0.012,0.016
17,0.001,0.009,0.836,0.011,0.764,0.0,0.021,0.0,0.007,0.036,0.424,0.001,0.018,0.0,0.02,0.004,0.041,1.0,0.023,0.001,0.896,0.044,0.06,0.004,0.005,0.496,0.001,0.016,0.144,0.018
18,0.026,0.01,0.051,0.589,0.056,0.445,0.376,0.006,0.735,0.816,0.084,0.699,0.025,0.039,0.022,0.424,0.504,0.023,1.0,0.4,0.021,0.012,0.657,0.0,0.753,0.082,0.598,0.699,0.001,0.014
19,0.023,0.005,0.007,0.163,0.0,0.574,0.063,0.004,0.297,0.322,0.049,0.686,0.02,0.005,0.007,0.44,0.068,0.001,0.4,1.0,0.008,0.009,0.119,0.011,0.589,0.018,0.713,0.796,0.073,0.01
