,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.051,0.076,0.013,0.039,0.024,0.067,0.017,0.005,0.007,0.027,0.017,0.109,0.009,0.08,0.2,0.226,0.02,0.051,0.231,0.098,0.092,0.01,0.023,0.083,0.138,0.569,0.024,0.066,0.017
1,0.051,1.0,0.117,0.693,0.018,0.325,0.045,0.44,0.359,0.127,0.679,0.651,0.013,0.213,0.042,0.018,0.096,0.711,0.463,0.18,0.016,0.023,0.721,0.002,0.02,0.009,0.036,0.319,0.032,0.832
2,0.076,0.117,1.0,0.081,0.172,0.244,0.445,0.0,0.004,0.373,0.219,0.023,0.433,0.002,0.025,0.193,0.192,0.032,0.213,0.606,0.565,0.41,0.065,0.102,0.376,0.13,0.046,0.456,0.065,0.067
3,0.013,0.693,0.081,1.0,0.014,0.641,0.08,0.293,0.276,0.306,0.677,0.607,0.019,0.128,0.015,0.002,0.023,0.514,0.427,0.233,0.026,0.045,0.976,0.007,0.047,0.004,0.007,0.503,0.016,0.89
4,0.039,0.018,0.172,0.014,1.0,0.067,0.043,0.001,0.003,0.049,0.048,0.013,0.763,0.0,0.018,0.07,0.07,0.006,0.027,0.233,0.718,0.713,0.014,0.788,0.804,0.064,0.014,0.07,0.08,0.013
5,0.024,0.325,0.244,0.641,0.067,1.0,0.335,0.04,0.064,0.67,0.498,0.178,0.108,0.023,0.013,0.029,0.083,0.128,0.485,0.459,0.112,0.137,0.52,0.027,0.128,0.012,0.016,0.879,0.08,0.455
6,0.067,0.045,0.445,0.08,0.043,0.335,1.0,0.0,0.0,0.628,0.102,0.01,0.234,0.004,0.063,0.385,0.35,0.005,0.186,0.47,0.184,0.193,0.048,0.019,0.13,0.339,0.056,0.527,0.081,0.035
7,0.017,0.44,0.0,0.293,0.001,0.04,0.0,1.0,0.857,0.011,0.173,0.59,0.0,0.415,0.012,0.006,0.045,0.607,0.078,0.016,0.001,0.002,0.366,0.0,0.002,0.002,0.01,0.026,0.021,0.412
8,0.005,0.359,0.004,0.276,0.003,0.064,0.0,0.857,1.0,0.019,0.153,0.384,0.007,0.264,0.044,0.005,0.064,0.424,0.074,0.015,0.005,0.004,0.309,0.001,0.006,0.003,0.006,0.045,0.034,0.357
9,0.007,0.127,0.373,0.306,0.049,0.67,0.628,0.011,0.019,1.0,0.228,0.051,0.14,0.015,0.009,0.042,0.075,0.062,0.248,0.384,0.114,0.141,0.216,0.006,0.126,0.037,0.006,0.806,0.017,0.183
10,0.027,0.679,0.219,0.677,0.048,0.498,0.102,0.173,0.153,0.228,1.0,0.44,0.083,0.095,0.042,0.03,0.08,0.496,0.784,0.323,0.075,0.072,0.684,0.016,0.087,0.017,0.015,0.481,0.048,0.737
11,0.017,0.651,0.023,0.607,0.013,0.178,0.01,0.59,0.384,0.051,0.44,1.0,0.005,0.451,0.007,0.003,0.015,0.885,0.251,0.098,0.01,0.006,0.705,0.001,0.006,0.001,0.011,0.131,0.011,0.795
12,0.109,0.013,0.433,0.019,0.763,0.108,0.234,0.0,0.007,0.14,0.083,0.005,1.0,0.0,0.016,0.252,0.201,0.008,0.052,0.494,0.915,0.899,0.036,0.563,0.894,0.16,0.069,0.144,0.07,0.021
13,0.009,0.213,0.002,0.128,0.0,0.023,0.004,0.415,0.264,0.015,0.095,0.451,0.0,1.0,0.008,0.001,0.006,0.508,0.026,0.013,0.002,0.003,0.169,0.001,0.005,0.0,0.011,0.018,0.011,0.204
14,0.08,0.042,0.025,0.015,0.018,0.013,0.063,0.012,0.044,0.009,0.042,0.007,0.016,0.008,1.0,0.352,0.327,0.03,0.033,0.025,0.013,0.021,0.013,0.011,0.007,0.363,0.122,0.046,0.297,0.019
15,0.2,0.018,0.193,0.002,0.07,0.029,0.385,0.006,0.005,0.042,0.03,0.003,0.252,0.001,0.352,1.0,0.669,0.001,0.051,0.189,0.187,0.185,0.003,0.133,0.143,0.913,0.293,0.068,0.285,0.004
16,0.226,0.096,0.192,0.023,0.07,0.083,0.35,0.045,0.064,0.075,0.08,0.015,0.201,0.006,0.327,0.669,1.0,0.046,0.098,0.174,0.166,0.187,0.02,0.069,0.12,0.529,0.227,0.167,0.287,0.031
17,0.02,0.711,0.032,0.514,0.006,0.128,0.005,0.607,0.424,0.062,0.496,0.885,0.008,0.508,0.03,0.001,0.046,1.0,0.222,0.062,0.007,0.01,0.637,0.003,0.018,0.001,0.014,0.107,0.031,0.734
18,0.051,0.463,0.213,0.427,0.027,0.485,0.186,0.078,0.074,0.248,0.784,0.251,0.052,0.026,0.033,0.051,0.098,0.222,1.0,0.431,0.063,0.048,0.417,0.015,0.046,0.06,0.053,0.549,0.067,0.502
19,0.231,0.18,0.606,0.233,0.233,0.459,0.47,0.016,0.015,0.384,0.323,0.098,0.494,0.013,0.025,0.189,0.174,0.062,0.431,1.0,0.431,0.407,0.192,0.142,0.363,0.142,0.103,0.559,0.142,0.215
20,0.098,0.016,0.565,0.026,0.718,0.112,0.184,0.001,0.005,0.114,0.075,0.01,0.915,0.002,0.013,0.187,0.166,0.007,0.063,0.431,1.0,0.859,0.029,0.46,0.872,0.136,0.037,0.148,0.061,0.013
21,0.092,0.023,0.41,0.045,0.713,0.137,0.193,0.002,0.004,0.141,0.072,0.006,0.899,0.003,0.021,0.185,0.187,0.01,0.048,0.407,0.859,1.0,0.033,0.452,0.883,0.127,0.055,0.16,0.108,0.03
22,0.01,0.721,0.065,0.976,0.014,0.52,0.048,0.366,0.309,0.216,0.684,0.705,0.036,0.169,0.013,0.003,0.02,0.637,0.417,0.192,0.029,0.033,1.0,0.008,0.035,0.005,0.006,0.385,0.014,0.949
23,0.023,0.002,0.102,0.007,0.788,0.027,0.019,0.0,0.001,0.006,0.016,0.001,0.563,0.001,0.011,0.133,0.069,0.003,0.015,0.142,0.46,0.452,0.008,1.0,0.501,0.136,0.017,0.025,0.064,0.006
24,0.083,0.02,0.376,0.047,0.804,0.128,0.13,0.002,0.006,0.126,0.087,0.006,0.894,0.005,0.007,0.143,0.12,0.018,0.046,0.363,0.872,0.883,0.035,0.501,1.0,0.092,0.033,0.146,0.059,0.036
25,0.138,0.009,0.13,0.004,0.064,0.012,0.339,0.002,0.003,0.037,0.017,0.001,0.16,0.0,0.363,0.913,0.529,0.001,0.06,0.142,0.136,0.127,0.005,0.136,0.092,1.0,0.21,0.07,0.22,0.002
26,0.569,0.036,0.046,0.007,0.014,0.016,0.056,0.01,0.006,0.006,0.015,0.011,0.069,0.011,0.122,0.293,0.227,0.014,0.053,0.103,0.037,0.055,0.006,0.017,0.033,0.21,1.0,0.021,0.232,0.009
27,0.024,0.319,0.456,0.503,0.07,0.879,0.527,0.026,0.045,0.806,0.481,0.131,0.144,0.018,0.046,0.068,0.167,0.107,0.549,0.559,0.148,0.16,0.385,0.025,0.146,0.07,0.021,1.0,0.096,0.352
28,0.066,0.032,0.065,0.016,0.08,0.08,0.081,0.021,0.034,0.017,0.048,0.011,0.07,0.011,0.297,0.285,0.287,0.031,0.067,0.142,0.061,0.108,0.014,0.064,0.059,0.22,0.232,0.096,1.0,0.023
29,0.017,0.832,0.067,0.89,0.013,0.455,0.035,0.412,0.357,0.183,0.737,0.795,0.021,0.204,0.019,0.004,0.031,0.734,0.502,0.215,0.013,0.03,0.949,0.006,0.036,0.002,0.009,0.352,0.023,1.0
