,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.002,0.009,0.001,0.011,0.0,0.002,0.001,0.001,0.0,0.0,0.0,0.011,0.0,0.059,0.175,0.149,0.0,0.0,0.016,0.029,0.015,0.0,0.006,0.01,0.147,0.575,0.0,0.07,0.0
1,0.002,1.0,0.017,0.301,0.0,0.063,0.002,0.056,0.041,0.006,0.676,0.597,0.0,0.062,0.0,0.0,0.002,0.556,0.364,0.04,0.003,0.0,0.403,0.0,0.0,0.0,0.0,0.052,0.0,0.73
2,0.009,0.017,1.0,0.01,0.087,0.069,0.014,0.001,0.001,0.012,0.032,0.0,0.123,0.0,0.008,0.057,0.041,0.005,0.06,0.378,0.504,0.268,0.012,0.012,0.148,0.047,0.018,0.088,0.008,0.017
3,0.001,0.301,0.01,1.0,0.0,0.412,0.015,0.019,0.008,0.131,0.375,0.362,0.001,0.005,0.0,0.0,0.0,0.138,0.24,0.062,0.001,0.0,0.944,0.0,0.0,0.0,0.0,0.364,0.0,0.623
4,0.011,0.0,0.087,0.0,1.0,0.004,0.012,0.001,0.002,0.005,0.0,0.0,0.631,0.0,0.001,0.018,0.011,0.0,0.002,0.084,0.531,0.273,0.0,0.671,0.591,0.03,0.008,0.006,0.017,0.0
5,0.0,0.063,0.069,0.412,0.004,1.0,0.205,0.006,0.007,0.471,0.149,0.054,0.029,0.0,0.001,0.001,0.003,0.021,0.226,0.32,0.021,0.014,0.332,0.0,0.017,0.001,0.002,0.821,0.002,0.202
6,0.002,0.002,0.014,0.015,0.012,0.205,1.0,0.0,0.0,0.593,0.004,0.002,0.181,0.0,0.001,0.002,0.0,0.0,0.011,0.137,0.025,0.05,0.007,0.004,0.062,0.004,0.0,0.332,0.002,0.001
7,0.001,0.056,0.001,0.019,0.001,0.006,0.0,1.0,0.573,0.001,0.02,0.06,0.0,0.082,0.013,0.003,0.015,0.135,0.01,0.0,0.0,0.0,0.025,0.0,0.0,0.001,0.0,0.002,0.003,0.05
8,0.001,0.041,0.001,0.008,0.002,0.007,0.0,0.573,1.0,0.001,0.013,0.03,0.001,0.048,0.009,0.001,0.009,0.049,0.004,0.003,0.001,0.0,0.017,0.002,0.001,0.0,0.0,0.0,0.002,0.027
9,0.0,0.006,0.012,0.131,0.005,0.471,0.593,0.001,0.001,1.0,0.017,0.002,0.053,0.0,0.0,0.0,0.001,0.001,0.017,0.12,0.009,0.014,0.078,0.002,0.039,0.001,0.0,0.631,0.0,0.023
10,0.0,0.676,0.032,0.375,0.0,0.149,0.004,0.02,0.013,0.017,1.0,0.375,0.004,0.017,0.002,0.003,0.004,0.311,0.74,0.09,0.007,0.0,0.457,0.0,0.0,0.001,0.001,0.136,0.001,0.665
