,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.17,0.151,0.216,0.197,0.156,0.05,0.371,0.244,0.057,0.14,0.244,0.122,0.032,0.141,0.444,0.471,0.203,0.144,0.183,0.2,0.155,0.178,0.147,0.119,0.307,0.498,0.16,0.13,0.208
1,0.17,1.0,0.424,0.702,0.421,0.677,0.175,0.281,0.165,0.365,0.848,0.762,0.301,0.374,0.123,0.128,0.208,0.874,0.687,0.676,0.489,0.475,0.727,0.22,0.346,0.16,0.27,0.633,0.148,0.845
2,0.151,0.424,1.0,0.562,0.425,0.597,0.33,0.165,0.123,0.264,0.599,0.346,0.593,0.051,0.133,0.307,0.232,0.393,0.412,0.722,0.724,0.741,0.527,0.456,0.577,0.348,0.298,0.523,0.114,0.482
3,0.216,0.702,0.562,1.0,0.547,0.947,0.379,0.139,0.051,0.581,0.676,0.819,0.604,0.098,0.123,0.151,0.233,0.611,0.555,0.764,0.546,0.487,0.989,0.659,0.536,0.177,0.229,0.852,0.125,0.853
4,0.197,0.421,0.425,0.547,1.0,0.593,0.15,0.328,0.343,0.175,0.393,0.602,0.839,0.293,0.052,0.153,0.151,0.551,0.199,0.717,0.848,0.738,0.579,0.777,0.804,0.158,0.26,0.445,0.084,0.59
5,0.156,0.677,0.597,0.947,0.593,1.0,0.471,0.102,0.065,0.662,0.685,0.8,0.702,0.124,0.111,0.13,0.171,0.631,0.566,0.863,0.652,0.602,0.931,0.704,0.644,0.17,0.191,0.927,0.088,0.9
6,0.05,0.175,0.33,0.379,0.15,0.471,1.0,0.054,0.03,0.75,0.252,0.207,0.446,0.018,0.086,0.026,0.01,0.086,0.374,0.319,0.227,0.266,0.337,0.397,0.3,0.114,0.044,0.68,0.008,0.301
7,0.371,0.281,0.165,0.139,0.328,0.102,0.054,1.0,0.726,0.004,0.236,0.211,0.224,0.156,0.099,0.208,0.287,0.348,0.118,0.205,0.278,0.321,0.154,0.097,0.186,0.246,0.575,0.079,0.268,0.194
8,0.244,0.165,0.123,0.051,0.343,0.065,0.03,0.726,1.0,0.008,0.095,0.101,0.249,0.113,0.055,0.159,0.122,0.16,0.043,0.126,0.269,0.315,0.047,0.159,0.24,0.146,0.391,0.021,0.126,0.079
9,0.057,0.365,0.264,0.581,0.175,0.662,0.75,0.004,0.008,1.0,0.435,0.392,0.404,0.026,0.046,0.026,0.04,0.276,0.639,0.427,0.195,0.189,0.568,0.453,0.238,0.073,0.021,0.79,0.012,0.488
10,0.14,0.848,0.599,0.676,0.393,0.685,0.252,0.236,0.095,0.435,1.0,0.673,0.371,0.327,0.115,0.115,0.19,0.87,0.829,0.687,0.518,0.552,0.677,0.321,0.333,0.174,0.207,0.651,0.084,0.816
11,0.244,0.762,0.346,0.819,0.602,0.8,0.207,0.211,0.101,0.392,0.673,1.0,0.451,0.329,0.059,0.125,0.182,0.842,0.546,0.712,0.593,0.491,0.875,0.495,0.495,0.076,0.245,0.734,0.158,0.951
12,0.122,0.301,0.593,0.604,0.839,0.702,0.446,0.224,0.249,0.404,0.371,0.451,1.0,0.121,0.09,0.147,0.105,0.424,0.215,0.75,0.812,0.732,0.628,0.842,0.833,0.201,0.164,0.59,0.043,0.568
13,0.032,0.374,0.051,0.098,0.293,0.124,0.018,0.156,0.113,0.026,0.327,0.329,0.121,1.0,0.018,0.002,0.001,0.507,0.166,0.18,0.213,0.189,0.142,0.073,0.119,0.01,0.031,0.076,0.03,0.268
14,0.141,0.123,0.133,0.123,0.052,0.111,0.086,0.099,0.055,0.046,0.115,0.059,0.09,0.018,1.0,0.197,0.237,0.083,0.048,0.086,0.062,0.103,0.123,0.089,0.095,0.42,0.127,0.134,0.325,0.113
15,0.444,0.128,0.307,0.151,0.153,0.13,0.026,0.208,0.159,0.026,0.115,0.125,0.147,0.002,0.197,1.0,0.76,0.09,0.049,0.235,0.209,0.16,0.12,0.091,0.118,0.798,0.441,0.068,0.264,0.101
16,0.471,0.208,0.232,0.233,0.151,0.171,0.01,0.287,0.122,0.04,0.19,0.182,0.105,0.001,0.237,0.76,1.0,0.181,0.077,0.216,0.17,0.146,0.224,0.084,0.081,0.616,0.48,0.13,0.315,0.172
17,0.203,0.874,0.393,0.611,0.551,0.631,0.086,0.348,0.16,0.276,0.87,0.842,0.424,0.507,0.083,0.09,0.181,1.0,0.591,0.662,0.603,0.584,0.7,0.308,0.39,0.1,0.322,0.531,0.145,0.887
18,0.144,0.687,0.412,0.555,0.199,0.566,0.374,0.118,0.043,0.639,0.829,0.546,0.215,0.166,0.048,0.049,0.077,0.591,1.0,0.499,0.349,0.334,0.552,0.221,0.159,0.117,0.123,0.611,0.051,0.632
