,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.012,0.003,0.007,0.01,0.019,0.604,0.001,0.258,0.002,0.009,0.442,0.0,0.16,0.003,0.836,0.001,0.007,0.633,0.858,0.053,0.67,0.003,0.0,0.694,0.003,0.002,0.009,0.005,0.164,0.0,0.36,0.003,0.003,0.848,0.002,0.003,0.708,0.829,0.018,0.008,0.008,0.0,0.023,0.01,0.007,0.012,0.011,0.002,0.695,0.724,0.0,0.099,0.0,0.001,0.003,0.001,0.133,0.002,0.009,0.004,0.57,0.001,0.007,0.084,0.058,0.005,0.004,0.008,0.344,0.912,0.1,0.87,0.002,0.0,0.456,0.003,0.088,0.002,0.0
1,0.012,1.0,0.268,0.285,0.359,0.78,0.004,0.566,0.381,0.004,0.868,0.226,0.103,0.636,0.347,0.029,0.001,0.035,0.075,0.025,0.405,0.11,0.403,0.048,0.062,0.484,0.046,0.033,0.0,0.582,0.001,0.319,0.005,0.303,0.014,0.014,0.005,0.057,0.034,0.581,0.826,0.513,0.019,0.47,0.469,0.406,0.459,0.461,0.358,0.117,0.051,0.001,0.1,0.021,0.001,0.282,0.276,0.539,0.003,0.487,0.009,0.141,0.01,0.083,0.346,0.504,0.308,0.047,0.342,0.325,0.018,0.716,0.01,0.175,0.012,0.225,0.307,0.534,0.364,0.085
2,0.003,0.268,1.0,0.792,0.539,0.413,0.001,0.488,0.062,0.047,0.449,0.02,0.587,0.132,0.677,0.005,0.016,0.085,0.013,0.006,0.193,0.011,0.89,0.414,0.003,0.576,0.114,0.126,0.027,0.112,0.02,0.05,0.111,0.395,0.001,0.113,0.04,0.007,0.003,0.486,0.36,0.812,0.047,0.431,0.789,0.338,0.485,0.5,0.768,0.005,0.008,0.04,0.015,0.287,0.011,0.655,0.95,0.105,0.016,0.673,0.066,0.013,0.016,0.145,0.161,0.37,0.582,0.164,0.562,0.02,0.001,0.196,0.0,0.809,0.038,0.023,0.885,0.253,0.956,0.565
3,0.007,0.285,0.792,1.0,0.808,0.538,0.005,0.35,0.134,0.056,0.423,0.059,0.36,0.191,0.826,0.009,0.019,0.061,0.042,0.008,0.458,0.034,0.669,0.232,0.038,0.451,0.103,0.181,0.033,0.191,0.04,0.111,0.128,0.608,0.009,0.143,0.034,0.018,0.014,0.696,0.426,0.853,0.047,0.719,0.852,0.57,0.799,0.812,0.853,0.025,0.026,0.051,0.016,0.122,0.018,0.602,0.694,0.235,0.034,0.624,0.102,0.042,0.033,0.131,0.332,0.575,0.847,0.129,0.861,0.094,0.008,0.328,0.003,0.588,0.053,0.072,0.784,0.366,0.736,0.326
4,0.01,0.359,0.539,0.808,1.0,0.694,0.006,0.315,0.247,0.024,0.448,0.127,0.266,0.273,0.633,0.016,0.01,0.042,0.079,0.029,0.746,0.036,0.479,0.156,0.056,0.379,0.067,0.072,0.017,0.295,0.011,0.157,0.041,0.544,0.006,0.046,0.016,0.028,0.024,0.881,0.478,0.758,0.021,0.838,0.835,0.738,0.826,0.848,0.68,0.046,0.031,0.008,0.05,0.054,0.004,0.313,0.478,0.395,0.009,0.417,0.04,0.085,0.026,0.067,0.375,0.638,0.94,0.062,0.981,0.194,0.007,0.427,0.011,0.304,0.013,0.093,0.49,0.399,0.533,0.242
5,0.019,0.78,0.413,0.538,0.694,1.0,0.007,0.396,0.498,0.007,0.72,0.297,0.136,0.621,0.491,0.033,0.003,0.041,0.112,0.054,0.768,0.086,0.467,0.08,0.082,0.454,0.047,0.056,0.003,0.641,0.002,0.354,0.025,0.436,0.024,0.021,0.006,0.077,0.054,0.896,0.749,0.687,0.015,0.861,0.725,0.649,0.752,0.776,0.521,0.111,0.045,0.007,0.139,0.028,0.002,0.305,0.393,0.721,0.009,0.54,0.011,0.189,0.005,0.087,0.538,0.827,0.607,0.046,0.687,0.367,0.024,0.833,0.015,0.24,0.011,0.223,0.412,0.622,0.461,0.117
6,0.604,0.004,0.001,0.005,0.006,0.007,1.0,0.0,0.075,0.002,0.002,0.154,0.0,0.045,0.001,0.675,0.002,0.008,0.299,0.582,0.025,0.439,0.001,0.0,0.345,0.0,0.001,0.002,0.015,0.061,0.002,0.13,0.004,0.0,0.708,0.003,0.001,0.346,0.565,0.005,0.002,0.003,0.0,0.006,0.004,0.003,0.003,0.008,0.002,0.269,0.595,0.004,0.023,0.0,0.007,0.001,0.001,0.037,0.009,0.022,0.003,0.221,0.001,0.002,0.048,0.016,0.001,0.0,0.002,0.106,0.651,0.04,0.668,0.002,0.001,0.16,0.002,0.048,0.0,0.001
7,0.001,0.566,0.488,0.35,0.315,0.396,0.0,1.0,0.061,0.018,0.792,0.028,0.27,0.206,0.432,0.001,0.003,0.011,0.011,0.003,0.147,0.013,0.653,0.16,0.006,0.816,0.039,0.046,0.003,0.143,0.006,0.041,0.01,0.322,0.003,0.019,0.01,0.013,0.003,0.388,0.799,0.556,0.02,0.298,0.495,0.421,0.337,0.333,0.42,0.007,0.011,0.005,0.026,0.162,0.002,0.448,0.575,0.13,0.003,0.431,0.015,0.01,0.005,0.089,0.143,0.269,0.316,0.068,0.282,0.058,0.0,0.21,0.002,0.349,0.018,0.043,0.411,0.217,0.614,0.225
8,0.258,0.381,0.062,0.134,0.247,0.498,0.075,0.061,1.0,0.008,0.22,0.775,0.012,0.769,0.105,0.287,0.001,0.031,0.617,0.384,0.571,0.419,0.078,0.005,0.566,0.074,0.016,0.023,0.001,0.85,0.001,0.825,0.009,0.137,0.166,0.007,0.004,0.419,0.347,0.41,0.241,0.154,0.003,0.449,0.205,0.21,0.295,0.32,0.083,0.561,0.356,0.001,0.289,0.001,0.002,0.06,0.055,0.876,0.001,0.191,0.008,0.706,0.003,0.029,0.487,0.557,0.152,0.005,0.215,0.886,0.226,0.819,0.188,0.032,0.0,0.712,0.084,0.548,0.082,0.015
9,0.002,0.004,0.047,0.056,0.024,0.007,0.002,0.018,0.008,1.0,0.007,0.007,0.077,0.018,0.042,0.003,0.477,0.566,0.007,0.003,0.017,0.007,0.038,0.089,0.006,0.014,0.532,0.508,0.087,0.013,0.048,0.011,0.203,0.019,0.004,0.241,0.782,0.005,0.003,0.032,0.009,0.044,0.086,0.018,0.048,0.014,0.046,0.047,0.068,0.002,0.008,0.347,0.0,0.037,0.178,0.048,0.049,0.012,0.065,0.037,0.257,0.007,0.766,0.452,0.026,0.025,0.041,0.484,0.032,0.009,0.005,0.01,0.004,0.041,0.042,0.014,0.045,0.028,0.062,0.083
