,0
0,752
1,70
2,1787
3,1763
4,665
5,1614
6,562
7,734
8,1984
9,1987
10,372
11,21
12,807
13,258
14,2029
15,1302
16,1181
17,2192
18,1356
19,1511
20,880
21,1779
22,705
23,1938
24,1029
25,687
26,944
27,2075
28,1043
29,937
30,1893
31,1621
32,650
33,1295
34,861
35,135
36,262
37,1737
38,381
39,551
40,2098
41,1438
42,2160
43,1740
44,1425
45,2006
46,1846
47,1269
48,1637
49,268
50,1158
51,882
52,409
53,385
54,176
55,1917
56,430
57,1172
58,336
59,1084
60,1423
61,1022
62,341
63,2060
64,2183
65,1180
66,1479
67,14
68,1935
69,1282
70,571
71,684
72,1516
73,1322
74,2013
75,1380
76,1209
77,1586
78,560
79,394
80,1585
81,870
82,1559
83,1452
84,1140
85,1945
86,1312
87,573
88,2021
89,1126
90,578
91,1423
92,1457
93,1273
94,862
95,221
96,92
97,1008
98,1323
99,328
100,1967
101,1101
102,32
103,680
104,708
105,1304
106,1533
107,2212
108,1490
109,1966
110,1049
111,1867
112,1052
113,270
114,293
115,807
116,1357
117,1118
118,1022
119,1823
120,406
121,1961
122,1251
123,477
124,796
125,373
126,1806
127,525
128,2151
129,955
130,1635
131,1963
132,215
133,1661
134,1171
135,1247
136,353
137,1237
138,665
139,413
140,1086
141,1400
142,1599
143,69
144,1982
145,1553
146,1312
147,1940
148,327
149,914
150,476
151,2166
152,958
153,1200
154,862
155,874
156,134
157,255
158,1143
159,874
160,2053
161,1281
162,2032
163,538
164,1657
165,1453
166,1973
167,2198
168,2213
169,1072
170,1121
171,723
172,976
173,1402
174,1802
175,239
176,1063
177,385
178,143
179,1479
180,997
181,1542
182,748
183,1020
184,2067
185,78
186,1626
187,1753
188,2111
189,1112
190,1883
191,1290
192,1944
193,1423
194,724
195,1182
196,545
197,2011
198,96
199,1437
