,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,1.0,0.001,0.081,0.0,0.001,0.233,0.002,0.003,0.023,0.0,0.001,0.479,0.26,0.0,0.0,0.0,0.001,0.507,0.034,0.206,0.05,0.0,0.404,0.191,0.0,0.0,0.094,0.0,0.008,0.0,0.203,0.002,0.325,0.014,0.001,0.0,0.064,0.0,0.0,0.575,0.009,0.0,0.013,0.0,0.0,0.005,0.006,0.095,0.016,0.022,0.002,0.0,0.025,0.323,0.0,0.018,0.0,0.015,0.0,0.021,0.0,0.0,0.003,0.299,0.0,0.51,0.245,0.263,0.0,0.656,0.001,0.0,0.417,0.007,0.368,0.102,0.0,0.015,0.0,0.144,0.393,0.008,0.279,0.143,0.001,0.228,0.001,0.001,0.0,0.0,0.0,0.001,0.006,0.0,0.006,0.011,0.0,0.0,0.0,0.0,0.071,0.028,0.0,0.001,0.002,0.359,0.196,0.134,0.054,0.0,0.0,0.227,0.0,0.0,0.13,0.4,0.005,0.051,0.0,0.144,0.317,0.001,0.002,0.0,0.0,0.173,0.0,0.209,0.0,0.0,0.001,0.0,0.0,0.0,0.109,0.167,0.0,0.0,0.0,0.0,0.032,0.004,0.3,0.0,0.008,0.0,0.0,0.001,0.0,0.0,0.011,0.046,0.0,0.447,0.0,0.004,0.182,0.002,0.019,0.225,0.04,0.0,0.0,0.15,0.0,0.349,0.158,0.129,0.009,0.318,0.0,0.0,0.0,0.19,0.519,0.0,0.007,0.02,0.429,0.0,0.0,0.003,0.0,0.131,0.412,0.099,0.001,0.003,0.0,0.045,0.0,0.243,0.0,0.156,0.219,0.0,0.001,0.001,0.002,0.0
1,0.001,1.0,0.02,0.007,0.005,0.014,0.145,0.0,0.002,0.583,0.626,0.011,0.0,0.479,0.202,0.61,0.287,0.0,0.0,0.019,0.0,0.577,0.0,0.015,0.532,0.536,0.033,0.436,0.18,0.378,0.0,0.002,0.0,0.001,0.162,0.012,0.031,0.632,0.566,0.006,0.258,0.192,0.005,0.871,0.573,0.096,0.0,0.062,0.0,0.154,0.344,0.567,0.0,0.0,0.0,0.043,0.268,0.056,0.353,0.0,0.246,0.642,0.088,0.032,0.478,0.001,0.005,0.0,0.458,0.0,0.038,0.003,0.0,0.086,0.004,0.0,0.363,0.001,0.44,0.0,0.005,0.252,0.001,0.057,0.137,0.0,0.161,0.563,0.089,0.21,0.001,0.0,0.0,0.191,0.055,0.07,0.091,0.568,0.0,0.425,0.045,0.002,0.0,0.0,0.0,0.0,0.003,0.045,0.05,0.732,0.301,0.0,0.325,0.2,0.0,0.001,0.027,0.038,0.267,0.026,0.001,0.568,0.0,0.551,0.839,0.029,0.508,0.0,0.043,0.509,0.003,0.386,0.003,0.0,0.045,0.039,0.611,0.353,0.269,0.34,0.0,0.109,0.0,0.405,0.002,0.675,0.299,0.001,0.191,0.151,0.0,0.0,0.162,0.007,0.207,0.352,0.0,0.485,0.027,0.012,0.0,0.247,0.442,0.047,0.372,0.0,0.003,0.021,0.0,0.004,0.46,0.267,0.424,0.046,0.003,0.297,0.001,0.001,0.004,0.326,0.628,0.003,0.0,0.0,0.0,0.072,0.372,0.0,0.366,0.0,0.523,0.006,0.318,0.001,0.008,0.003,0.327,0.007,0.389,0.0
2,0.081,0.02,1.0,0.0,0.0,0.649,0.041,0.0,0.008,0.006,0.013,0.583,0.091,0.0,0.0,0.001,0.006,0.255,0.0,0.814,0.0,0.018,0.039,0.639,0.0,0.0,0.699,0.0,0.001,0.0,0.106,0.023,0.039,0.038,0.101,0.0,0.91,0.0,0.0,0.285,0.027,0.001,0.0,0.031,0.002,0.029,0.014,0.539,0.0,0.098,0.006,0.005,0.001,0.04,0.004,0.299,0.0,0.07,0.022,0.021,0.002,0.003,0.015,0.642,0.0,0.262,0.351,0.015,0.0,0.13,0.0,0.014,0.068,0.036,0.51,0.009,0.018,0.0,0.0,0.0,0.349,0.034,0.044,0.501,0.112,0.001,0.041,0.007,0.054,0.0,0.015,0.003,0.018,0.001,0.004,0.23,0.002,0.031,0.007,0.0,0.529,0.026,0.001,0.02,0.0,0.07,0.284,0.572,0.647,0.02,0.0,0.426,0.03,0.006,0.0,0.088,0.065,0.333,0.001,0.906,0.235,0.001,0.002,0.002,0.004,0.675,0.0,0.015,0.0,0.031,0.0,0.0,0.003,0.0,0.578,0.745,0.002,0.0,0.001,0.0,0.0,0.005,0.087,0.001,0.001,0.01,0.0,0.007,0.002,0.008,0.003,0.002,0.0,0.45,0.009,0.008,0.019,0.008,0.312,0.624,0.0,0.001,0.0,0.491,0.0,0.228,0.013,0.876,0.008,0.082,0.0,0.0,0.0,0.738,0.45,0.001,0.015,0.005,0.392,0.0,0.001,0.001,0.003,0.014,0.158,0.387,0.006,0.01,0.001,0.008,0.0,0.367,0.0,0.039,0.02,0.016,0.012,0.029,0.01,0.0
3,0.0,0.007,0.0,1.0,0.031,0.006,0.0,0.002,0.154,0.003,0.004,0.006,0.0,0.004,0.013,0.012,0.0,0.0,0.23,0.017,0.004,0.013,0.0,0.008,0.0,0.003,0.013,0.008,0.021,0.002,0.003,0.241,0.0,0.252,0.0,0.001,0.007,0.007,0.005,0.0,0.001,0.015,0.023,0.004,0.001,0.001,0.165,0.0,0.0,0.002,0.0,0.007,0.154,0.0,0.195,0.017,0.002,0.0,0.0,0.388,0.0,0.002,0.005,0.005,0.01,0.0,0.002,0.0,0.004,0.0,0.0,0.214,0.0,0.0,0.0,0.0,0.01,0.027,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.007,0.003,0.0,0.003,0.001,0.183,0.03,0.422,0.007,0.002,0.011,0.03,0.005,0.149,0.014,0.019,0.286,0.278,0.204,0.075,0.0,0.0,0.009,0.005,0.003,0.007,0.0,0.029,0.003,0.001,0.0,0.009,0.006,0.006,0.003,0.001,0.001,0.077,0.003,0.003,0.002,0.002,0.003,0.0,0.011,0.66,0.001,0.193,0.0,0.005,0.002,0.0,0.021,0.002,0.004,0.0,0.0,0.001,0.001,0.257,0.001,0.001,0.153,0.002,0.0,0.002,0.0,0.0,0.001,0.001,0.003,0.002,0.008,0.0,0.001,0.0,0.001,0.008,0.001,0.013,0.002,0.0,0.002,0.284,0.0,0.015,0.011,0.001,0.0,0.003,0.003,0.109,0.308,0.0,0.0,0.001,0.279,0.272,0.0,0.001,0.0,0.0,0.232,0.007,0.249,0.0,0.002,0.017,0.0,0.0,0.003,0.0,0.228,0.005,0.018
4,0.001,0.005,0.0,0.031,1.0,0.0,0.02,0.002,0.057,0.004,0.009,0.0,0.0,0.002,0.005,0.0,0.0,0.0,0.003,0.0,0.007,0.005,0.001,0.006,0.002,0.004,0.001,0.003,0.007,0.006,0.0,0.008,0.0,0.036,0.0,0.001,0.0,0.0,0.009,0.0,0.0,0.01,0.117,0.015,0.01,0.01,0.04,0.0,0.216,0.002,0.003,0.002,0.007,0.001,0.077,0.018,0.001,0.01,0.012,0.018,0.012,0.03,0.0,0.002,0.004,0.0,0.0,0.0,0.004,0.0,0.0,0.042,0.0,0.01,0.006,0.0,0.001,0.086,0.011,0.078,0.0,0.0,0.0,0.001,0.001,0.0,0.012,0.0,0.008,0.003,0.113,0.043,0.021,0.0,0.0,0.003,0.0,0.003,0.044,0.0,0.0,0.03,0.034,0.067,0.0,0.0,0.0,0.001,0.0,0.014,0.006,0.0,0.0,0.008,0.0,0.0,0.014,0.005,0.008,0.006,0.0,0.006,0.153,0.001,0.006,0.007,0.005,0.0,0.001,0.006,0.0,0.006,0.229,0.001,0.0,0.003,0.005,0.0,0.001,0.003,0.0,0.0,0.0,0.0,0.043,0.002,0.0,0.046,0.007,0.003,0.592,0.104,0.001,0.0,0.018,0.0,0.0,0.004,0.001,0.015,0.002,0.006,0.003,0.0,0.004,0.0,0.001,0.002,0.03,0.0,0.0,0.001,0.005,0.006,0.0,0.002,0.034,0.03,0.002,0.003,0.009,0.055,0.028,0.0,0.0,0.0,0.001,0.095,0.0,0.001,0.004,0.0,0.002,0.0,0.0,0.167,0.011,0.048,0.004,0.017
5,0.233,0.014,0.649,0.006,0.0,1.0,0.038,0.0,0.004,0.001,0.025,0.545,0.404,0.001,0.0,0.007,0.014,0.7,0.01,0.787,0.0,0.026,0.206,0.846,0.003,0.0,0.542,0.0,0.027,0.0,0.351,0.088,0.254,0.07,0.059,0.0,0.499,0.0,0.0,0.476,0.043,0.0,0.0,0.025,0.0,0.007,0.034,0.59,0.001,0.061,0.035,0.0,0.007,0.259,0.006,0.143,0.0,0.062,0.002,0.069,0.0,0.0,0.0,0.606,0.0,0.666,0.736,0.142,0.001,0.43,0.003,0.016,0.305,0.028,0.749,0.072,0.001,0.001,0.0,0.0,0.504,0.079,0.241,0.644,0.057,0.001,0.005,0.0,0.009,0.001,0.036,0.0,0.038,0.0,0.004,0.078,0.0,0.021,0.006,0.0,0.376,0.044,0.01,0.037,0.001,0.302,0.63,0.671,0.403,0.037,0.0,0.739,0.027,0.003,0.0,0.344,0.01,0.151,0.0,0.696,0.499,0.001,0.02,0.003,0.001,0.75,0.001,0.042,0.0,0.035,0.001,0.0,0.007,0.0,0.389,0.743,0.0,0.0,0.001,0.001,0.009,0.038,0.402,0.012,0.005,0.003,0.001,0.009,0.003,0.002,0.002,0.0,0.005,0.646,0.0,0.048,0.098,0.03,0.075,0.719,0.008,0.002,0.0,0.633,0.0,0.613,0.122,0.795,0.011,0.37,0.0,0.002,0.001,0.721,0.75,0.0,0.016,0.014,0.846,0.007,0.0,0.0,0.012,0.1,0.46,0.19,0.011,0.035,0.002,0.026,0.005,0.534,0.0,0.187,0.152,0.036,0.0,0.014,0.006,0.0
6,0.002,0.145,0.041,0.0,0.02,0.038,1.0,0.001,0.0,0.055,0.146,0.004,0.001,0.05,0.026,0.079,0.153,0.007,0.0,0.051,0.0,0.015,0.0,0.084,0.258,0.132,0.036,0.054,0.0,0.155,0.018,0.0,0.0,0.001,0.445,0.242,0.03,0.095,0.145,0.0,0.0,0.036,0.001,0.245,0.36,0.67,0.008,0.004,0.0,0.0,0.335,0.091,0.0,0.0,0.013,0.0,0.099,0.599,0.325,0.0,0.395,0.421,0.0,0.002,0.102,0.001,0.078,0.0,0.129,0.002,0.186,0.017,0.003,0.591,0.02,0.003,0.038,0.0,0.467,0.0,0.0,0.0,0.0,0.003,0.473,0.0,0.0,0.089,0.0,0.371,0.015,0.004,0.002,0.0,0.014,0.012,0.001,0.054,0.012,0.053,0.011,0.001,0.0,0.002,0.0,0.0,0.061,0.024,0.02,0.165,0.067,0.004,0.006,0.413,0.005,0.004,0.002,0.0,0.156,0.041,0.002,0.455,0.087,0.099,0.286,0.071,0.209,0.002,0.38,0.05,0.0,0.243,0.074,0.0,0.004,0.059,0.081,0.027,0.005,0.009,0.002,0.025,0.001,0.218,0.0,0.13,0.147,0.01,0.418,0.496,0.021,0.0,0.404,0.018,0.735,0.001,0.0,0.012,0.0,0.075,0.001,0.3,0.041,0.0,0.116,0.004,0.0,0.058,0.0,0.008,0.096,0.063,0.308,0.012,0.009,0.125,0.001,0.001,0.014,0.294,0.344,0.003,0.004,0.003,0.0,0.0,0.197,0.01,0.024,0.0,0.213,0.001,0.015,0.0,0.001,0.079,0.5,0.021,0.007,0.0
7,0.003,0.0,0.0,0.002,0.002,0.0,0.001,1.0,0.007,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.013,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.007,0.0,0.001,0.0,0.0,0.0,0.027,0.001,0.0,0.0,0.0,0.017,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.017,0.0,0.116,0.0,0.0,0.002,0.0,0.0,0.062,0.004,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.001,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.573,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.001,0.0,0.0,0.005,0.036,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.003,0.003,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
8,0.023,0.002,0.008,0.154,0.057,0.004,0.0,0.007,1.0,0.005,0.004,0.002,0.0,0.01,0.088,0.0,0.0,0.001,0.014,0.003,0.0,0.001,0.0,0.001,0.001,0.015,0.031,0.02,0.01,0.006,0.0,0.066,0.001,0.164,0.003,0.0,0.022,0.004,0.011,0.0,0.0,0.07,0.203,0.0,0.0,0.0,0.052,0.006,0.0,0.037,0.0,0.001,0.017,0.0,0.027,0.044,0.006,0.0,0.005,0.089,0.001,0.002,0.01,0.003,0.027,0.0,0.0,0.001,0.032,0.001,0.0,0.014,0.004,0.0,0.0,0.0,0.003,0.058,0.005,0.0,0.001,0.0,0.003,0.003,0.001,0.0,0.073,0.024,0.061,0.0,0.122,0.0,0.216,0.021,0.005,0.047,0.004,0.003,0.017,0.011,0.051,0.094,0.379,0.119,0.0,0.001,0.0,0.016,0.031,0.003,0.036,0.0,0.0,0.007,0.0,0.0,0.095,0.048,0.01,0.014,0.0,0.0,0.011,0.001,0.0,0.003,0.002,0.0,0.0,0.003,0.002,0.005,0.124,0.006,0.026,0.003,0.004,0.003,0.007,0.012,0.0,0.002,0.0,0.001,0.046,0.013,0.002,0.011,0.009,0.0,0.007,0.013,0.0,0.0,0.0,0.0,0.001,0.005,0.021,0.0,0.003,0.001,0.023,0.002,0.049,0.0,0.005,0.003,0.161,0.0,0.012,0.029,0.003,0.007,0.0,0.031,0.047,0.036,0.0,0.0,0.0,0.33,0.101,0.0,0.0,0.034,0.001,0.157,0.0,0.005,0.004,0.0,0.038,0.001,0.009,0.0,0.001,0.166,0.006,0.0
9,0.0,0.583,0.006,0.003,0.004,0.001,0.055,0.0,0.005,1.0,0.472,0.002,0.0,0.776,0.361,0.78,0.468,0.0,0.0,0.005,0.0,0.604,0.0,0.001,0.365,0.724,0.006,0.864,0.244,0.381,0.0,0.002,0.0,0.0,0.146,0.011,0.007,0.903,0.746,0.003,0.386,0.346,0.0,0.522,0.246,0.096,0.0,0.011,0.0,0.043,0.328,0.772,0.0,0.0,0.0,0.013,0.685,0.037,0.228,0.0,0.268,0.364,0.005,0.006,0.845,0.0,0.002,0.0,0.736,0.0,0.054,0.001,0.0,0.093,0.001,0.001,0.523,0.0,0.357,0.0,0.0,0.316,0.0,0.015,0.15,0.0,0.104,0.507,0.064,0.275,0.002,0.0,0.001,0.428,0.143,0.017,0.216,0.675,0.0,0.76,0.018,0.004,0.002,0.0,0.0,0.0,0.0,0.006,0.012,0.444,0.593,0.0,0.306,0.349,0.0,0.001,0.008,0.026,0.527,0.006,0.0,0.353,0.0,0.815,0.602,0.002,0.596,0.0,0.024,0.36,0.008,0.551,0.005,0.0,0.019,0.003,0.908,0.66,0.473,0.728,0.0,0.141,0.001,0.433,0.0,0.631,0.586,0.0,0.345,0.17,0.0,0.0,0.195,0.0,0.168,0.322,0.0,0.44,0.028,0.003,0.0,0.416,0.822,0.022,0.633,0.0,0.0,0.005,0.001,0.0,0.829,0.629,0.401,0.008,0.0,0.606,0.001,0.0,0.0,0.436,0.33,0.0,0.0,0.0,0.0,0.03,0.484,0.0,0.641,0.0,0.592,0.001,0.715,0.0,0.0,0.0,0.293,0.0,0.703,0.0
