,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,0.819,1.0,0.804,0.217,0.515,0.562,0.166,1.0,0.896,0.91,0.021,0.249,0.104,0.191,0.696,0.493,0.978,0.971,0.316,0.786,0.603,0.999,0.761,0.45,0.129,0.995,0.223,0.058,0.946,0.211,0.008,0.955,0.524,0.954,0.904,0.046,0.994,0.999,0.055,0.016,0.94,0.365,0.995,0.013,0.887,0.711,0.987,0.975,0.704
1,0.819,1.0,0.856,0.999,0.587,0.866,0.904,0.474,0.791,0.994,0.985,0.153,0.62,0.384,0.477,0.973,0.862,0.945,0.939,0.738,0.995,0.931,0.849,0.987,0.823,0.447,0.76,0.533,0.24,0.959,0.57,0.118,0.959,0.894,0.65,0.583,0.229,0.783,0.869,0.26,0.169,0.635,0.783,0.894,0.142,0.534,0.97,0.901,0.698,0.97
2,1.0,0.856,1.0,0.827,0.214,0.531,0.6,0.177,0.998,0.909,0.906,0.021,0.294,0.122,0.179,0.741,0.499,0.968,0.981,0.336,0.793,0.606,1.0,0.729,0.473,0.147,0.989,0.227,0.071,0.969,0.217,0.017,0.967,0.537,0.921,0.879,0.044,0.986,0.999,0.052,0.021,0.924,0.415,0.996,0.019,0.855,0.667,0.991,0.971,0.694
3,0.804,0.999,0.827,1.0,0.617,0.901,0.929,0.523,0.77,0.986,0.976,0.214,0.709,0.426,0.565,0.982,0.872,0.918,0.906,0.751,1.0,0.955,0.834,0.993,0.859,0.479,0.756,0.612,0.275,0.945,0.625,0.152,0.931,0.907,0.624,0.517,0.246,0.75,0.845,0.308,0.158,0.569,0.818,0.842,0.18,0.464,0.987,0.889,0.651,0.982
4,0.217,0.587,0.214,0.617,1.0,0.879,0.846,0.987,0.191,0.501,0.463,0.728,0.998,0.967,0.999,0.744,0.888,0.379,0.352,0.976,0.62,0.798,0.264,0.685,0.915,0.971,0.17,0.995,0.851,0.4,1.0,0.681,0.401,0.869,0.101,0.059,0.836,0.184,0.295,0.851,0.686,0.092,0.957,0.306,0.691,0.06,0.737,0.299,0.128,0.781
5,0.515,0.866,0.531,0.901,0.879,1.0,0.999,0.827,0.492,0.803,0.809,0.452,0.926,0.749,0.829,0.964,0.999,0.685,0.676,0.959,0.92,0.989,0.584,0.95,0.998,0.768,0.449,0.808,0.537,0.702,0.877,0.34,0.695,0.999,0.31,0.273,0.546,0.466,0.592,0.576,0.403,0.299,0.985,0.577,0.397,0.23,0.967,0.657,0.412,0.982
6,0.562,0.904,0.6,0.929,0.846,0.999,1.0,0.765,0.558,0.845,0.831,0.39,0.874,0.655,0.792,0.974,0.994,0.729,0.716,0.925,0.942,0.998,0.588,0.961,0.988,0.724,0.464,0.836,0.527,0.751,0.839,0.321,0.738,1.0,0.347,0.284,0.464,0.529,0.632,0.499,0.338,0.361,0.974,0.655,0.344,0.265,0.982,0.684,0.419,0.991
7,0.166,0.474,0.177,0.523,0.987,0.827,0.765,1.0,0.126,0.38,0.419,0.851,0.965,0.994,0.998,0.603,0.812,0.29,0.286,0.958,0.52,0.737,0.191,0.582,0.846,0.995,0.114,0.994,0.915,0.296,0.988,0.754,0.262,0.784,0.066,0.031,0.89,0.109,0.21,0.936,0.8,0.051,0.911,0.208,0.816,0.032,0.653,0.237,0.087,0.668
8,1.0,0.791,0.998,0.77,0.191,0.492,0.558,0.126,1.0,0.865,0.886,0.02,0.263,0.102,0.167,0.666,0.486,0.96,0.97,0.327,0.761,0.586,0.998,0.732,0.446,0.117,0.998,0.159,0.038,0.949,0.192,0.007,0.948,0.532,0.959,0.921,0.033,0.996,0.993,0.053,0.006,0.933,0.342,0.984,0.015,0.888,0.649,0.973,0.981,0.664
9,0.896,0.994,0.909,0.986,0.501,0.803,0.845,0.38,0.865,1.0,1.0,0.107,0.545,0.315,0.436,0.946,0.81,0.967,0.977,0.592,0.971,0.889,0.931,0.955,0.776,0.383,0.85,0.461,0.189,0.986,0.478,0.075,0.982,0.818,0.744,0.64,0.156,0.831,0.924,0.202,0.086,0.721,0.697,0.923,0.112,0.596,0.929,0.959,0.786,0.912
