,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.751,0.49,0.823,0.425,0.25,0.356,0.653,0.517,0.129,0.222,0.082,0.783,0.176,1.0,0.861,0.487,0.343,0.308,0.677,0.255,0.736,0.832,0.837,0.191,0.999,0.169,0.713,0.436,0.48
1,0.751,1.0,0.134,0.994,0.114,0.036,0.079,0.208,0.937,0.521,0.624,0.349,0.348,0.021,0.782,0.979,0.912,0.058,0.804,0.255,0.725,0.299,0.986,0.4,0.58,0.707,0.57,1.0,0.894,0.925
2,0.49,0.134,1.0,0.167,0.999,0.905,0.976,0.974,0.043,0.001,0.003,0.0,0.885,0.815,0.488,0.233,0.033,0.964,0.011,0.965,0.013,0.914,0.196,0.834,0.007,0.583,0.004,0.1,0.041,0.041
3,0.823,0.994,0.167,1.0,0.134,0.051,0.096,0.279,0.897,0.4,0.54,0.294,0.431,0.031,0.865,0.994,0.855,0.111,0.754,0.293,0.636,0.361,0.999,0.48,0.458,0.796,0.5,0.988,0.815,0.881
4,0.425,0.114,0.999,0.134,1.0,0.938,0.991,0.944,0.036,0.001,0.002,0.0,0.818,0.878,0.414,0.162,0.03,0.977,0.013,0.947,0.005,0.869,0.157,0.773,0.003,0.511,0.002,0.094,0.027,0.044
5,0.25,0.036,0.905,0.051,0.938,1.0,0.976,0.8,0.013,0.0,0.0,0.0,0.634,0.981,0.236,0.072,0.005,0.985,0.006,0.782,0.002,0.706,0.06,0.572,0.001,0.258,0.0,0.036,0.007,0.007
6,0.356,0.079,0.976,0.096,0.991,0.976,1.0,0.89,0.029,0.0,0.003,0.0,0.769,0.917,0.35,0.143,0.026,1.0,0.008,0.886,0.003,0.831,0.123,0.722,0.0,0.424,0.0,0.073,0.012,0.022
7,0.653,0.208,0.974,0.279,0.944,0.8,0.89,1.0,0.113,0.008,0.013,0.002,0.956,0.691,0.604,0.33,0.076,0.878,0.042,0.998,0.022,0.988,0.285,0.935,0.011,0.672,0.005,0.185,0.075,0.085
8,0.517,0.937,0.043,0.897,0.036,0.013,0.029,0.113,1.0,0.682,0.825,0.537,0.189,0.001,0.545,0.839,0.995,0.029,0.962,0.11,0.898,0.144,0.846,0.225,0.751,0.487,0.808,0.958,0.993,0.999
9,0.129,0.521,0.001,0.4,0.001,0.0,0.0,0.008,0.682,1.0,0.973,0.973,0.018,0.0,0.171,0.376,0.778,0.0,0.88,0.011,0.933,0.017,0.413,0.022,0.998,0.1,0.988,0.539,0.802,0.763
10,0.222,0.624,0.003,0.54,0.002,0.0,0.003,0.013,0.825,0.973,1.0,0.91,0.027,0.0,0.242,0.499,0.907,0.0,0.961,0.024,0.994,0.029,0.528,0.058,0.985,0.181,0.992,0.645,0.898,0.852
11,0.082,0.349,0.0,0.294,0.0,0.0,0.0,0.002,0.537,0.973,0.91,1.0,0.01,0.0,0.098,0.254,0.642,0.0,0.772,0.003,0.846,0.007,0.279,0.011,0.95,0.076,0.941,0.4,0.637,0.585
12,0.783,0.348,0.885,0.431,0.818,0.634,0.769,0.956,0.189,0.018,0.027,0.01,1.0,0.548,0.746,0.474,0.141,0.747,0.089,0.977,0.054,0.994,0.441,0.998,0.018,0.827,0.023,0.341,0.138,0.151
13,0.176,0.021,0.815,0.031,0.878,0.981,0.917,0.691,0.001,0.0,0.0,0.0,0.548,1.0,0.164,0.032,0.004,0.945,0.003,0.675,0.0,0.574,0.043,0.462,0.0,0.202,0.0,0.017,0.001,0.003
14,1.0,0.782,0.488,0.865,0.414,0.236,0.35,0.604,0.545,0.171,0.242,0.098,0.746,0.164,1.0,0.87,0.495,0.318,0.344,0.634,0.292,0.71,0.865,0.834,0.189,0.996,0.183,0.746,0.455,0.527
15,0.861,0.979,0.233,0.994,0.162,0.072,0.143,0.33,0.839,0.376,0.499,0.254,0.474,0.032,0.87,1.0,0.791,0.112,0.66,0.335,0.559,0.427,1.0,0.507,0.42,0.853,0.45,0.959,0.789,0.838
16,0.487,0.912,0.033,0.855,0.03,0.005,0.026,0.076,0.995,0.778,0.907,0.642,0.141,0.004,0.495,0.791,1.0,0.009,0.972,0.088,0.946,0.104,0.822,0.175,0.807,0.426,0.844,0.921,0.999,0.998
