,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,0.83,0.001,0.0,0.667,0.891,0.989,0.003,0.426,0.245,0.589,0.005,0.0,0.009,0.04,0.216,0.529,0.0,0.0,0.14,0.0,0.0,0.071,0.455,0.984,0.727,0.952,0.0,0.0,0.02,0.0,0.819,0.712,0.352,0.188,0.389,0.946,0.065,0.0,0.0,0.0,0.0,0.0,0.356,0.805,0.495,0.0,0.0,0.017,0.006
1,0.83,1.0,0.0,0.006,0.955,0.996,0.717,0.018,0.144,0.599,0.919,0.001,0.0,0.057,0.171,0.53,0.892,0.0,0.004,0.022,0.001,0.0,0.234,0.165,0.908,0.355,0.65,0.0,0.0,0.108,0.0,0.485,0.98,0.108,0.038,0.782,0.962,0.01,0.0,0.0,0.001,0.0,0.0,0.716,0.998,0.833,0.003,0.0,0.001,0.0
2,0.001,0.0,1.0,0.002,0.0,0.0,0.0,0.0,0.127,0.0,0.0,0.951,0.599,0.0,0.0,0.0,0.0,0.141,0.005,0.377,0.009,0.073,0.0,0.093,0.0,0.026,0.004,0.096,0.258,0.0,0.915,0.016,0.0,0.139,0.31,0.0,0.0,0.527,0.502,0.104,0.023,0.714,0.977,0.0,0.0,0.0,0.008,0.2,0.836,0.921
3,0.0,0.006,0.002,1.0,0.006,0.004,0.001,0.954,0.0,0.145,0.031,0.0,0.09,0.855,0.531,0.172,0.038,0.487,0.991,0.0,0.93,0.666,0.411,0.0,0.0,0.0,0.0,0.611,0.296,0.641,0.019,0.0,0.012,0.0,0.0,0.067,0.005,0.0,0.118,0.497,0.866,0.051,0.009,0.091,0.012,0.051,0.979,0.416,0.0,0.001
4,0.667,0.955,0.0,0.006,1.0,0.921,0.521,0.05,0.078,0.801,0.998,0.0,0.0,0.128,0.311,0.749,0.973,0.0,0.018,0.01,0.003,0.001,0.411,0.109,0.785,0.218,0.495,0.0,0.0,0.235,0.0,0.317,0.995,0.044,0.017,0.941,0.797,0.002,0.0,0.0,0.001,0.0,0.0,0.857,0.977,0.959,0.008,0.0,0.0,0.0
5,0.891,0.996,0.0,0.004,0.921,1.0,0.78,0.021,0.166,0.53,0.882,0.0,0.0,0.048,0.149,0.483,0.859,0.0,0.003,0.042,0.0,0.0,0.211,0.236,0.952,0.42,0.718,0.001,0.0,0.108,0.0,0.553,0.957,0.149,0.062,0.731,0.979,0.017,0.0,0.0,0.001,0.0,0.0,0.659,0.981,0.771,0.002,0.0,0.002,0.001
6,0.989,0.717,0.0,0.001,0.521,0.78,1.0,0.001,0.549,0.189,0.488,0.009,0.0,0.005,0.029,0.141,0.424,0.0,0.0,0.205,0.0,0.0,0.038,0.591,0.918,0.823,0.992,0.0,0.0,0.007,0.0,0.923,0.593,0.46,0.274,0.302,0.873,0.1,0.0,0.0,0.0,0.0,0.002,0.262,0.659,0.35,0.0,0.0,0.022,0.015
7,0.003,0.018,0.0,0.954,0.05,0.021,0.001,1.0,0.0,0.239,0.087,0.0,0.053,0.969,0.711,0.301,0.091,0.291,0.946,0.0,0.764,0.479,0.579,0.0,0.003,0.0,0.0,0.415,0.179,0.825,0.005,0.0,0.045,0.0,0.0,0.125,0.005,0.0,0.059,0.339,0.704,0.018,0.0,0.175,0.027,0.125,0.897,0.274,0.0,0.001
8,0.426,0.144,0.127,0.0,0.078,0.166,0.549,0.0,1.0,0.006,0.059,0.211,0.004,0.0,0.0,0.006,0.045,0.0,0.0,0.821,0.0,0.0,0.0,0.995,0.301,0.88,0.637,0.0,0.0,0.0,0.037,0.775,0.087,0.992,0.866,0.02,0.248,0.664,0.004,0.0,0.0,0.006,0.06,0.009,0.112,0.022,0.0,0.0,0.351,0.246
9,0.245,0.599,0.0,0.145,0.801,0.53,0.189,0.239,0.006,1.0,0.835,0.0,0.0,0.425,0.723,0.994,0.887,0.003,0.108,0.0,0.052,0.012,0.838,0.013,0.339,0.044,0.152,0.004,0.0,0.604,0.0,0.075,0.722,0.001,0.001,0.946,0.404,0.0,0.0,0.004,0.048,0.0,0.0,0.973,0.648,0.914,0.111,0.0,0.0,0.0
10,0.589,0.919,0.0,0.031,0.998,0.882,0.488,0.087,0.059,0.835,1.0,0.0,0.0,0.12,0.341,0.786,0.998,0.001,0.02,0.006,0.003,0.0,0.484,0.06,0.697,0.172,0.418,0.001,0.0,0.257,0.0,0.271,0.982,0.043,0.015,0.957,0.778,0.001,0.0,0.0,0.004,0.0,0.0,0.94,0.953,0.979,0.016,0.0,0.0,0.0
11,0.005,0.001,0.951,0.0,0.0,0.0,0.009,0.0,0.211,0.0,0.0,1.0,0.413,0.0,0.0,0.0,0.0,0.067,0.0,0.519,0.008,0.023,0.0,0.161,0.001,0.078,0.015,0.034,0.142,0.0,0.786,0.036,0.0,0.259,0.5,0.0,0.0,0.734,0.328,0.053,0.011,0.552,0.878,0.0,0.0,0.0,0.0,0.09,0.956,0.997
12,0.0,0.0,0.599,0.09,0.0,0.0,0.0,0.053,0.004,0.0,0.0,0.413,1.0,0.014,0.002,0.0,0.0,0.684,0.128,0.036,0.2,0.505,0.0,0.002,0.0,0.0,0.0,0.554,0.835,0.005,0.819,0.0,0.0,0.009,0.029,0.0,0.0,0.093,0.995,0.582,0.273,0.99,0.715,0.0,0.0,0.0,0.142,0.724,0.235,0.366
13,0.009,0.057,0.0,0.855,0.128,0.048,0.005,0.969,0.0,0.425,0.12,0.0,0.014,1.0,0.88,0.48,0.167,0.189,0.768,0.0,0.597,0.323,0.79,0.0,0.013,0.0,0.0,0.25,0.084,0.957,0.0,0.0,0.088,0.0,0.0,0.246,0.021,0.0,0.024,0.208,0.558,0.006,0.0,0.296,0.066,0.208,0.726,0.145,0.0,0.0
14,0.04,0.171,0.0,0.531,0.311,0.149,0.029,0.711,0.0,0.723,0.341,0.0,0.002,0.88,1.0,0.786,0.407,0.045,0.465,0.0,0.279,0.109,0.982,0.0,0.062,0.002,0.021,0.085,0.017,0.984,0.0,0.004,0.27,0.0,0.0,0.525,0.076,0.0,0.002,0.079,0.257,0.0,0.0,0.583,0.213,0.491,0.436,0.04,0.0,0.0
15,0.216,0.53,0.0,0.172,0.749,0.483,0.141,0.301,0.006,0.994,0.786,0.0,0.0,0.48,0.786,1.0,0.834,0.003,0.152,0.0,0.069,0.013,0.887,0.004,0.315,0.029,0.127,0.013,0.002,0.673,0.0,0.053,0.689,0.003,0.0,0.922,0.348,0.0,0.0,0.01,0.051,0.0,0.0,0.957,0.612,0.872,0.103,0.002,0.0,0.0
16,0.529,0.892,0.0,0.038,0.973,0.859,0.424,0.091,0.045,0.887,0.998,0.0,0.0,0.167,0.407,0.834,1.0,0.0,0.036,0.007,0.011,0.0,0.537,0.055,0.684,0.148,0.352,0.001,0.0,0.268,0.0,0.219,0.966,0.03,0.004,0.984,0.741,0.002,0.0,0.0,0.006,0.0,0.0,0.962,0.915,0.997,0.026,0.0,0.0,0.0
