,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.122,0.199,0.0,0.0,0.499,0.0,0.274,0.338,0.032,0.0,0.0,0.997,0.0,0.001,0.0,0.829,0.037,0.001,0.603,0.357,0.236,0.982,0.736,0.005,0.555,0.0,0.934,0.0,0.011
1,0.122,1.0,0.001,0.0,0.322,0.001,0.029,0.001,0.001,0.0,0.004,0.361,0.122,0.05,0.59,0.014,0.348,0.928,0.482,0.004,0.816,0.91,0.175,0.008,0.0,0.002,0.115,0.044,0.0,0.0
2,0.199,0.001,1.0,0.034,0.0,0.898,0.0,0.993,0.958,0.702,0.002,0.0,0.182,0.0,0.0,0.0,0.057,0.0,0.0,0.781,0.003,0.0,0.13,0.676,0.35,0.844,0.0,0.43,0.082,0.582
3,0.0,0.0,0.034,1.0,0.066,0.006,0.484,0.024,0.008,0.236,0.77,0.065,0.0,0.358,0.014,0.59,0.0,0.0,0.027,0.004,0.0,0.0,0.0,0.0,0.52,0.002,0.214,0.0,0.984,0.299
4,0.0,0.322,0.0,0.066,1.0,0.0,0.601,0.0,0.0,0.0,0.328,0.998,0.0,0.736,0.892,0.477,0.01,0.55,0.945,0.0,0.105,0.144,0.0,0.0,0.002,0.0,0.871,0.0,0.042,0.0
5,0.499,0.001,0.898,0.006,0.0,1.0,0.0,0.923,0.979,0.425,0.001,0.0,0.406,0.0,0.0,0.0,0.178,0.0,0.0,0.982,0.023,0.008,0.37,0.932,0.148,0.994,0.0,0.719,0.021,0.312
6,0.0,0.029,0.0,0.484,0.601,0.0,1.0,0.0,0.0,0.011,0.889,0.573,0.0,0.983,0.329,0.97,0.0,0.095,0.411,0.0,0.001,0.004,0.0,0.0,0.059,0.0,0.917,0.0,0.352,0.007
7,0.274,0.001,0.993,0.024,0.0,0.923,0.0,1.0,0.981,0.638,0.0,0.0,0.219,0.0,0.0,0.0,0.074,0.0,0.0,0.829,0.004,0.004,0.166,0.729,0.286,0.872,0.0,0.482,0.04,0.555
8,0.338,0.001,0.958,0.008,0.0,0.979,0.0,0.981,1.0,0.554,0.0,0.0,0.317,0.0,0.0,0.0,0.106,0.0,0.0,0.924,0.01,0.001,0.292,0.819,0.233,0.956,0.0,0.602,0.029,0.425
9,0.032,0.0,0.702,0.236,0.0,0.425,0.011,0.638,0.554,1.0,0.035,0.0,0.018,0.001,0.0,0.008,0.004,0.0,0.0,0.307,0.0,0.0,0.011,0.225,0.839,0.38,0.001,0.081,0.304,0.979
10,0.0,0.004,0.002,0.77,0.328,0.001,0.889,0.0,0.0,0.035,1.0,0.26,0.0,0.796,0.105,0.962,0.0,0.019,0.185,0.0,0.0,0.002,0.0,0.0,0.185,0.0,0.575,0.0,0.675,0.065
11,0.0,0.361,0.0,0.065,0.998,0.0,0.573,0.0,0.0,0.0,0.26,1.0,0.002,0.661,0.918,0.441,0.009,0.615,0.974,0.0,0.111,0.183,0.002,0.0,0.001,0.0,0.813,0.0,0.031,0.0
12,0.997,0.122,0.182,0.0,0.0,0.406,0.0,0.219,0.317,0.018,0.0,0.002,1.0,0.0,0.003,0.0,0.884,0.051,0.001,0.576,0.416,0.306,0.993,0.678,0.0,0.476,0.0,0.878,0.0,0.01
13,0.0,0.05,0.0,0.358,0.736,0.0,0.983,0.0,0.0,0.001,0.796,0.661,0.0,1.0,0.389,0.897,0.0,0.145,0.521,0.0,0.006,0.024,0.0,0.0,0.025,0.0,0.946,0.0,0.268,0.002
14,0.001,0.59,0.0,0.014,0.892,0.0,0.329,0.0,0.0,0.0,0.105,0.918,0.003,0.389,1.0,0.207,0.026,0.837,0.985,0.0,0.228,0.358,0.01,0.0,0.001,0.0,0.618,0.0,0.007,0.0
15,0.0,0.014,0.0,0.59,0.477,0.0,0.97,0.0,0.0,0.008,0.962,0.441,0.0,0.897,0.207,1.0,0.0,0.052,0.308,0.0,0.002,0.002,0.0,0.0,0.095,0.0,0.776,0.0,0.495,0.032
16,0.829,0.348,0.057,0.0,0.01,0.178,0.0,0.074,0.106,0.004,0.0,0.009,0.884,0.0,0.026,0.0,1.0,0.178,0.015,0.261,0.718,0.596,0.937,0.386,0.0,0.204,0.0,0.602,0.0,0.001
17,0.037,0.928,0.0,0.0,0.55,0.0,0.095,0.0,0.0,0.0,0.019,0.615,0.051,0.145,0.837,0.052,0.178,1.0,0.72,0.0,0.599,0.721,0.067,0.0,0.0,0.0,0.24,0.013,0.0,0.0
18,0.001,0.482,0.0,0.027,0.945,0.0,0.411,0.0,0.0,0.0,0.185,0.974,0.001,0.521,0.985,0.308,0.015,0.72,1.0,0.0,0.169,0.257,0.004,0.0,0.0,0.0,0.728,0.0,0.011,0.0
19,0.603,0.004,0.781,0.004,0.0,0.982,0.0,0.829,0.924,0.307,0.0,0.0,0.576,0.0,0.0,0.0,0.261,0.0,0.0,1.0,0.032,0.01,0.486,0.972,0.101,0.994,0.0,0.834,0.002,0.206
20,0.357,0.816,0.003,0.0,0.105,0.023,0.001,0.004,0.01,0.0,0.0,0.111,0.416,0.006,0.228,0.002,0.718,0.599,0.169,0.032,1.0,0.985,0.435,0.078,0.0,0.04,0.015,0.179,0.0,0.0
21,0.236,0.91,0.0,0.0,0.144,0.008,0.004,0.004,0.001,0.0,0.002,0.183,0.306,0.024,0.358,0.002,0.596,0.721,0.257,0.01,0.985,1.0,0.337,0.039,0.0,0.012,0.05,0.115,0.0,0.0
22,0.982,0.175,0.13,0.0,0.0,0.37,0.0,0.166,0.292,0.011,0.0,0.002,0.993,0.0,0.01,0.0,0.937,0.067,0.004,0.486,0.435,0.337,1.0,0.599,0.002,0.406,0.0,0.826,0.0,0.006
23,0.736,0.008,0.676,0.0,0.0,0.932,0.0,0.729,0.819,0.225,0.0,0.0,0.678,0.0,0.0,0.0,0.386,0.0,0.0,0.972,0.078,0.039,0.599,1.0,0.054,0.947,0.0,0.934,0.003,0.128
24,0.005,0.0,0.35,0.52,0.002,0.148,0.059,0.286,0.233,0.839,0.185,0.001,0.0,0.025,0.001,0.095,0.0,0.0,0.0,0.101,0.0,0.0,0.002,0.054,1.0,0.118,0.012,0.013,0.648,0.919
25,0.555,0.002,0.844,0.002,0.0,0.994,0.0,0.872,0.956,0.38,0.0,0.0,0.476,0.0,0.0,0.0,0.204,0.0,0.0,0.994,0.04,0.012,0.406,0.947,0.118,1.0,0.0,0.766,0.002,0.265
26,0.0,0.115,0.0,0.214,0.871,0.0,0.917,0.0,0.0,0.001,0.575,0.813,0.0,0.946,0.618,0.776,0.0,0.24,0.728,0.0,0.015,0.05,0.0,0.0,0.012,0.0,1.0,0.0,0.151,0.001
27,0.934,0.044,0.43,0.0,0.0,0.719,0.0,0.482,0.602,0.081,0.0,0.0,0.878,0.0,0.0,0.0,0.602,0.013,0.0,0.834,0.179,0.115,0.826,0.934,0.013,0.766,0.0,1.0,0.0,0.047
28,0.0,0.0,0.082,0.984,0.042,0.021,0.352,0.04,0.029,0.304,0.675,0.031,0.0,0.268,0.007,0.495,0.0,0.0,0.011,0.002,0.0,0.0,0.0,0.003,0.648,0.002,0.151,0.0,1.0,0.415
29,0.011,0.0,0.582,0.299,0.0,0.312,0.007,0.555,0.425,0.979,0.065,0.0,0.01,0.002,0.0,0.032,0.001,0.0,0.0,0.206,0.0,0.0,0.006,0.128,0.919,0.265,0.001,0.047,0.415,1.0
