,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,0.753,0.999,0.697,0.119,0.372,0.421,0.065,1.0,0.855,0.855,0.004,0.137,0.038,0.082,0.591,0.32,0.944,0.96,0.181,0.712,0.486,0.993,0.632,0.301,0.059,0.985,0.067,0.008,0.932,0.101,0.002,0.933,0.389,0.929,0.878,0.008,0.994,0.998,0.014,0.0,0.915,0.241,0.993,0.004,0.829,0.525,0.972,0.971,0.542
1,0.753,1.0,0.761,0.998,0.467,0.842,0.862,0.357,0.752,0.989,0.979,0.079,0.536,0.263,0.383,0.966,0.803,0.912,0.884,0.57,0.992,0.905,0.798,0.982,0.768,0.288,0.667,0.4,0.114,0.939,0.416,0.035,0.93,0.849,0.521,0.43,0.105,0.705,0.814,0.111,0.048,0.494,0.694,0.837,0.061,0.36,0.936,0.874,0.597,0.931
2,0.999,0.761,1.0,0.722,0.124,0.378,0.462,0.065,0.998,0.875,0.878,0.002,0.162,0.042,0.084,0.611,0.376,0.952,0.983,0.216,0.739,0.5,1.0,0.673,0.348,0.052,0.978,0.089,0.015,0.939,0.118,0.0,0.959,0.434,0.911,0.836,0.008,0.986,0.996,0.012,0.002,0.9,0.261,0.992,0.004,0.8,0.6,0.982,0.951,0.551
3,0.697,0.998,0.722,1.0,0.482,0.877,0.886,0.374,0.671,0.978,0.962,0.107,0.592,0.277,0.441,0.983,0.831,0.894,0.851,0.618,1.0,0.924,0.765,0.99,0.812,0.325,0.636,0.46,0.155,0.89,0.498,0.049,0.891,0.888,0.466,0.386,0.136,0.629,0.796,0.159,0.063,0.463,0.728,0.802,0.081,0.336,0.973,0.832,0.554,0.971
4,0.119,0.467,0.124,0.482,1.0,0.815,0.767,0.988,0.096,0.367,0.328,0.656,0.997,0.951,0.995,0.608,0.834,0.208,0.191,0.976,0.521,0.759,0.138,0.568,0.881,0.968,0.065,0.998,0.788,0.244,0.999,0.539,0.253,0.814,0.036,0.021,0.76,0.088,0.137,0.813,0.626,0.027,0.945,0.151,0.615,0.011,0.661,0.183,0.053,0.69
5,0.372,0.842,0.378,0.877,0.815,1.0,0.998,0.687,0.354,0.733,0.688,0.302,0.884,0.619,0.752,0.94,0.999,0.567,0.539,0.915,0.883,0.992,0.406,0.934,0.993,0.674,0.287,0.763,0.424,0.629,0.82,0.221,0.58,1.0,0.206,0.129,0.375,0.297,0.444,0.415,0.235,0.183,0.987,0.487,0.255,0.112,0.955,0.496,0.228,0.969
6,0.421,0.862,0.462,0.886,0.767,0.998,1.0,0.664,0.399,0.783,0.768,0.246,0.84,0.551,0.719,0.969,0.992,0.588,0.6,0.897,0.924,0.998,0.456,0.921,0.985,0.647,0.332,0.735,0.344,0.669,0.748,0.177,0.633,0.999,0.228,0.156,0.342,0.33,0.469,0.379,0.209,0.23,0.956,0.511,0.2,0.15,0.978,0.581,0.301,0.976
7,0.065,0.357,0.065,0.374,0.988,0.687,0.664,1.0,0.053,0.236,0.248,0.781,0.965,0.991,0.995,0.51,0.724,0.136,0.134,0.907,0.388,0.608,0.086,0.485,0.772,0.998,0.034,0.991,0.882,0.165,0.982,0.672,0.168,0.697,0.014,0.008,0.843,0.046,0.088,0.914,0.684,0.01,0.852,0.097,0.739,0.005,0.496,0.114,0.018,0.521
8,1.0,0.752,0.998,0.671,0.096,0.354,0.399,0.053,1.0,0.82,0.829,0.001,0.103,0.035,0.081,0.584,0.315,0.948,0.962,0.166,0.651,0.436,0.995,0.602,0.298,0.044,0.992,0.075,0.007,0.896,0.077,0.0,0.931,0.409,0.933,0.897,0.005,0.997,0.99,0.012,0.0,0.929,0.264,0.98,0.001,0.811,0.558,0.956,0.973,0.538
9,0.855,0.989,0.875,0.978,0.367,0.733,0.783,0.236,0.82,1.0,1.0,0.05,0.455,0.184,0.303,0.903,0.707,0.975,0.953,0.491,0.972,0.834,0.875,0.931,0.649,0.231,0.765,0.3,0.082,0.977,0.324,0.023,0.973,0.758,0.615,0.515,0.073,0.771,0.897,0.099,0.027,0.563,0.593,0.915,0.033,0.461,0.883,0.95,0.711,0.878
10,0.855,0.979,0.878,0.962,0.328,0.688,0.768,0.248,0.829,1.0,1.0,0.035,0.377,0.173,0.274,0.902,0.692,0.979,0.961,0.488,0.957,0.809,0.893,0.922,0.641,0.212,0.784,0.295,0.07,0.984,0.314,0.019,0.978,0.731,0.638,0.529,0.066,0.79,0.901,0.094,0.029,0.614,0.561,0.935,0.028,0.519,0.873,0.95,0.723,0.876
11,0.004,0.079,0.002,0.107,0.656,0.302,0.246,0.781,0.001,0.05,0.035,1.0,0.604,0.857,0.742,0.131,0.332,0.016,0.012,0.503,0.101,0.244,0.003,0.113,0.357,0.821,0.003,0.699,0.985,0.018,0.703,0.99,0.014,0.277,0.0,0.0,0.984,0.001,0.007,0.974,0.991,0.0,0.444,0.006,0.998,0.0,0.177,0.012,0.0,0.161
12,0.137,0.536,0.162,0.592,0.997,0.884,0.84,0.965,0.103,0.455,0.377,0.604,1.0,0.886,0.983,0.664,0.892,0.264,0.224,0.996,0.601,0.798,0.183,0.65,0.93,0.936,0.092,0.976,0.707,0.323,0.984,0.487,0.291,0.86,0.045,0.025,0.711,0.127,0.18,0.746,0.509,0.041,0.966,0.23,0.57,0.014,0.701,0.239,0.077,0.741
13,0.038,0.263,0.042,0.277,0.951,0.619,0.551,0.991,0.035,0.184,0.173,0.857,0.886,1.0,0.965,0.396,0.644,0.099,0.091,0.822,0.317,0.522,0.046,0.35,0.696,0.996,0.019,0.958,0.93,0.116,0.953,0.746,0.103,0.595,0.009,0.003,0.928,0.028,0.062,0.952,0.815,0.011,0.763,0.065,0.819,0.003,0.406,0.079,0.012,0.45
14,0.082,0.383,0.084,0.441,0.995,0.752,0.719,0.995,0.081,0.303,0.274,0.742,0.983,0.965,1.0,0.57,0.761,0.187,0.144,0.949,0.409,0.683,0.094,0.515,0.845,0.985,0.051,1.0,0.849,0.2,0.995,0.618,0.178,0.725,0.022,0.011,0.824,0.055,0.098,0.868,0.629,0.013,0.874,0.122,0.686,0.003,0.582,0.144,0.039,0.591
15,0.591,0.966,0.611,0.983,0.608,0.94,0.969,0.51,0.584,0.903,0.902,0.131,0.664,0.396,0.57,1.0,0.93,0.787,0.771,0.744,0.985,0.989,0.646,0.996,0.889,0.456,0.533,0.584,0.22,0.831,0.629,0.095,0.817,0.953,0.363,0.282,0.214,0.529,0.641,0.224,0.094,0.328,0.835,0.7,0.126,0.215,1.0,0.734,0.434,1.0
16,0.32,0.803,0.376,0.831,0.834,0.999,0.992,0.724,0.315,0.707,0.692,0.332,0.892,0.644,0.761,0.93,1.0,0.562,0.539,0.937,0.876,0.982,0.419,0.901,0.997,0.709,0.259,0.788,0.434,0.583,0.82,0.226,0.563,0.999,0.185,0.11,0.417,0.298,0.423,0.453,0.267,0.164,0.981,0.456,0.266,0.093,0.944,0.521,0.209,0.952
17,0.944,0.912,0.952,0.894,0.208,0.567,0.588,0.136,0.948,0.975,0.979,0.016,0.264,0.099,0.187,0.787,0.562,1.0,0.999,0.349,0.869,0.673,0.976,0.844,0.506,0.123,0.882,0.2,0.03,0.998,0.206,0.009,0.999,0.616,0.8,0.674,0.031,0.907,0.979,0.046,0.008,0.747,0.424,0.994,0.007,0.66,0.756,0.998,0.855,0.722
18,0.96,0.884,0.983,0.851,0.191,0.539,0.6,0.134,0.962,0.953,0.961,0.012,0.224,0.091,0.144,0.771,0.539,0.999,1.0,0.317,0.841,0.624,0.975,0.784,0.463,0.096,0.908,0.165,0.026,0.994,0.184,0.004,0.995,0.55,0.813,0.72,0.023,0.926,0.985,0.037,0.005,0.788,0.425,0.993,0.006,0.64,0.736,1.0,0.869,0.72
