,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.604,0.305,0.706,0.223,0.089,0.192,0.415,0.314,0.027,0.065,0.011,0.654,0.038,0.997,0.766,0.246,0.142,0.131,0.516,0.107,0.602,0.736,0.722,0.028,0.998,0.046,0.53,0.221,0.318
1,0.604,1.0,0.03,0.983,0.017,0.006,0.012,0.086,0.886,0.292,0.442,0.171,0.135,0.001,0.618,0.947,0.839,0.009,0.66,0.088,0.563,0.123,0.981,0.191,0.319,0.564,0.369,0.998,0.801,0.87
2,0.305,0.03,1.0,0.044,0.989,0.842,0.96,0.954,0.006,0.0,0.0,0.0,0.805,0.713,0.27,0.06,0.004,0.923,0.001,0.924,0.0,0.88,0.054,0.732,0.0,0.325,0.0,0.022,0.004,0.001
3,0.706,0.983,0.044,1.0,0.027,0.006,0.024,0.114,0.786,0.207,0.371,0.118,0.23,0.002,0.713,0.993,0.736,0.023,0.54,0.122,0.458,0.186,0.999,0.259,0.274,0.656,0.31,0.974,0.688,0.764
4,0.223,0.017,0.989,0.027,1.0,0.891,0.981,0.917,0.003,0.0,0.0,0.0,0.752,0.762,0.224,0.04,0.003,0.975,0.001,0.913,0.0,0.808,0.037,0.677,0.0,0.271,0.0,0.019,0.001,0.001
5,0.089,0.006,0.842,0.006,0.891,1.0,0.951,0.684,0.001,0.0,0.0,0.0,0.47,0.978,0.065,0.007,0.0,0.976,0.0,0.662,0.0,0.496,0.013,0.389,0.0,0.101,0.0,0.004,0.0,0.0
6,0.192,0.012,0.96,0.024,0.981,0.951,1.0,0.834,0.003,0.0,0.0,0.0,0.655,0.898,0.137,0.039,0.001,0.999,0.0,0.786,0.0,0.713,0.032,0.581,0.0,0.199,0.0,0.009,0.0,0.001
7,0.415,0.086,0.954,0.114,0.917,0.684,0.834,1.0,0.018,0.001,0.0,0.0,0.951,0.511,0.436,0.137,0.009,0.793,0.002,0.999,0.002,0.978,0.124,0.906,0.0,0.474,0.0,0.061,0.008,0.016
8,0.314,0.886,0.006,0.786,0.003,0.001,0.003,0.018,1.0,0.572,0.759,0.388,0.05,0.0,0.369,0.747,0.995,0.002,0.918,0.028,0.824,0.033,0.779,0.054,0.622,0.294,0.677,0.922,0.977,0.998
9,0.027,0.292,0.0,0.207,0.0,0.0,0.0,0.001,0.572,1.0,0.958,0.953,0.003,0.0,0.039,0.176,0.627,0.0,0.809,0.0,0.892,0.0,0.179,0.002,0.989,0.026,0.986,0.311,0.694,0.564
10,0.065,0.442,0.0,0.371,0.0,0.0,0.0,0.0,0.759,0.958,1.0,0.837,0.003,0.0,0.07,0.295,0.81,0.0,0.951,0.001,0.988,0.002,0.342,0.008,0.981,0.064,0.989,0.508,0.831,0.765
11,0.011,0.171,0.0,0.118,0.0,0.0,0.0,0.0,0.388,0.953,0.837,1.0,0.002,0.0,0.01,0.108,0.443,0.0,0.632,0.0,0.734,0.0,0.099,0.0,0.921,0.01,0.911,0.205,0.504,0.397
12,0.654,0.135,0.805,0.23,0.752,0.47,0.655,0.951,0.05,0.003,0.003,0.002,1.0,0.324,0.635,0.256,0.036,0.604,0.011,0.947,0.006,0.994,0.241,0.993,0.001,0.711,0.001,0.118,0.025,0.036
13,0.038,0.001,0.713,0.002,0.762,0.978,0.898,0.511,0.0,0.0,0.0,0.0,0.324,1.0,0.028,0.006,0.0,0.899,0.0,0.499,0.0,0.385,0.004,0.237,0.0,0.061,0.0,0.001,0.001,0.0
14,0.997,0.618,0.27,0.713,0.224,0.065,0.137,0.436,0.369,0.039,0.07,0.01,0.635,0.028,1.0,0.796,0.272,0.142,0.165,0.475,0.117,0.561,0.769,0.714,0.055,0.993,0.049,0.615,0.29,0.345
