,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0,0.021,0.094,0.0,0.103,0.973,0.0,0.0,0.0,0.0,0.0,0.448,0.859,0.456,0.0,0.0,0.615,0.0,0.81,0.143
1,0.021,1.0,0.806,0.047,0.0,0.005,0.015,0.001,0.0,0.463,0.0,0.364,0.084,0.0,0.005,0.0,0.0,0.001,0.097,0.759
2,0.094,0.806,1.0,0.002,0.0,0.064,0.0,0.001,0.0,0.172,0.0,0.746,0.305,0.003,0.0,0.0,0.007,0.0,0.349,0.998
3,0.0,0.047,0.002,1.0,0.0,0.0,0.851,0.798,0.022,0.478,0.081,0.0,0.0,0.0,0.688,0.453,0.0,0.475,0.0,0.002
4,0.103,0.0,0.0,0.0,1.0,0.194,0.0,0.0,0.025,0.0,0.003,0.003,0.019,0.759,0.0,0.0,0.591,0.0,0.025,0.0
5,0.973,0.005,0.064,0.0,0.194,1.0,0.0,0.0,0.0,0.0,0.0,0.342,0.753,0.548,0.0,0.0,0.774,0.0,0.703,0.081
6,0.0,0.015,0.0,0.851,0.0,0.0,1.0,0.994,0.106,0.202,0.21,0.0,0.0,0.0,0.941,0.766,0.0,0.816,0.0,0.0
7,0.0,0.001,0.001,0.798,0.0,0.0,0.994,1.0,0.115,0.187,0.266,0.0,0.0,0.0,0.977,0.818,0.0,0.868,0.0,0.0
8,0.0,0.0,0.0,0.022,0.025,0.0,0.106,0.115,1.0,0.0,0.893,0.0,0.0,0.002,0.183,0.353,0.0,0.31,0.0,0.0
9,0.0,0.463,0.172,0.478,0.0,0.0,0.202,0.187,0.0,1.0,0.0,0.024,0.001,0.0,0.121,0.042,0.0,0.054,0.004,0.133
10,0.0,0.0,0.0,0.081,0.003,0.0,0.21,0.266,0.893,0.0,1.0,0.0,0.0,0.0,0.371,0.643,0.001,0.547,0.0,0.0
11,0.448,0.364,0.746,0.0,0.003,0.342,0.0,0.0,0.0,0.024,0.0,1.0,0.782,0.02,0.0,0.0,0.062,0.0,0.817,0.8
12,0.859,0.084,0.305,0.0,0.019,0.753,0.0,0.0,0.0,0.001,0.0,0.782,1.0,0.16,0.0,0.0,0.301,0.0,0.995,0.365
13,0.456,0.0,0.003,0.0,0.759,0.548,0.0,0.0,0.002,0.0,0.0,0.02,0.16,1.0,0.0,0.0,0.958,0.0,0.144,0.003
14,0.0,0.005,0.0,0.688,0.0,0.0,0.941,0.977,0.183,0.121,0.371,0.0,0.0,0.0,1.0,0.902,0.0,0.947,0.0,0.0
15,0.0,0.0,0.0,0.453,0.0,0.0,0.766,0.818,0.353,0.042,0.643,0.0,0.0,0.0,0.902,1.0,0.0,0.998,0.0,0.0
16,0.615,0.0,0.007,0.0,0.591,0.774,0.0,0.0,0.0,0.0,0.001,0.062,0.301,0.958,0.0,0.0,1.0,0.0,0.241,0.005
17,0.0,0.001,0.0,0.475,0.0,0.0,0.816,0.868,0.31,0.054,0.547,0.0,0.0,0.0,0.947,0.998,0.0,1.0,0.0,0.0
18,0.81,0.097,0.349,0.0,0.025,0.703,0.0,0.0,0.0,0.004,0.0,0.817,0.995,0.144,0.0,0.0,0.241,0.0,1.0,0.396
19,0.143,0.759,0.998,0.002,0.0,0.081,0.0,0.0,0.0,0.133,0.0,0.8,0.365,0.003,0.0,0.0,0.005,0.0,0.396,1.0
