,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,0.762,1.0,0.705,0.106,0.384,0.424,0.051,0.999,0.849,0.889,0.004,0.123,0.043,0.085,0.574,0.363,0.946,0.962,0.167,0.721,0.475,1.0,0.665,0.298,0.043,0.988,0.086,0.009,0.93,0.097,0.0,0.938,0.387,0.934,0.869,0.009,0.996,0.993,0.01,0.001,0.904,0.255,0.985,0.004,0.812,0.553,0.983,0.964,0.514
1,0.762,1.0,0.77,0.998,0.442,0.824,0.853,0.346,0.752,0.986,0.985,0.062,0.531,0.251,0.384,0.959,0.814,0.906,0.887,0.608,0.994,0.902,0.794,0.98,0.753,0.29,0.676,0.383,0.108,0.94,0.388,0.031,0.927,0.84,0.55,0.408,0.115,0.67,0.816,0.127,0.049,0.496,0.683,0.832,0.064,0.383,0.952,0.893,0.573,0.93
2,1.0,0.77,1.0,0.719,0.128,0.399,0.431,0.073,0.995,0.866,0.891,0.002,0.154,0.042,0.097,0.609,0.38,0.964,0.973,0.196,0.7,0.5,0.999,0.665,0.331,0.056,0.985,0.098,0.01,0.947,0.111,0.0,0.953,0.444,0.919,0.843,0.009,0.989,0.996,0.011,0.003,0.904,0.262,0.991,0.003,0.803,0.598,0.978,0.949,0.564
3,0.705,0.998,0.719,1.0,0.522,0.86,0.909,0.383,0.722,0.972,0.964,0.083,0.566,0.288,0.444,0.981,0.829,0.885,0.865,0.646,1.0,0.927,0.732,0.996,0.789,0.352,0.626,0.443,0.152,0.919,0.479,0.043,0.903,0.877,0.469,0.395,0.135,0.63,0.777,0.163,0.045,0.462,0.732,0.81,0.067,0.348,0.975,0.84,0.54,0.96
4,0.106,0.442,0.128,0.522,1.0,0.819,0.776,0.973,0.109,0.32,0.342,0.656,0.992,0.947,0.997,0.604,0.833,0.211,0.202,0.977,0.511,0.728,0.119,0.573,0.882,0.968,0.073,0.996,0.778,0.25,1.0,0.526,0.228,0.806,0.032,0.02,0.764,0.095,0.152,0.812,0.608,0.027,0.93,0.16,0.608,0.014,0.619,0.195,0.054,0.681
5,0.384,0.824,0.399,0.86,0.819,1.0,0.998,0.724,0.352,0.738,0.718,0.301,0.885,0.644,0.771,0.953,1.0,0.558,0.543,0.908,0.885,0.986,0.393,0.921,0.992,0.659,0.294,0.768,0.403,0.608,0.806,0.21,0.588,1.0,0.2,0.131,0.382,0.299,0.439,0.416,0.227,0.164,0.971,0.467,0.261,0.104,0.952,0.522,0.221,0.961
6,0.424,0.853,0.431,0.909,0.776,0.998,1.0,0.664,0.393,0.796,0.76,0.253,0.833,0.559,0.684,0.974,0.992,0.609,0.594,0.889,0.914,0.996,0.478,0.936,0.981,0.624,0.337,0.741,0.328,0.69,0.756,0.191,0.641,0.999,0.197,0.159,0.325,0.357,0.505,0.374,0.195,0.22,0.941,0.509,0.211,0.122,0.976,0.568,0.248,0.976
7,0.051,0.346,0.073,0.383,0.973,0.724,0.664,1.0,0.054,0.244,0.232,0.786,0.951,0.988,0.997,0.51,0.719,0.154,0.142,0.901,0.383,0.601,0.078,0.441,0.769,0.996,0.032,0.993,0.883,0.164,0.991,0.653,0.146,0.696,0.017,0.004,0.868,0.041,0.097,0.898,0.71,0.009,0.852,0.101,0.725,0.004,0.531,0.126,0.02,0.557
8,0.999,0.752,0.995,0.722,0.109,0.352,0.393,0.054,1.0,0.813,0.833,0.005,0.127,0.035,0.066,0.581,0.31,0.935,0.945,0.167,0.664,0.427,0.983,0.613,0.308,0.053,0.991,0.074,0.004,0.918,0.104,0.0,0.928,0.367,0.938,0.867,0.008,0.996,0.983,0.009,0.001,0.927,0.238,0.983,0.004,0.842,0.518,0.968,0.975,0.52
9,0.849,0.986,0.866,0.972,0.32,0.738,0.796,0.244,0.813,1.0,1.0,0.034,0.394,0.2,0.312,0.898,0.724,0.97,0.957,0.495,0.957,0.807,0.876,0.943,0.64,0.218,0.777,0.3,0.07,0.985,0.307,0.023,0.971,0.759,0.647,0.492,0.07,0.766,0.899,0.083,0.033,0.595,0.587,0.908,0.037,0.452,0.908,0.928,0.739,0.893
