,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.755,0.495,0.82,0.434,0.251,0.361,0.653,0.529,0.124,0.226,0.066,0.803,0.193,0.997,0.861,0.474,0.344,0.366,0.656,0.274,0.743,0.84,0.836,0.153,0.998,0.191,0.745,0.446,0.512
1,0.755,1.0,0.135,0.992,0.111,0.05,0.072,0.212,0.936,0.5,0.612,0.367,0.329,0.023,0.771,0.975,0.909,0.057,0.785,0.244,0.715,0.276,0.987,0.389,0.552,0.717,0.591,1.0,0.878,0.922
2,0.495,0.135,1.0,0.183,0.993,0.92,0.979,0.975,0.044,0.001,0.006,0.001,0.883,0.811,0.46,0.224,0.037,0.966,0.016,0.97,0.014,0.925,0.177,0.832,0.004,0.481,0.005,0.119,0.027,0.055
3,0.82,0.992,0.183,1.0,0.131,0.06,0.101,0.278,0.885,0.435,0.544,0.295,0.416,0.037,0.827,0.995,0.868,0.097,0.742,0.281,0.621,0.352,1.0,0.47,0.463,0.803,0.504,0.983,0.837,0.86
4,0.434,0.111,0.993,0.131,1.0,0.934,0.989,0.964,0.032,0.0,0.003,0.001,0.844,0.884,0.421,0.182,0.027,0.978,0.008,0.934,0.01,0.885,0.171,0.781,0.002,0.498,0.002,0.1,0.021,0.028
5,0.251,0.05,0.92,0.06,0.934,1.0,0.976,0.793,0.008,0.0,0.0,0.0,0.621,0.986,0.241,0.087,0.005,0.987,0.003,0.745,0.001,0.706,0.066,0.577,0.0,0.273,0.0,0.033,0.006,0.01
6,0.361,0.072,0.979,0.101,0.989,0.976,1.0,0.903,0.029,0.002,0.003,0.0,0.773,0.919,0.337,0.135,0.018,0.998,0.004,0.901,0.003,0.847,0.113,0.698,0.0,0.391,0.0,0.067,0.018,0.021
7,0.653,0.212,0.975,0.278,0.964,0.793,0.903,1.0,0.098,0.005,0.015,0.002,0.957,0.689,0.606,0.298,0.072,0.887,0.041,1.0,0.03,0.983,0.312,0.935,0.009,0.662,0.008,0.207,0.071,0.096
8,0.529,0.936,0.044,0.885,0.032,0.008,0.029,0.098,1.0,0.749,0.845,0.582,0.157,0.004,0.562,0.845,0.995,0.03,0.961,0.087,0.909,0.144,0.868,0.19,0.784,0.501,0.793,0.948,0.994,1.0
9,0.124,0.5,0.001,0.435,0.0,0.0,0.002,0.005,0.749,1.0,0.972,0.969,0.021,0.0,0.162,0.365,0.778,0.001,0.901,0.004,0.947,0.014,0.378,0.019,0.991,0.115,0.992,0.514,0.788,0.756
10,0.226,0.612,0.006,0.544,0.003,0.0,0.003,0.015,0.845,0.972,1.0,0.892,0.04,0.0,0.228,0.52,0.878,0.001,0.962,0.009,0.992,0.028,0.506,0.054,0.984,0.214,0.993,0.661,0.9,0.864
11,0.066,0.367,0.001,0.295,0.001,0.0,0.0,0.002,0.582,0.969,0.892,1.0,0.005,0.0,0.081,0.248,0.627,0.0,0.784,0.003,0.85,0.004,0.279,0.011,0.957,0.071,0.938,0.403,0.675,0.61
12,0.803,0.329,0.883,0.416,0.844,0.621,0.773,0.957,0.157,0.021,0.04,0.005,1.0,0.511,0.766,0.463,0.145,0.748,0.109,0.976,0.05,0.998,0.462,0.992,0.02,0.808,0.025,0.325,0.155,0.168
13,0.193,0.023,0.811,0.037,0.884,0.986,0.919,0.689,0.004,0.0,0.0,0.0,0.511,1.0,0.165,0.058,0.004,0.911,0.002,0.654,0.0,0.578,0.033,0.447,0.0,0.194,0.0,0.024,0.002,0.003
14,0.997,0.771,0.46,0.827,0.421,0.241,0.337,0.606,0.562,0.162,0.228,0.081,0.766,0.165,1.0,0.889,0.515,0.315,0.357,0.641,0.332,0.702,0.879,0.818,0.173,0.998,0.213,0.716,0.494,0.501
