,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,0.462,0.996,0.386,0.0,0.05,0.068,0.002,0.997,0.617,0.657,0.247,0.0,0.01,0.0,0.195,0.031,0.892,0.91,0.002,0.374,0.093,0.988,0.273,0.02,0.006,0.964,0.0,0.117,0.817,0.0,0.406,0.873,0.053,0.82,0.651,0.122,0.978,0.979,0.084,0.353,0.786,0.004,0.968,0.301,0.597,0.159,0.925,0.901,0.155
1,0.462,1.0,0.512,0.988,0.072,0.607,0.65,0.034,0.417,0.978,0.952,0.0,0.136,0.008,0.037,0.907,0.544,0.786,0.761,0.19,0.981,0.74,0.571,0.954,0.448,0.012,0.314,0.039,0.0,0.857,0.052,0.013,0.816,0.624,0.12,0.074,0.0,0.342,0.581,0.0,0.004,0.134,0.337,0.611,0.004,0.046,0.883,0.725,0.2,0.857
2,0.996,0.512,1.0,0.428,0.0,0.038,0.078,0.001,0.988,0.657,0.707,0.212,0.0,0.003,0.0,0.238,0.041,0.908,0.922,0.0,0.383,0.113,0.997,0.287,0.02,0.008,0.967,0.0,0.101,0.844,0.0,0.403,0.873,0.051,0.772,0.596,0.122,0.962,0.994,0.092,0.322,0.732,0.007,0.987,0.3,0.561,0.189,0.951,0.876,0.192
3,0.386,0.988,0.428,1.0,0.123,0.679,0.744,0.036,0.341,0.939,0.905,0.0,0.173,0.017,0.068,0.96,0.619,0.721,0.654,0.26,0.999,0.817,0.469,0.982,0.541,0.029,0.239,0.062,0.0,0.782,0.105,0.004,0.745,0.703,0.099,0.048,0.0,0.252,0.488,0.0,0.001,0.08,0.409,0.512,0.0,0.022,0.926,0.598,0.159,0.912
4,0.0,0.072,0.0,0.123,1.0,0.59,0.516,0.954,0.0,0.025,0.017,0.32,0.982,0.834,0.984,0.253,0.633,0.001,0.0,0.932,0.144,0.43,0.0,0.168,0.69,0.899,0.0,0.992,0.489,0.005,1.0,0.139,0.003,0.543,0.018,0.051,0.475,0.0,0.0,0.516,0.213,0.023,0.813,0.0,0.233,0.08,0.277,0.001,0.008,0.304
5,0.05,0.607,0.038,0.679,0.59,1.0,0.99,0.359,0.023,0.408,0.374,0.01,0.734,0.235,0.488,0.843,0.998,0.186,0.149,0.799,0.712,0.956,0.074,0.805,0.98,0.297,0.007,0.465,0.048,0.239,0.564,0.002,0.22,0.997,0.001,0.0,0.029,0.01,0.07,0.079,0.002,0.0,0.921,0.103,0.006,0.0,0.878,0.133,0.001,0.91
6,0.068,0.65,0.078,0.744,0.516,0.99,1.0,0.31,0.047,0.501,0.459,0.006,0.651,0.153,0.386,0.917,0.984,0.229,0.213,0.74,0.765,0.991,0.101,0.841,0.946,0.249,0.027,0.417,0.036,0.305,0.472,0.001,0.306,1.0,0.001,0.0,0.027,0.028,0.11,0.039,0.0,0.001,0.865,0.142,0.0,0.0,0.932,0.171,0.009,0.952
7,0.002,0.034,0.001,0.036,0.954,0.359,0.31,1.0,0.005,0.007,0.008,0.504,0.853,0.974,0.997,0.097,0.423,0.0,0.0,0.794,0.043,0.242,0.0,0.075,0.485,0.997,0.009,0.979,0.685,0.0,0.969,0.31,0.0,0.341,0.075,0.142,0.64,0.006,0.0,0.731,0.384,0.074,0.638,0.0,0.399,0.166,0.144,0.0,0.026,0.152
8,0.997,0.417,0.988,0.341,0.0,0.023,0.047,0.005,1.0,0.562,0.625,0.287,0.0,0.021,0.002,0.205,0.018,0.847,0.872,0.0,0.306,0.081,0.981,0.219,0.01,0.008,0.983,0.0,0.139,0.765,0.0,0.459,0.841,0.039,0.851,0.692,0.163,0.989,0.97,0.124,0.363,0.833,0.003,0.948,0.338,0.624,0.145,0.916,0.925,0.152
9,0.617,0.978,0.657,0.939,0.025,0.408,0.501,0.007,0.562,1.0,1.0,0.01,0.071,0.0,0.012,0.772,0.382,0.893,0.881,0.132,0.909,0.563,0.713,0.86,0.306,0.001,0.433,0.018,0.0,0.95,0.023,0.028,0.93,0.461,0.239,0.136,0.001,0.522,0.731,0.0,0.018,0.219,0.238,0.764,0.019,0.087,0.749,0.859,0.336,0.739
