,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.196,0.019,0.352,0.011,0.0,0.001,0.067,0.03,0.0,0.001,0.0,0.327,0.0,0.991,0.493,0.014,0.0,0.001,0.114,0.0,0.209,0.422,0.43,0.0,0.993,0.0,0.2,0.009,0.021
1,0.196,1.0,0.0,0.957,0.0,0.0,0.0,0.0,0.736,0.026,0.089,0.003,0.003,0.0,0.256,0.89,0.58,0.0,0.304,0.0,0.166,0.0,0.913,0.004,0.036,0.159,0.054,0.991,0.549,0.702
2,0.019,0.0,1.0,0.0,0.972,0.595,0.871,0.868,0.0,0.005,0.0,0.026,0.56,0.337,0.014,0.0,0.0,0.847,0.0,0.809,0.0,0.66,0.0,0.415,0.002,0.037,0.001,0.0,0.0,0.0
3,0.352,0.957,0.0,1.0,0.0,0.0,0.0,0.0,0.513,0.005,0.042,0.0,0.007,0.0,0.433,0.985,0.405,0.0,0.165,0.0,0.079,0.002,0.996,0.018,0.02,0.31,0.027,0.924,0.371,0.478
4,0.011,0.0,0.972,0.0,1.0,0.705,0.954,0.76,0.0,0.011,0.002,0.054,0.396,0.485,0.01,0.0,0.0,0.932,0.0,0.719,0.0,0.536,0.0,0.294,0.002,0.018,0.001,0.0,0.0,0.0
5,0.0,0.0,0.595,0.0,0.705,1.0,0.877,0.305,0.0,0.128,0.021,0.305,0.1,0.928,0.001,0.0,0.0,0.923,0.006,0.237,0.009,0.129,0.0,0.051,0.073,0.0,0.054,0.0,0.0,0.0
6,0.001,0.0,0.871,0.0,0.954,0.877,1.0,0.613,0.0,0.027,0.007,0.113,0.27,0.639,0.001,0.0,0.0,0.996,0.001,0.524,0.001,0.331,0.0,0.179,0.011,0.006,0.012,0.0,0.0,0.0
7,0.067,0.0,0.868,0.0,0.76,0.305,0.613,1.0,0.0,0.0,0.0,0.001,0.828,0.165,0.064,0.0,0.0,0.531,0.0,0.992,0.0,0.925,0.001,0.736,0.0,0.111,0.0,0.0,0.0,0.0
8,0.03,0.736,0.0,0.513,0.0,0.0,0.0,0.0,1.0,0.179,0.423,0.052,0.0,0.001,0.033,0.424,0.982,0.0,0.768,0.0,0.583,0.0,0.475,0.0,0.27,0.017,0.307,0.742,0.951,0.992
9,0.0,0.026,0.005,0.005,0.011,0.128,0.027,0.0,0.179,1.0,0.883,0.884,0.0,0.286,0.0,0.004,0.273,0.04,0.51,0.001,0.716,0.0,0.002,0.0,0.982,0.0,0.95,0.019,0.292,0.208
10,0.001,0.089,0.0,0.042,0.002,0.021,0.007,0.0,0.423,0.883,1.0,0.593,0.0,0.082,0.0,0.012,0.536,0.005,0.83,0.0,0.95,0.0,0.03,0.0,0.957,0.0,0.979,0.118,0.6,0.481
11,0.0,0.003,0.026,0.0,0.054,0.305,0.113,0.001,0.052,0.884,0.593,1.0,0.0,0.539,0.0,0.0,0.096,0.156,0.265,0.006,0.42,0.0,0.0,0.0,0.78,0.0,0.724,0.005,0.105,0.063
12,0.327,0.003,0.56,0.007,0.396,0.1,0.27,0.828,0.0,0.0,0.0,0.0,1.0,0.02,0.244,0.019,0.0,0.201,0.0,0.89,0.0,0.979,0.017,0.977,0.0,0.366,0.0,0.002,0.0,0.0
13,0.0,0.0,0.337,0.0,0.485,0.928,0.639,0.165,0.001,0.286,0.082,0.539,0.02,1.0,0.0,0.0,0.001,0.721,0.012,0.117,0.036,0.054,0.0,0.015,0.176,0.0,0.154,0.0,0.001,0.001
