,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,0.018,0.125,0.009,0.231,0.982,0.003,0.008,0.0,0.007,0.0,0.47,0.906,0.516,0.005,0.004,0.699,0.01,0.836,0.159,0.007,0.0,0.008,0.0,0.843,0.978,0.954,0.003,0.008,0.336,0.002,0.0,0.007,0.39,0.011,0.996,0.009,0.619,0.006,0.055,0.555,0.125,0.001,0.0,0.697,0.002,0.591,0.0,0.0,0.001
1,0.018,1.0,0.844,0.172,0.004,0.003,0.088,0.073,0.002,0.615,0.013,0.393,0.095,0.005,0.047,0.025,0.001,0.034,0.117,0.77,0.373,0.007,0.144,0.004,0.001,0.043,0.002,0.984,0.319,0.59,0.813,0.934,0.559,0.528,0.458,0.008,0.14,0.291,0.745,0.963,0.322,0.889,0.004,0.963,0.255,0.002,0.003,0.002,0.007,0.001
2,0.125,0.844,1.0,0.036,0.01,0.097,0.016,0.015,0.0,0.264,0.001,0.788,0.343,0.015,0.005,0.004,0.017,0.007,0.416,0.992,0.1,0.0,0.027,0.0,0.036,0.206,0.073,0.74,0.096,0.916,0.45,0.606,0.229,0.899,0.162,0.113,0.026,0.654,0.378,0.959,0.709,0.998,0.002,0.668,0.595,0.0,0.013,0.001,0.004,0.001
3,0.009,0.172,0.036,1.0,0.001,0.008,0.935,0.872,0.137,0.701,0.249,0.0,0.006,0.006,0.832,0.654,0.005,0.686,0.007,0.018,0.899,0.164,0.997,0.12,0.006,0.009,0.005,0.229,0.919,0.004,0.504,0.342,0.741,0.001,0.816,0.011,0.995,0.002,0.549,0.077,0.001,0.056,0.087,0.286,0.004,0.064,0.004,0.09,0.29,0.048
4,0.231,0.004,0.01,0.001,1.0,0.302,0.0,0.002,0.001,0.003,0.001,0.037,0.094,0.84,0.001,0.003,0.672,0.002,0.082,0.01,0.001,0.001,0.004,0.0,0.521,0.165,0.353,0.002,0.002,0.011,0.003,0.005,0.003,0.017,0.0,0.257,0.0,0.047,0.003,0.006,0.046,0.014,0.0,0.003,0.047,0.0,0.763,0.0,0.0,0.0
5,0.982,0.003,0.097,0.008,0.302,1.0,0.007,0.007,0.0,0.008,0.0,0.378,0.809,0.651,0.007,0.0,0.821,0.005,0.741,0.123,0.007,0.0,0.005,0.0,0.929,0.919,0.995,0.0,0.005,0.221,0.004,0.001,0.007,0.294,0.008,0.993,0.003,0.496,0.008,0.043,0.452,0.08,0.0,0.0,0.546,0.001,0.703,0.0,0.0,0.003
6,0.003,0.088,0.016,0.935,0.0,0.007,1.0,0.999,0.268,0.472,0.409,0.0,0.008,0.002,0.975,0.827,0.003,0.886,0.006,0.007,0.666,0.306,0.955,0.234,0.0,0.004,0.007,0.157,0.716,0.0,0.295,0.186,0.487,0.0,0.609,0.007,0.967,0.001,0.321,0.052,0.001,0.024,0.161,0.151,0.004,0.1,0.0,0.191,0.493,0.103
7,0.008,0.073,0.015,0.872,0.002,0.007,0.999,1.0,0.309,0.444,0.471,0.0,0.003,0.001,0.982,0.886,0.004,0.918,0.004,0.007,0.643,0.349,0.917,0.244,0.002,0.005,0.007,0.121,0.7,0.002,0.239,0.151,0.465,0.0,0.58,0.01,0.949,0.002,0.284,0.037,0.001,0.028,0.193,0.126,0.001,0.151,0.001,0.237,0.592,0.098
8,0.0,0.002,0.0,0.137,0.001,0.0,0.268,0.309,1.0,0.04,0.951,0.001,0.0,0.001,0.369,0.532,0.001,0.501,0.0,0.002,0.066,0.993,0.161,0.995,0.0,0.0,0.001,0.009,0.071,0.001,0.022,0.011,0.03,0.001,0.05,0.0,0.183,0.0,0.022,0.003,0.002,0.0,0.967,0.008,0.001,0.861,0.002,0.982,0.873,0.824
9,0.007,0.615,0.264,0.701,0.003,0.008,0.472,0.444,0.04,1.0,0.06,0.021,0.004,0.001,0.333,0.217,0.006,0.243,0.001,0.212,0.928,0.04,0.658,0.031,0.003,0.003,0.009,0.713,0.874,0.101,0.951,0.838,0.998,0.065,0.972,0.01,0.604,0.003,0.96,0.421,0.016,0.31,0.016,0.792,0.003,0.015,0.002,0.019,0.061,0.011
