,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,0.0,0.004,0.381,0.017,0.082,0.714,0.002,0.017,0.0,0.996,0.01,0.981,0.497,0.001,0.903,0.532,0.0,0.0,0.177,0.018,0.006,0.933,0.354,0.0,0.108,0.203,0.776,0.234,0.0
1,0.0,1.0,0.054,0.062,0.014,0.004,0.0,0.036,0.013,0.735,0.0,0.032,0.0,0.0,0.197,0.0,0.032,0.76,0.086,0.0,0.546,0.795,0.0,0.0,0.957,0.001,0.0,0.0,0.141,0.9
2,0.004,0.054,1.0,0.0,0.903,0.647,0.06,0.99,0.872,0.378,0.0,0.972,0.001,0.141,0.898,0.013,0.0,0.323,0.993,0.426,0.001,0.002,0.0,0.262,0.024,0.544,0.388,0.037,0.0,0.173
3,0.381,0.062,0.0,1.0,0.0,0.0,0.065,0.0,0.0,0.001,0.456,0.0,0.477,0.036,0.0,0.183,0.961,0.002,0.0,0.004,0.501,0.303,0.609,0.014,0.106,0.0,0.0,0.101,0.937,0.013
4,0.017,0.014,0.903,0.0,1.0,0.912,0.144,0.975,0.994,0.14,0.015,0.986,0.011,0.364,0.677,0.08,0.0,0.1,0.856,0.702,0.0,0.002,0.002,0.471,0.005,0.808,0.679,0.14,0.0,0.066
5,0.082,0.004,0.647,0.0,0.912,1.0,0.409,0.773,0.938,0.037,0.064,0.823,0.046,0.607,0.384,0.217,0.001,0.037,0.6,0.935,0.0,0.0,0.029,0.776,0.0,0.984,0.897,0.328,0.0,0.015
6,0.714,0.0,0.06,0.065,0.144,0.409,1.0,0.098,0.223,0.0,0.645,0.111,0.621,0.936,0.02,0.952,0.135,0.0,0.041,0.601,0.0,0.0,0.501,0.83,0.0,0.486,0.67,0.999,0.024,0.0
7,0.002,0.036,0.99,0.0,0.975,0.773,0.098,1.0,0.936,0.252,0.007,0.994,0.001,0.23,0.8,0.029,0.0,0.221,0.968,0.518,0.0,0.0,0.0,0.327,0.015,0.651,0.485,0.062,0.0,0.125
8,0.017,0.013,0.872,0.0,0.994,0.938,0.223,0.936,1.0,0.127,0.019,0.966,0.013,0.388,0.599,0.092,0.0,0.092,0.822,0.772,0.0,0.0,0.009,0.588,0.005,0.854,0.721,0.156,0.0,0.044
9,0.0,0.735,0.378,0.001,0.14,0.037,0.0,0.252,0.127,1.0,0.0,0.2,0.0,0.0,0.621,0.0,0.001,0.996,0.403,0.014,0.142,0.287,0.0,0.007,0.54,0.035,0.009,0.0,0.014,0.933
10,0.996,0.0,0.0,0.456,0.015,0.064,0.645,0.007,0.019,0.0,1.0,0.007,0.997,0.425,0.0,0.864,0.616,0.0,0.0,0.173,0.033,0.012,0.967,0.275,0.001,0.088,0.181,0.731,0.249,0.0
11,0.01,0.032,0.972,0.0,0.986,0.823,0.111,0.994,0.966,0.2,0.007,1.0,0.005,0.261,0.809,0.042,0.0,0.174,0.916,0.625,0.0,0.001,0.003,0.389,0.01,0.737,0.543,0.093,0.0,0.099
12,0.981,0.0,0.001,0.477,0.011,0.046,0.621,0.001,0.013,0.0,0.997,0.005,1.0,0.385,0.0,0.813,0.653,0.0,0.0,0.099,0.031,0.012,0.984,0.236,0.001,0.075,0.146,0.655,0.309,0.0
13,0.497,0.0,0.141,0.036,0.364,0.607,0.936,0.23,0.388,0.0,0.425,0.261,0.385,1.0,0.055,0.767,0.059,0.0,0.132,0.823,0.0,0.0,0.296,0.961,0.0,0.718,0.876,0.898,0.008,0.0
14,0.001,0.197,0.898,0.0,0.677,0.384,0.02,0.8,0.599,0.621,0.0,0.809,0.0,0.055,1.0,0.004,0.0,0.53,0.916,0.221,0.012,0.029,0.0,0.092,0.099,0.318,0.175,0.01,0.0,0.378
15,0.903,0.0,0.013,0.183,0.08,0.217,0.952,0.029,0.092,0.0,0.864,0.042,0.813,0.767,0.004,1.0,0.305,0.0,0.019,0.405,0.003,0.002,0.73,0.62,0.0,0.298,0.441,0.95,0.084,0.0
16,0.532,0.032,0.0,0.961,0.0,0.001,0.135,0.0,0.0,0.001,0.616,0.0,0.653,0.059,0.0,0.305,1.0,0.0,0.0,0.005,0.335,0.202,0.789,0.031,0.06,0.003,0.012,0.162,0.789,0.001
17,0.0,0.76,0.323,0.002,0.1,0.037,0.0,0.221,0.092,0.996,0.0,0.174,0.0,0.0,0.53,0.0,0.0,1.0,0.335,0.01,0.194,0.366,0.0,0.003,0.597,0.021,0.002,0.0,0.028,0.967
18,0.0,0.086,0.993,0.0,0.856,0.6,0.041,0.968,0.822,0.403,0.0,0.916,0.0,0.132,0.916,0.019,0.0,0.335,1.0,0.423,0.001,0.01,0.0,0.215,0.03,0.494,0.343,0.04,0.0,0.221
19,0.177,0.0,0.426,0.004,0.702,0.935,0.601,0.518,0.772,0.014,0.173,0.625,0.099,0.823,0.221,0.405,0.005,0.01,0.423,1.0,0.0,0.0,0.073,0.926,0.0,0.981,0.998,0.532,0.0,0.003
20,0.018,0.546,0.001,0.501,0.0,0.0,0.0,0.0,0.0,0.142,0.033,0.0,0.031,0.0,0.012,0.003,0.335,0.194,0.001,0.0,1.0,0.913,0.085,0.0,0.702,0.0,0.0,0.0,0.715,0.291
21,0.006,0.795,0.002,0.303,0.002,0.0,0.0,0.0,0.0,0.287,0.012,0.001,0.012,0.0,0.029,0.002,0.202,0.366,0.01,0.0,0.913,1.0,0.021,0.0,0.906,0.0,0.0,0.001,0.461,0.486
22,0.933,0.0,0.0,0.609,0.002,0.029,0.501,0.0,0.009,0.0,0.967,0.003,0.984,0.296,0.0,0.73,0.789,0.0,0.0,0.073,0.085,0.021,1.0,0.181,0.004,0.049,0.09,0.555,0.416,0.0
23,0.354,0.0,0.262,0.014,0.471,0.776,0.83,0.327,0.588,0.007,0.275,0.389,0.236,0.961,0.092,0.62,0.031,0.003,0.215,0.926,0.0,0.0,0.181,1.0,0.0,0.877,0.968,0.786,0.001,0.001
24,0.0,0.957,0.024,0.106,0.005,0.0,0.0,0.015,0.005,0.54,0.001,0.01,0.001,0.0,0.099,0.0,0.06,0.597,0.03,0.0,0.702,0.906,0.004,0.0,1.0,0.0,0.0,0.0,0.224,0.775
25,0.108,0.001,0.544,0.0,0.808,0.984,0.486,0.651,0.854,0.035,0.088,0.737,0.075,0.718,0.318,0.298,0.003,0.021,0.494,0.981,0.0,0.0,0.049,0.877,0.0,1.0,0.958,0.456,0.0,0.007
26,0.203,0.0,0.388,0.0,0.679,0.897,0.67,0.485,0.721,0.009,0.181,0.543,0.146,0.876,0.175,0.441,0.012,0.002,0.343,0.998,0.0,0.0,0.09,0.968,0.0,0.958,1.0,0.592,0.002,0.0
27,0.776,0.0,0.037,0.101,0.14,0.328,0.999,0.062,0.156,0.0,0.731,0.093,0.655,0.898,0.01,0.95,0.162,0.0,0.04,0.532,0.0,0.001,0.555,0.786,0.0,0.456,0.592,1.0,0.037,0.0
28,0.234,0.141,0.0,0.937,0.0,0.0,0.024,0.0,0.0,0.014,0.249,0.0,0.309,0.008,0.0,0.084,0.789,0.028,0.0,0.0,0.715,0.461,0.416,0.001,0.224,0.0,0.002,0.037,1.0,0.036
29,0.0,0.9,0.173,0.013,0.066,0.015,0.0,0.125,0.044,0.933,0.0,0.099,0.0,0.0,0.378,0.0,0.001,0.967,0.221,0.003,0.291,0.486,0.0,0.001,0.775,0.007,0.0,0.0,0.036,1.0
