,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0,0.004,0.032,0.01,0.005,0.113,0.281,0.005,0.005,0.02,0.341,0.003,0.037,0.233,0.002,0.177,0.323,0.206,0.065,0.191
1,0.004,1.0,0.027,0.019,0.455,0.021,0.031,0.009,0.551,0.02,0.001,0.017,0.115,0.136,0.33,0.011,0.003,0.05,0.245,0.228
2,0.032,0.027,1.0,0.218,0.041,0.199,0.049,0.233,0.222,0.052,0.173,0.679,0.0,0.108,0.286,0.249,0.117,0.017,0.001,0.005
3,0.01,0.019,0.218,1.0,0.087,0.32,0.093,1.0,0.122,0.558,0.399,0.087,0.099,0.358,0.191,0.553,0.235,0.024,0.063,0.172
4,0.005,0.455,0.041,0.087,1.0,0.006,0.033,0.083,0.011,0.29,0.123,0.049,0.107,0.024,0.041,0.008,0.004,0.018,0.743,0.261
5,0.113,0.021,0.199,0.32,0.006,1.0,0.134,0.321,0.001,0.196,0.157,0.182,0.315,0.494,0.001,0.189,0.182,0.217,0.021,0.055
6,0.281,0.031,0.049,0.093,0.033,0.134,1.0,0.103,0.047,0.066,0.004,0.02,0.406,0.086,0.024,0.063,0.14,0.791,0.133,0.161
7,0.005,0.009,0.233,1.0,0.083,0.321,0.103,1.0,0.099,0.56,0.367,0.083,0.085,0.336,0.233,0.562,0.239,0.026,0.087,0.163
8,0.005,0.551,0.222,0.122,0.011,0.001,0.047,0.099,1.0,0.006,0.049,0.188,0.072,0.065,0.783,0.042,0.003,0.015,0.014,0.053
9,0.02,0.02,0.052,0.558,0.29,0.196,0.066,0.56,0.006,1.0,0.461,0.009,0.171,0.132,0.095,0.398,0.081,0.002,0.274,0.13
10,0.341,0.001,0.173,0.399,0.123,0.157,0.004,0.367,0.049,0.461,1.0,0.075,0.113,0.037,0.096,0.272,0.17,0.021,0.196,0.079
11,0.003,0.017,0.679,0.087,0.049,0.182,0.02,0.083,0.188,0.009,0.075,1.0,0.026,0.086,0.208,0.045,0.099,0.019,0.046,0.019
12,0.037,0.115,0.0,0.099,0.107,0.315,0.406,0.085,0.072,0.171,0.113,0.026,1.0,0.011,0.002,0.021,0.097,0.544,0.011,0.037
13,0.233,0.136,0.108,0.358,0.024,0.494,0.086,0.336,0.065,0.132,0.037,0.086,0.011,1.0,0.059,0.144,0.065,0.065,0.039,0.004
14,0.002,0.33,0.286,0.191,0.041,0.001,0.024,0.233,0.783,0.095,0.096,0.208,0.002,0.059,1.0,0.103,0.003,0.012,0.052,0.006
15,0.177,0.011,0.249,0.553,0.008,0.189,0.063,0.562,0.042,0.398,0.272,0.045,0.021,0.144,0.103,1.0,0.559,0.029,0.013,0.325
16,0.323,0.003,0.117,0.235,0.004,0.182,0.14,0.239,0.003,0.081,0.17,0.099,0.097,0.065,0.003,0.559,1.0,0.166,0.049,0.211
17,0.206,0.05,0.017,0.024,0.018,0.217,0.791,0.026,0.015,0.002,0.021,0.019,0.544,0.065,0.012,0.029,0.166,1.0,0.313,0.137
18,0.065,0.245,0.001,0.063,0.743,0.021,0.133,0.087,0.014,0.274,0.196,0.046,0.011,0.039,0.052,0.013,0.049,0.313,1.0,0.132
19,0.191,0.228,0.005,0.172,0.261,0.055,0.161,0.163,0.053,0.13,0.079,0.019,0.037,0.004,0.006,0.325,0.211,0.137,0.132,1.0
