,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.074,0.087,0.039,0.004,0.452,0.303,0.063,0.108,0.151,0.031,0.047,0.15,0.226,0.061,0.026,0.3,0.403,0.019,0.185,0.092,0.062,0.16,0.38,0.054,0.09,0.053,0.145,0.047,0.208,0.093,0.14,0.233,0.234,0.023,0.047,0.415,0.37,0.432,0.454,0.013,0.044,0.387,0.059,0.068,0.058,0.034,0.052,0.183,0.112,0.242,0.042,0.068,0.14,0.149,0.453,0.095,0.174,0.411,0.167,0.161,0.47,0.086,0.158,0.161,0.118,0.155,0.152,0.416,0.082,0.309,0.278,0.039,0.271,0.171,0.172,0.275,0.223,0.035,0.408
1,0.074,1.0,0.013,0.228,0.035,0.059,0.171,0.125,0.137,0.212,0.233,0.129,0.218,0.176,0.053,0.051,0.177,0.064,0.046,0.064,0.108,0.086,0.033,0.069,0.162,0.285,0.117,0.148,0.406,0.039,1.0,0.236,0.025,0.339,0.124,0.022,0.073,0.079,0.169,0.048,0.1,0.131,0.0,0.354,0.1,0.397,0.009,0.026,0.162,0.012,0.168,0.164,0.014,0.172,0.029,0.073,0.051,0.055,0.001,0.167,0.039,0.07,0.399,0.137,0.06,0.149,0.105,0.02,0.176,0.385,0.131,0.135,0.003,0.081,0.05,0.194,0.203,0.169,0.173,0.014
2,0.087,0.013,1.0,0.089,0.072,0.13,0.048,0.379,0.122,0.223,0.08,0.124,0.257,0.104,0.043,0.075,0.048,0.115,0.077,0.148,0.134,0.086,0.075,0.114,0.121,0.012,0.036,0.333,0.07,0.005,0.011,0.207,0.267,0.007,0.051,0.083,0.106,0.173,0.159,0.424,0.031,0.123,0.192,0.048,0.274,0.077,0.139,0.091,0.082,0.042,0.106,0.113,0.157,0.334,0.078,0.127,0.011,0.133,0.217,0.338,0.131,0.136,0.054,0.062,0.048,0.078,0.116,0.057,0.17,0.063,0.013,0.005,0.143,0.212,0.485,0.066,0.17,0.082,0.108,0.165
3,0.039,0.228,0.089,1.0,0.24,0.141,0.034,0.347,0.005,0.102,1.0,0.308,0.099,0.057,0.022,0.087,0.041,0.03,0.087,0.159,0.006,0.184,0.069,0.156,0.087,0.004,0.006,0.029,0.625,0.01,0.198,0.099,0.013,0.075,0.003,0.079,0.027,0.028,0.032,0.065,0.021,0.29,0.134,0.299,0.007,0.654,0.189,0.081,0.028,0.029,0.082,0.092,0.459,0.049,0.216,0.111,0.265,0.092,0.132,0.035,0.091,0.095,0.568,0.028,0.005,0.435,0.1,0.057,0.04,0.554,0.28,0.284,0.174,0.092,0.114,0.015,0.244,0.035,0.074,0.061
4,0.004,0.035,0.072,0.24,1.0,0.138,0.161,0.091,0.085,0.007,0.215,0.224,0.01,0.006,0.238,0.245,0.025,0.038,0.233,0.027,0.09,0.26,0.097,0.069,0.1,0.092,0.158,0.123,0.252,0.049,0.019,0.007,0.292,0.011,0.15,0.124,0.02,0.076,0.169,0.007,0.481,0.224,0.052,0.019,0.005,0.249,0.084,0.119,0.063,0.105,0.012,0.072,0.238,0.1,0.048,0.144,0.091,0.062,0.062,0.107,0.061,0.123,0.362,0.024,0.188,0.102,0.044,0.054,0.175,0.365,0.141,0.206,0.099,0.053,0.059,0.125,0.035,0.043,0.073,0.057
5,0.452,0.059,0.13,0.141,0.138,1.0,0.291,0.268,0.238,0.427,0.116,0.078,0.416,0.187,0.253,0.002,0.502,0.832,0.002,0.431,0.253,0.305,0.039,0.359,0.054,0.03,0.049,0.155,0.02,0.303,0.07,0.394,0.055,0.121,0.068,0.111,0.793,0.489,0.301,0.547,0.004,0.107,0.371,0.101,0.007,0.02,0.142,0.125,0.267,0.055,0.17,0.049,0.103,0.167,0.074,1.0,0.036,0.235,0.394,0.145,0.268,1.0,0.255,0.187,0.028,0.19,0.244,0.058,0.308,0.283,0.401,0.316,0.142,0.676,0.177,0.278,0.32,0.275,0.052,0.539
6,0.303,0.171,0.048,0.034,0.161,0.291,1.0,0.043,0.004,0.159,0.025,0.024,0.163,0.01,0.054,0.015,0.177,0.097,0.018,0.348,0.006,0.366,0.265,0.734,0.19,0.142,0.09,0.128,0.004,0.127,0.17,0.16,0.099,0.044,0.241,0.066,0.102,0.181,0.242,0.146,0.233,0.037,0.192,0.051,0.032,0.002,0.005,0.077,0.126,0.214,0.008,0.188,0.117,0.144,0.067,0.276,0.016,0.157,0.185,0.135,0.185,0.269,0.054,0.37,0.128,0.021,0.571,0.187,0.251,0.056,0.006,0.084,0.004,0.059,0.333,0.093,0.27,0.106,0.195,0.12
7,0.063,0.125,0.379,0.347,0.091,0.268,0.043,1.0,0.269,0.395,0.362,0.299,0.427,0.153,0.001,0.207,0.137,0.107,0.191,0.49,0.298,0.085,0.017,0.104,0.181,0.009,0.274,0.212,0.147,0.055,0.128,0.443,0.291,0.047,0.096,0.263,0.118,0.23,0.237,0.11,0.005,0.308,0.006,0.083,0.259,0.147,0.367,0.272,0.094,0.05,0.164,0.16,0.217,0.208,0.139,0.266,0.108,0.242,0.01,0.198,0.261,0.249,0.197,0.192,0.176,0.128,0.012,0.051,0.237,0.191,0.457,0.322,0.333,0.155,0.097,0.096,0.069,0.096,0.143,0.04
8,0.108,0.137,0.122,0.005,0.085,0.238,0.004,0.269,1.0,0.319,0.007,0.179,0.336,0.371,0.017,0.241,0.269,0.306,0.272,0.254,1.0,0.142,0.007,0.043,0.015,0.358,0.325,0.212,0.055,0.053,0.131,0.31,0.096,0.19,0.353,0.029,0.315,0.398,0.315,0.21,0.051,0.167,0.025,0.157,0.031,0.051,0.26,0.024,0.233,0.349,0.38,0.015,0.052,0.228,0.137,0.23,0.045,0.242,0.023,0.256,0.251,0.26,0.039,0.067,0.244,0.023,0.014,0.234,0.291,0.05,0.32,0.175,0.279,0.268,0.12,0.535,0.165,0.242,0.008,0.159
9,0.151,0.212,0.223,0.102,0.007,0.427,0.159,0.395,0.319,1.0,0.105,0.035,1.0,0.29,0.04,0.084,0.198,0.288,0.086,0.427,0.32,0.163,0.012,0.208,0.02,0.027,0.213,0.252,0.02,0.251,0.207,1.0,0.217,0.056,0.064,0.193,0.253,0.35,0.165,0.173,0.072,0.053,0.033,0.342,0.102,0.026,0.464,0.185,0.274,0.01,0.292,0.016,0.014,0.26,0.17,0.408,0.073,0.069,0.055,0.26,0.053,0.416,0.27,0.321,0.15,0.033,0.115,0.05,0.162,0.29,0.342,0.266,0.464,0.282,0.104,0.303,0.138,0.258,0.016,0.131
