,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.015,0.046,0.086,0.073,0.093,0.618,0.382,0.221,0.273,0.094,0.176,0.326,0.043,0.126,0.087,0.046,0.088,0.115,0.042,0.25,0.224,0.063,0.018,0.386,0.607,0.09,0.077,0.109,0.232,0.014,0.269,0.287,0.011,0.379,0.252,0.085,0.269,0.063,0.029,0.316,0.17,0.033,0.074,0.45,0.098,0.166,0.216,0.098,0.314,0.037,0.393,0.28,0.101,0.017,0.093,0.062,0.2,0.044,0.093,0.235,0.089,0.047,0.204,0.152,0.415,0.035,0.355,0.049,0.055,0.213,0.103,0.194,0.031,0.032,0.493,0.155,0.089,0.397,0.035
1,0.015,1.0,0.181,0.028,0.011,0.01,0.073,0.045,0.2,0.008,0.023,0.129,0.009,0.023,0.037,0.542,0.011,0.226,0.555,0.165,0.207,0.096,0.182,0.811,0.083,0.003,0.233,0.025,0.215,0.143,1.0,0.007,0.084,0.0,0.144,0.134,0.224,0.006,0.044,0.051,0.098,0.143,0.01,0.111,0.109,0.202,0.091,0.129,0.473,0.063,0.037,0.075,0.477,0.02,0.767,0.013,0.077,0.064,0.008,0.008,0.052,0.017,0.026,0.002,0.104,0.061,0.174,0.108,0.056,0.026,0.333,0.644,0.102,0.034,0.057,0.012,0.0,0.471,0.081,0.021
2,0.046,0.181,1.0,0.499,0.167,0.146,0.025,0.001,0.002,0.043,0.517,0.036,0.047,0.025,0.028,0.168,0.166,0.123,0.176,0.084,0.003,0.289,0.007,0.235,0.0,0.003,0.013,0.29,0.141,0.009,0.157,0.04,0.299,0.188,0.249,0.008,0.114,0.021,0.014,0.134,0.245,0.027,0.286,0.04,0.124,0.125,0.02,0.01,0.166,0.123,0.019,0.0,0.064,0.315,0.28,0.138,0.003,0.141,0.263,0.314,0.14,0.135,0.006,0.089,0.012,0.005,0.029,0.26,0.014,0.007,0.007,0.152,0.024,0.003,0.112,0.001,0.04,0.161,0.0,0.033
3,0.086,0.028,0.499,1.0,0.02,0.029,0.066,0.0,0.004,0.0,1.0,0.097,0.005,0.016,0.112,0.14,0.031,0.107,0.137,0.043,0.011,0.054,0.062,0.127,0.001,0.015,0.022,0.947,0.03,0.013,0.037,0.005,0.084,0.059,0.077,0.016,0.094,0.021,0.019,0.026,0.127,0.1,0.017,0.124,0.174,0.037,0.06,0.011,0.017,0.144,0.014,0.001,0.003,0.94,0.124,0.025,0.089,0.262,0.03,0.959,0.302,0.026,0.002,0.043,0.076,0.055,0.086,0.138,0.025,0.005,0.025,0.021,0.064,0.007,0.453,0.022,0.019,0.019,0.001,0.008
4,0.073,0.011,0.167,0.02,1.0,0.982,0.019,0.07,0.271,0.084,0.022,0.042,0.08,0.438,0.054,0.001,0.064,0.205,0.001,0.075,0.287,0.518,0.137,0.005,0.077,0.119,0.169,0.036,0.081,0.3,0.022,0.08,0.489,0.061,0.396,0.388,0.207,0.048,0.109,0.255,0.417,0.039,0.047,0.161,0.234,0.077,0.041,0.392,0.284,0.186,0.433,0.071,0.066,0.042,0.005,0.983,0.05,0.159,0.051,0.051,0.144,0.988,0.148,0.154,0.021,0.175,0.243,0.415,0.109,0.182,0.002,0.229,0.029,0.107,0.075,0.111,0.004,0.295,0.093,0.263
5,0.093,0.01,0.146,0.029,0.982,1.0,0.054,0.062,0.274,0.076,0.025,0.051,0.081,0.451,0.047,0.015,0.048,0.149,0.007,0.085,0.271,0.469,0.168,0.002,0.095,0.175,0.173,0.06,0.042,0.312,0.015,0.083,0.441,0.064,0.38,0.412,0.178,0.043,0.106,0.247,0.367,0.051,0.043,0.123,0.218,0.042,0.028,0.419,0.31,0.142,0.484,0.086,0.06,0.055,0.002,1.0,0.029,0.105,0.046,0.06,0.102,1.0,0.17,0.139,0.024,0.188,0.176,0.308,0.129,0.167,0.0,0.226,0.028,0.136,0.077,0.151,0.01,0.298,0.071,0.25
6,0.618,0.073,0.025,0.066,0.019,0.054,1.0,0.263,0.2,0.288,0.06,0.036,0.261,0.243,0.144,0.015,0.002,0.243,0.022,0.011,0.188,0.172,0.215,0.033,0.349,0.85,0.151,0.05,0.281,0.228,0.095,0.294,0.178,0.008,0.194,0.199,0.235,0.06,0.223,0.088,0.161,0.036,0.083,0.143,0.224,0.271,0.063,0.209,0.141,0.142,0.217,0.344,0.26,0.042,0.026,0.047,0.084,0.207,0.075,0.057,0.216,0.055,0.145,0.166,0.046,0.322,0.05,0.188,0.203,0.162,0.203,0.185,0.05,0.259,0.02,0.827,0.153,0.172,0.332,0.158
7,0.382,0.045,0.001,0.0,0.07,0.062,0.263,1.0,0.287,0.148,0.002,0.114,0.165,0.18,0.218,0.347,0.002,0.265,0.345,0.001,0.313,0.086,0.032,0.004,0.929,0.374,0.117,0.005,0.014,0.301,0.04,0.159,0.119,0.006,0.124,0.291,0.272,0.632,0.176,0.234,0.142,0.123,0.01,0.192,0.244,0.018,0.122,0.306,0.01,0.189,0.177,0.919,0.137,0.004,0.002,0.069,0.045,0.173,0.009,0.002,0.153,0.077,0.566,0.131,0.128,0.316,0.28,0.177,0.197,0.542,0.202,0.023,0.134,0.505,0.0,0.278,0.197,0.013,0.927,0.257
8,0.221,0.2,0.002,0.004,0.271,0.274,0.2,0.287,1.0,0.149,0.011,0.185,0.134,0.138,0.044,0.062,0.009,0.05,0.058,0.007,1.0,0.178,0.217,0.168,0.442,0.501,0.419,0.004,0.025,0.952,0.181,0.163,0.186,0.015,0.148,0.612,0.034,0.133,0.086,0.162,0.194,0.147,0.017,0.19,0.215,0.014,0.17,0.629,0.117,0.137,0.162,0.502,0.032,0.007,0.157,0.256,0.161,0.096,0.014,0.007,0.104,0.278,0.236,0.025,0.195,0.156,0.676,0.165,0.068,0.238,0.097,0.129,0.178,0.239,0.012,0.453,0.131,0.131,0.464,0.17
9,0.273,0.008,0.043,0.0,0.084,0.076,0.288,0.148,0.149,1.0,0.005,0.096,1.0,0.128,0.107,0.1,0.197,0.116,0.109,0.047,0.157,0.123,0.007,0.025,0.169,0.316,0.085,0.001,0.166,0.233,0.008,1.0,0.152,0.256,0.188,0.088,0.12,0.34,0.088,0.077,0.194,0.103,0.011,0.078,0.141,0.185,0.394,0.091,0.036,0.308,0.15,0.17,0.059,0.001,0.032,0.097,0.11,0.103,0.012,0.003,0.115,0.09,0.099,0.626,0.38,0.073,0.051,0.201,0.1,0.1,0.036,0.021,0.375,0.101,0.001,0.266,0.115,0.026,0.173,0.126
