,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1.0,0.107,0.337,0.234,0.36,0.079,0.208,0.526,0.444,0.361,0.258,0.512,0.427,0.331,0.385,0.098,0.392,0.067,0.458,0.486,0.057,0.289,0.293,0.048,0.717,0.228,0.572,0.343,0.139,0.317,0.595,0.693,0.302,0.456,0.097,0.258,0.272,0.446,0.949,0.572,0.298,0.311,0.806,0.624,0.291,0.449,0.209,0.347,0.901,0.295,0.256,0.442,0.046,0.281,0.308,0.379,0.609,0.229,0.608,0.729,0.262,0.246,0.298,0.607,0.436,0.382,0.138,0.686,0.185,0.218,0.068,0.362,0.099,0.141,0.339,0.376,0.247,0.265,0.418,0.517
1,0.107,1.0,0.41,0.119,0.388,0.801,0.325,0.276,0.219,0.459,0.145,0.325,0.231,0.346,0.221,0.055,0.29,0.781,0.165,0.237,0.157,0.342,0.219,0.546,0.137,0.146,0.511,0.357,0.388,0.476,0.161,0.406,0.171,0.291,0.411,0.437,0.249,0.31,0.241,0.293,0.119,0.745,0.191,0.181,0.429,0.29,0.392,0.305,0.224,0.253,0.363,0.218,0.535,0.272,0.741,0.422,0.024,0.257,0.441,0.392,0.341,0.364,0.24,0.022,0.178,0.285,0.278,0.374,0.461,0.173,0.797,0.18,0.119,0.353,0.419,0.496,0.377,0.445,0.22,0.471
2,0.337,0.41,1.0,0.684,0.423,0.332,0.125,0.085,0.376,0.42,0.701,0.307,0.366,0.052,0.3,0.285,0.037,0.327,0.327,0.332,0.199,0.344,0.605,0.202,0.603,0.703,0.428,0.059,0.241,0.451,0.383,0.597,0.236,0.054,0.185,0.041,0.742,0.038,0.475,0.091,0.091,0.561,0.253,0.116,0.038,0.046,0.817,0.117,0.545,0.777,0.184,0.335,0.22,0.606,0.578,0.423,0.0,0.213,0.416,0.56,0.315,0.803,0.59,0.003,0.321,0.031,0.083,0.59,0.242,0.145,0.322,0.226,0.291,0.087,1.0,0.257,0.022,0.047,0.337,0.882
3,0.234,0.119,0.684,1.0,0.187,0.004,0.167,0.278,0.069,0.114,1.0,0.319,0.052,0.018,0.01,0.293,0.032,0.011,0.042,0.072,0.527,0.068,0.936,0.09,0.673,1.0,0.271,0.061,0.017,0.127,0.101,0.358,0.0,0.088,0.024,0.026,0.724,0.122,0.299,0.253,0.463,0.194,0.063,0.072,0.014,0.092,0.501,0.058,0.34,0.706,0.176,0.048,0.078,0.939,0.216,0.121,0.022,0.035,0.255,0.333,0.117,0.517,0.935,0.027,0.052,0.026,0.215,0.176,0.055,0.092,0.009,0.003,0.586,0.139,0.688,0.032,0.018,0.023,0.053,0.376
4,0.36,0.388,0.423,0.187,1.0,0.442,0.523,0.25,0.314,0.928,0.192,0.032,0.218,0.132,0.446,0.422,0.666,0.437,0.274,0.207,0.108,0.741,0.119,0.389,0.403,0.168,0.646,0.032,0.182,0.263,0.243,0.369,0.479,0.484,0.106,0.568,0.178,0.5,0.509,0.238,0.062,0.364,0.678,0.207,0.582,0.489,0.585,0.047,0.418,0.198,0.684,0.254,0.404,0.13,0.357,0.924,0.398,0.547,0.648,0.268,0.572,0.577,0.121,0.362,0.31,0.646,0.279,0.657,0.658,0.533,0.442,0.459,0.152,0.306,0.433,0.849,0.412,0.583,0.278,0.533
5,0.079,0.801,0.332,0.004,0.442,1.0,0.187,0.412,0.322,0.555,0.011,0.107,0.257,0.246,0.411,0.361,0.311,1.0,0.295,0.27,0.075,0.523,0.012,0.892,0.05,0.005,0.33,0.197,0.529,0.535,0.179,0.221,0.465,0.572,0.5,0.662,0.138,0.551,0.168,0.408,0.289,0.679,0.318,0.192,0.632,0.574,0.431,0.205,0.136,0.17,0.229,0.365,0.878,0.019,0.71,0.568,0.138,0.51,0.322,0.213,0.478,0.409,0.015,0.113,0.311,0.285,0.665,0.475,0.764,0.546,1.0,0.436,0.032,0.696,0.331,0.604,0.419,0.629,0.342,0.474
6,0.208,0.325,0.125,0.167,0.523,0.187,1.0,0.057,0.085,0.298,0.175,0.065,0.041,0.675,0.146,0.11,0.755,0.2,0.069,0.015,0.637,0.167,0.124,0.132,0.394,0.171,0.241,0.148,0.016,0.023,0.027,0.095,0.131,0.248,0.069,0.425,0.054,0.218,0.183,0.058,0.052,0.179,0.267,0.102,0.43,0.25,0.152,0.531,0.093,0.053,0.985,0.088,0.159,0.123,0.178,0.305,0.494,0.125,0.253,0.039,0.356,0.146,0.142,0.478,0.06,0.743,0.125,0.157,0.164,0.138,0.18,0.169,0.596,0.161,0.126,0.293,0.645,0.416,0.087,0.126
7,0.526,0.276,0.085,0.278,0.25,0.412,0.057,1.0,0.547,0.332,0.261,0.416,0.473,0.0,0.595,0.417,0.154,0.394,0.496,0.442,0.145,0.421,0.394,0.45,0.382,0.247,0.374,0.405,0.222,0.233,0.39,0.428,0.582,0.855,0.187,0.405,0.095,0.857,0.574,1.0,0.709,0.512,0.69,0.514,0.426,0.85,0.045,0.015,0.465,0.096,0.075,0.539,0.47,0.381,0.509,0.333,0.292,0.528,0.355,0.495,0.284,0.042,0.391,0.273,0.482,0.145,0.606,0.502,0.495,0.652,0.417,0.537,0.166,0.509,0.075,0.437,0.068,0.44,0.556,0.28
8,0.444,0.219,0.376,0.069,0.314,0.322,0.085,0.547,1.0,0.399,0.053,0.368,0.952,0.038,0.931,0.195,0.024,0.37,0.988,0.792,0.022,0.485,0.073,0.192,0.329,0.05,0.266,0.242,0.265,0.328,0.779,0.46,0.863,0.51,0.241,0.066,0.197,0.514,0.536,0.568,0.072,0.668,0.635,0.291,0.091,0.495,0.219,0.069,0.523,0.204,0.115,1.0,0.212,0.072,0.691,0.357,0.064,0.668,0.256,0.516,0.279,0.229,0.083,0.064,0.991,0.027,0.169,0.645,0.344,0.467,0.379,0.919,0.061,0.12,0.328,0.328,0.02,0.072,1.0,0.616
9,0.361,0.459,0.42,0.114,0.928,0.555,0.298,0.332,0.399,1.0,0.141,0.055,0.349,0.021,0.494,0.484,0.432,0.529,0.376,0.355,0.018,0.915,0.09,0.495,0.299,0.121,0.739,0.056,0.247,0.35,0.381,0.468,0.563,0.57,0.147,0.581,0.177,0.579,0.512,0.339,0.144,0.419,0.714,0.22,0.563,0.565,0.598,0.002,0.457,0.192,0.438,0.377,0.491,0.077,0.434,1.0,0.254,0.689,0.719,0.378,0.419,0.599,0.083,0.22,0.364,0.452,0.36,0.72,0.804,0.676,0.554,0.519,0.032,0.407,0.438,0.944,0.206,0.58,0.375,0.614
10,0.258,0.145,0.701,1.0,0.192,0.011,0.175,0.261,0.053,0.141,1.0,0.296,0.063,0.024,0.009,0.337,0.018,0.007,0.042,0.062,0.527,0.057,0.943,0.089,0.667,1.0,0.267,0.058,0.023,0.133,0.099,0.354,0.0,0.104,0.028,0.013,0.726,0.106,0.313,0.244,0.425,0.186,0.056,0.067,0.02,0.09,0.519,0.05,0.339,0.694,0.197,0.053,0.082,0.935,0.208,0.13,0.024,0.023,0.261,0.331,0.122,0.527,0.945,0.032,0.05,0.028,0.214,0.177,0.06,0.1,0.008,0.004,0.583,0.155,0.688,0.034,0.021,0.021,0.048,0.387
